timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1486661404.593,0.488,24.902,49.316,45.410,6.348,0
1486661404.597,31.250,36.133,47.363,56.641,13.184,0
1486661404.601,84.473,30.762,37.598,78.613,93.750,0
1486661404.604,73.730,31.250,37.598,74.707,132.324,0
1486661404.608,22.949,35.156,48.828,51.758,93.262,0
1486661404.612,-10.254,32.227,51.270,44.434,3.418,0
1486661404.616,19.531,26.367,37.598,51.270,-13.672,0
1486661404.620,73.730,29.785,29.785,68.359,72.754,0
1486661404.624,77.148,36.133,38.574,74.219,83.984,0
1486661404.628,41.016,33.203,52.246,52.246,55.664,0
1486661404.632,0.000,28.809,55.176,39.062,11.230,0
1486661404.636,20.508,33.203,48.828,57.617,-16.602,0
1486661404.640,83.008,39.551,47.852,75.684,39.551,0
1486661404.644,90.820,41.016,45.410,79.102,93.750,0
1486661404.647,52.246,33.691,46.875,64.941,80.078,0
1486661404.651,3.906,28.809,51.270,47.852,28.809,0
1486661404.655,13.184,26.367,41.016,48.828,1.953,0
1486661404.659,75.195,30.762,35.645,70.801,52.734,0
1486661404.663,91.309,34.180,46.875,82.520,108.398,0
1486661404.667,57.617,31.738,48.340,65.918,94.238,0
1486661404.671,14.648,27.832,47.852,55.176,31.250,0
1486661404.675,21.973,29.785,44.434,62.012,-7.324,0
1486661404.679,71.777,32.715,36.621,74.707,67.871,0
1486661404.683,96.191,35.645,50.781,89.355,86.914,0
1486661404.687,67.871,35.156,43.945,71.289,40.039,0
1486661404.690,12.207,31.250,37.109,45.410,25.879,0
1486661404.694,3.906,28.809,44.922,50.293,-3.418,0
1486661404.698,62.500,32.227,37.598,58.105,3.906,0
1486661404.702,95.703,36.621,39.551,70.312,62.500,0
1486661404.706,66.895,37.109,49.316,70.312,65.430,0
1486661404.710,9.766,28.809,40.039,44.434,11.719,0
1486661404.714,-10.742,28.809,41.992,43.457,2.930,0
1486661404.718,37.598,24.902,42.480,66.406,42.969,0
1486661404.722,78.613,21.973,40.039,83.984,84.473,0
1486661404.726,60.547,32.227,52.246,72.266,57.129,0
1486661404.729,13.184,37.109,46.387,45.898,20.996,0
1486661404.733,-8.789,36.133,44.434,39.062,-8.301,0
1486661404.737,38.574,31.738,48.340,58.105,17.578,0
1486661404.741,87.891,36.133,34.668,80.078,100.098,0
1486661404.745,62.012,39.062,36.621,70.801,99.609,0
