timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1486660439.129,-48.828,29.297,60.547,15.137,59.570,0
1486660439.133,27.344,31.250,48.828,50.293,53.223,0
1486660439.137,120.605,36.133,40.039,111.328,72.754,0
1486660439.141,103.027,36.133,44.922,93.262,45.898,0
1486660439.145,19.531,35.645,54.199,27.344,39.062,0
1486660439.149,-47.363,27.344,55.664,-0.488,50.293,0
1486660439.153,15.625,26.367,48.340,34.668,36.621,0
1486660439.157,118.164,34.668,42.480,94.727,44.922,0
1486660439.160,112.305,33.691,43.457,92.285,32.227,0
1486660439.164,26.855,30.762,53.711,29.785,10.742,0
1486660439.168,-42.969,27.344,54.199,-4.883,26.367,0
1486660439.172,9.766,25.391,43.457,33.203,26.367,0
1486660439.176,113.770,33.203,34.668,102.539,37.109,0
1486660439.180,113.770,40.527,35.645,103.516,44.922,0
1486660439.184,39.062,36.621,45.410,41.504,8.789,0
1486660439.188,-36.133,31.738,57.129,2.930,52.246,0
1486660439.192,-13.672,30.273,54.688,16.113,66.406,0
1486660439.196,96.680,35.645,49.805,94.238,59.082,0
1486660439.200,126.465,41.504,47.852,120.605,104.492,0
1486660439.203,53.223,37.109,47.852,56.152,75.684,0
1486660439.207,-35.645,32.715,55.176,14.648,51.270,0
1486660439.211,-17.578,32.227,49.805,29.297,31.250,0
1486660439.215,95.703,36.133,38.574,93.262,59.570,0
1486660439.219,129.395,39.551,36.133,115.723,107.910,0
1486660439.223,64.453,38.086,45.410,59.570,90.820,0
1486660439.227,-24.902,34.180,58.594,6.836,61.523,0
1486660439.231,-26.855,31.250,57.129,16.602,21.973,0
1486660439.235,78.613,36.133,41.504,74.219,51.758,0
1486660439.239,126.465,41.992,40.039,109.863,105.957,0
1486660439.243,75.684,38.574,51.758,72.266,63.477,0
1486660439.246,-19.531,30.762,54.199,14.160,71.777,0
1486660439.250,-43.945,28.320,48.340,15.137,92.773,0
1486660439.254,61.035,33.691,41.016,70.801,60.059,0
1486660439.258,128.418,42.969,37.598,112.305,87.891,0
1486660439.262,91.797,44.434,41.992,79.590,77.148,0
1486660439.266,-7.324,40.039,53.223,20.996,60.059,0
1486660439.270,-48.828,35.645,62.988,7.324,21.973,0
1486660439.274,44.434,36.621,53.711,55.664,20.996,0
1486660439.278,123.535,42.969,41.504,109.863,27.344,0
1486660439.282,94.238,40.039,44.922,86.426,37.598,0
1486660439.285,3.418,33.691,55.664,16.602,50.293,0
1486660439.289,-47.363,29.297,59.082,-1.953,34.668,0
1486660439.293,16.602,29.297,48.340,38.574,50.781,0
1486660439.297,104.004,35.645,41.504,91.309,73.730,0
1486660439.301,96.191,38.086,41.992,74.707,68.359,0
1486660439.305,4.395,34.180,51.758,15.625,46.387,0
