timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
152220.894,20.996,35.156,38.574,30.762,-45.410,0
152220.898,29.297,32.227,52.734,31.738,-28.320,0
152220.902,46.875,30.273,41.504,34.180,49.316,0
152220.906,55.664,32.227,29.785,39.062,39.062,0
152220.910,45.410,29.785,36.621,40.527,-37.109,0
152220.914,30.273,30.273,47.852,36.133,-41.992,0
152220.918,39.551,35.645,42.480,30.762,26.367,0
152220.922,47.852,36.133,36.133,29.297,38.086,0
152220.926,27.832,33.203,28.320,26.367,-16.602,0
152220.929,11.230,27.832,25.391,25.391,-40.039,0
152220.933,31.738,29.785,15.625,34.180,-15.625,0
152220.937,50.781,38.086,3.906,37.109,35.156,0
152220.939,38.086,36.621,14.648,31.738,9.277,0
152220.943,20.996,34.180,29.297,30.273,-20.020,0
152220.947,30.762,30.273,40.527,34.668,20.508,0
152220.951,56.641,29.297,48.340,47.363,70.312,0
152220.955,58.105,45.410,28.320,49.805,76.660,0
152220.959,30.762,45.410,8.301,35.645,24.902,0
152220.962,21.973,35.156,30.273,28.320,6.836,0
152220.966,38.086,32.227,45.410,24.414,53.223,0
152220.970,39.062,31.250,35.645,22.949,48.828,0
152220.974,23.926,29.785,28.320,29.297,33.691,0
152220.978,21.973,31.738,25.391,31.250,26.367,0
152220.982,60.547,33.691,26.855,30.273,58.105,0
152220.986,60.547,29.785,40.039,35.645,100.098,0
152220.990,24.902,32.715,41.016,34.180,68.359,0
152220.994,24.414,41.016,39.551,27.832,17.578,0
152220.997,34.668,43.457,39.062,31.738,49.805,0
152221.001,54.688,44.434,28.320,40.039,109.863,0
152221.005,57.617,37.598,35.645,45.410,93.750,0
152221.009,20.020,26.855,50.293,33.691,12.207,0
152221.013,8.789,22.461,46.875,20.020,-6.836,1
152221.017,28.809,27.344,43.945,25.879,53.223,0
152221.021,24.414,32.715,42.969,27.832,59.570,0
152221.025,9.277,35.645,36.621,23.438,-18.066,0
152221.029,10.742,34.668,29.297,26.367,-6.836,0
152221.044,34.668,33.203,21.973,32.715,70.312,0
152221.048,40.039,33.691,22.949,27.832,28.320,0
152221.052,20.508,27.832,34.668,23.438,-34.180,0
152221.056,13.184,26.367,43.457,27.832,-9.766,0
