timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
152078.317,15.137,47.363,35.156,40.039,-30.273,0
152078.321,49.805,49.316,25.391,50.781,-6.836,0
152078.325,58.105,41.016,24.902,46.875,58.594,0
152078.329,41.016,35.645,40.039,41.016,64.941,0
152078.332,21.973,40.527,40.527,36.621,-23.438,0
152078.336,24.902,38.574,26.367,31.250,-64.453,0
152078.340,49.805,39.062,28.809,41.016,30.762,0
152078.344,63.477,45.410,41.992,47.852,60.547,0
152078.348,43.945,47.852,28.320,34.180,-41.992,0
152078.352,18.066,45.898,14.160,20.996,-6.836,0
152078.356,36.133,45.898,26.855,36.133,105.957,0
152078.360,44.434,45.410,35.645,39.551,90.820,0
152078.378,30.273,43.945,30.273,29.785,17.578,0
152078.382,29.297,45.410,18.066,41.016,-23.438,0
152078.386,53.223,46.875,16.602,46.875,21.973,0
152078.390,65.430,42.480,36.133,34.668,94.238,0
152078.394,30.273,29.297,48.340,21.973,90.332,0
152078.398,6.348,25.391,39.062,24.414,5.371,0
152078.401,37.109,42.969,31.250,40.039,31.738,0
152078.405,51.270,48.828,27.832,30.273,81.543,0
152078.409,32.227,42.969,23.926,11.719,37.109,0
152078.413,4.883,40.039,32.227,13.672,5.371,0
152078.417,7.812,36.133,32.227,24.902,39.062,0
152078.421,47.363,36.621,18.066,36.133,76.660,0
152078.407,62.012,43.945,26.367,46.387,53.223,0
152078.411,17.578,42.969,34.668,40.039,1.953,0
152078.415,2.441,39.551,27.832,25.879,-41.016,0
152078.418,44.922,38.086,1.953,38.086,18.555,0
152078.422,61.523,34.180,-31.738,45.410,61.035,0
152078.426,23.438,39.551,4.395,46.875,-12.695,0
152078.430,1.465,40.039,61.523,49.316,-26.367,0
152078.434,28.809,37.598,65.918,31.250,24.902,0
152078.438,46.387,41.016,52.734,25.391,57.129,0
152078.442,40.527,43.457,47.363,32.227,30.762,0
152078.446,26.367,41.992,39.062,25.879,-16.602,0
152078.450,31.250,39.551,29.297,33.691,-9.766,0
152078.467,39.062,43.945,31.250,36.621,61.523,1
152078.471,39.551,35.156,34.180,30.273,77.148,0
152078.475,35.156,26.855,26.367,36.621,-14.648,0
152078.479,31.738,51.758,19.043,49.805,-23.926,0
152078.483,43.945,57.129,17.090,50.781,43.457,0
152078.487,39.062,41.016,21.484,30.762,60.059,0
152078.491,20.020,39.551,23.926,27.344,22.461,0
152078.495,14.160,47.363,21.973,29.297,-5.371,0
152078.498,45.898,52.246,20.996,34.668,43.945,0
152078.502,56.641,45.898,24.902,37.109,63.965,0
152078.506,35.156,40.527,31.738,25.391,3.418,0
152078.510,42.480,40.039,22.949,32.715,-55.664,0
152078.497,52.734,39.551,11.719,44.922,24.414,0
152078.501,43.945,34.180,26.855,46.875,94.238,0
152078.505,41.504,32.227,40.039,40.527,46.387,0
152078.508,27.344,33.691,29.785,30.762,-7.812,0
152078.512,25.391,37.598,22.949,39.551,31.738,0
152078.516,44.922,42.480,34.180,42.969,105.469,0
152078.520,32.715,37.109,44.922,18.555,70.312,0
152078.524,21.973,33.203,25.879,12.207,-32.227,0
152078.528,23.438,34.668,6.836,24.414,-39.062,0
152078.532,15.625,38.086,19.531,17.090,8.301,0
152078.536,36.621,42.480,28.809,11.230,19.531,0
152078.540,22.949,44.434,28.809,22.461,-20.996,0
152078.542,0.488,35.156,31.738,21.484,-23.438,0
152078.546,34.668,27.344,29.785,26.855,44.434,0
152078.549,55.176,24.414,23.926,41.016,80.566,0
152078.553,36.621,21.973,20.508,42.969,28.809,0
152078.557,15.137,22.949,19.531,33.203,-14.160,0
152078.561,28.320,34.668,27.344,27.832,23.438,0
152078.565,39.062,38.574,31.250,25.391,66.895,0
152078.569,13.672,34.668,30.273,21.973,46.387,0
