timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1486825052.657,-12.695,22.461,30.762,75.684,116.699,0
1486825052.661,20.508,22.461,33.691,50.781,116.699,0
1486825052.665,78.613,23.926,33.203,35.156,10.742,0
1486825052.669,85.449,24.902,34.180,62.500,5.371,0
1486825052.673,33.691,29.297,39.551,58.105,11.230,0
1486825052.677,-14.160,32.227,44.922,69.824,126.953,0
1486825052.681,15.137,28.320,41.992,59.570,147.949,0
1486825052.685,80.566,28.320,35.645,42.969,-2.930,0
1486825052.689,101.074,30.762,41.504,64.941,-21.973,0
1486825052.693,57.617,23.926,40.527,59.082,11.230,0
1486825052.697,3.906,34.668,45.898,76.172,73.242,0
1486825052.700,4.883,32.227,42.480,67.383,84.473,0
1486825052.704,54.199,15.625,25.879,27.832,-18.066,0
1486825052.708,82.031,22.949,29.785,56.641,-41.992,0
1486825052.712,43.457,25.391,35.645,67.871,1.465,0
1486825052.716,-16.602,22.461,43.945,77.148,99.121,0
1486825052.720,-11.230,21.484,43.945,73.242,123.535,0
1486825052.724,55.664,23.926,41.992,40.039,-3.418,0
1486825052.728,86.914,23.926,49.316,59.570,-32.227,0
1486825052.732,53.223,27.344,42.969,64.453,-10.254,2
1486825052.736,-0.488,28.320,35.645,75.684,65.918,0
1486825052.740,-1.465,27.344,36.133,79.590,136.230,0
1486825052.743,63.477,29.785,36.133,41.016,28.320,0
1486825052.747,94.727,29.785,35.156,55.176,-42.480,0
1486825052.751,64.453,30.273,43.945,68.848,8.789,0
1486825052.755,7.324,29.297,50.293,75.195,82.031,0
1486825052.759,-16.113,21.484,39.551,76.172,125.977,0
1486825052.763,41.992,26.367,40.527,39.551,46.387,0
1486825052.767,90.820,31.738,42.969,51.270,-10.254,0
1486825052.771,67.871,15.625,36.133,62.012,21.973,0
1486825052.775,15.137,21.973,36.133,67.383,66.406,0
1486825052.779,-6.348,32.227,33.203,83.008,126.953,0
1486825052.782,45.410,28.320,31.250,49.805,94.727,0
1486825052.786,95.703,26.855,32.227,53.711,4.883,0
1486825052.790,79.590,29.785,35.156,76.660,8.301,0
1486825052.794,27.344,33.203,37.598,75.195,72.754,0
1486825052.798,-5.859,32.715,48.340,88.379,150.879,0
1486825052.802,29.785,27.344,47.852,53.223,89.844,0
1486825052.806,82.031,24.902,31.738,48.340,-7.324,0
1486825052.810,78.613,26.367,35.156,68.848,-21.484,0
1486825052.814,26.367,27.832,42.969,68.848,0.977,0
1486825052.818,-13.184,31.738,42.480,86.914,87.402,0
1486825052.822,23.926,32.715,29.297,52.246,106.445,0
1486825052.825,98.633,43.945,36.133,44.922,-12.207,0
1486825052.829,101.074,38.574,40.527,68.848,-25.879,0
1486825052.833,35.645,20.508,26.855,58.105,21.484,0
1486825052.837,-9.277,26.855,35.156,75.195,97.168,0
1486825052.841,14.160,25.391,43.945,54.688,107.910,0
1486825052.845,70.312,22.949,41.504,35.645,-4.395,0
1486825052.849,84.473,26.855,33.203,60.547,-2.930,0
1486825052.853,41.992,28.320,33.203,62.012,4.395,0
1486825052.857,-4.395,27.344,35.645,76.660,112.305,0
1486825052.861,11.230,25.879,26.367,66.406,133.301,0
1486825052.865,74.707,27.832,26.855,37.598,-20.508,0
1486825052.868,100.098,29.297,32.227,61.523,1.465,0
1486825052.872,57.617,31.738,37.598,73.730,31.250,0
1486825052.876,2.441,29.785,43.945,91.309,53.223,0
1486825052.880,1.465,23.926,37.598,75.684,119.629,0
1486825052.884,62.500,27.832,37.109,38.574,48.828,0
1486825052.888,94.238,30.762,36.621,62.500,13.184,0
1486825052.892,69.824,39.062,44.922,77.148,26.855,0
1486825052.896,12.207,35.645,48.340,82.031,67.383,0
1486825052.900,-8.301,20.020,31.250,61.523,155.273,0
1486825052.904,54.688,22.949,27.832,29.785,62.500,0
1486825052.907,95.215,25.879,28.809,48.828,-20.020,0
1486825052.911,72.754,28.809,36.621,60.547,4.883,0
1486825052.915,13.184,33.203,44.922,73.242,58.105,0
1486825052.919,-4.395,33.203,41.504,77.148,142.090,0
1486825052.923,54.199,27.344,37.109,35.645,53.711,0
1486825052.927,96.680,26.855,39.551,46.875,-29.785,0
1486825052.931,74.219,29.785,37.598,59.082,15.137,0
1486825052.935,13.672,29.785,35.156,63.477,67.871,0
1486825052.939,-12.695,29.297,40.527,72.754,166.504,0
1486825052.943,33.203,26.855,43.945,32.227,95.703,0
1486825052.947,78.125,23.438,33.691,31.738,-16.602,0
1486825052.950,70.801,28.320,29.297,50.293,-6.836,0
1486825052.954,16.602,32.227,36.621,61.523,40.039,0
1486825052.958,-3.906,39.062,51.270,92.773,162.598,0
1486825052.962,50.293,32.715,48.340,56.152,98.145,0
1486825052.966,81.543,14.648,31.250,33.203,-55.664,0
1486825052.970,69.824,17.090,33.691,62.988,-23.438,0
1486825052.974,20.020,24.902,37.598,71.289,47.852,0
1486825052.978,-20.996,27.344,35.156,83.984,118.164,0
1486825052.982,20.508,22.461,43.457,62.012,91.797,0
1486825052.986,81.055,23.438,44.922,47.852,-2.930,0
1486825052.989,79.102,29.785,39.551,64.941,20.996,0
1486825052.993,28.809,26.855,45.410,73.730,53.711,0
1486825052.997,-13.672,27.832,39.062,84.473,164.062,0
1486825053.001,14.160,28.809,34.180,62.988,177.246,0
1486825053.005,72.754,25.391,35.156,42.969,46.875,0
1486825053.009,87.402,29.297,38.574,56.152,3.906,0
1486825053.013,41.016,25.391,43.457,62.500,30.273,0
1486825053.017,-10.742,26.855,41.504,76.172,107.422,0
1486825053.021,8.789,30.273,40.039,62.988,127.441,0
1486825053.025,68.848,28.809,39.551,37.109,12.695,0
1486825053.029,89.844,27.344,38.086,51.270,-3.418,0
1486825053.032,40.039,22.461,31.250,46.875,0.000,0
1486825053.036,-9.766,34.668,45.898,76.172,56.641,0
1486825053.040,-0.488,32.715,44.434,69.824,137.207,0
1486825053.044,45.898,20.020,31.250,27.832,17.578,0
1486825053.048,76.660,24.902,47.852,49.316,-29.785,0
1486825053.052,47.852,26.855,43.457,59.570,20.996,0
1486825053.056,-11.719,28.320,36.133,75.684,86.914,0
1486825053.060,-15.137,29.785,40.527,67.871,119.629,0
1486825053.064,56.152,31.738,39.062,35.156,11.719,0
1486825053.068,88.867,30.762,35.645,46.875,-54.199,0
1486825053.072,60.059,27.832,42.969,61.523,-18.066,0
1486825053.075,4.395,28.809,46.875,72.266,81.543,0
1486825053.079,-22.461,29.297,34.180,64.941,146.973,0
1486825053.083,37.598,25.879,30.762,36.621,44.922,0
1486825053.087,87.891,24.414,37.109,49.316,-19.043,0
1486825053.091,62.012,23.926,40.039,62.500,-8.301,0
1486825053.095,14.160,28.809,57.617,86.426,53.223,0
1486825053.099,-16.113,25.879,56.152,78.613,148.926,0
1486825053.103,31.738,20.508,38.086,26.367,63.965,0
1486825053.107,88.867,27.832,40.527,34.668,-39.551,0
1486825053.111,69.824,27.344,41.504,61.523,-23.438,0
1486825053.114,15.625,28.320,36.621,65.430,18.066,0
1486825053.118,-17.090,28.320,33.203,65.430,101.562,0
1486825053.122,25.879,25.391,29.785,38.574,82.520,0
1486825053.126,83.008,25.391,35.645,33.691,-18.066,0
1486825053.130,74.219,27.344,35.156,56.152,-42.480,0
1486825053.134,13.672,24.902,33.691,61.523,-27.344,0
1486825053.138,-19.531,25.391,35.156,73.730,118.164,0
1486825053.142,19.531,32.227,34.668,46.387,134.766,0
1486825053.146,74.707,32.227,39.062,27.832,4.395,0
1486825053.150,82.520,33.691,42.969,64.941,21.973,0
