timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0,Marker1,Marker2
149947.019,24.902,26.855,22.461,22.461,31.250,0.000,0.000,0.000
149947.023,20.508,22.461,22.949,20.996,37.109,0.000,0.000,0.000
149947.027,18.555,26.367,23.438,20.508,42.480,0.000,0.000,0.000
149947.031,24.414,30.273,29.785,21.973,39.551,0.000,0.000,0.000
149947.035,27.832,31.738,32.227,19.531,35.156,0.000,0.000,0.000
149947.039,26.855,30.762,25.879,18.555,32.715,0.000,0.000,0.000
149947.043,21.484,28.809,22.949,18.555,37.109,0.000,0.000,0.000
149947.047,23.438,31.250,30.762,20.020,39.062,0.000,0.000,0.000
149947.050,32.227,33.691,36.133,22.461,34.180,0.000,0.000,0.000
149947.054,33.691,29.785,36.621,22.949,31.250,0.000,0.000,0.000
149947.058,35.156,30.762,27.832,28.320,31.738,0.000,0.000,0.000
149947.075,34.668,35.645,27.344,28.320,28.809,0.000,0.000,0.000
149947.079,27.344,29.785,32.227,16.602,17.578,0.000,0.000,0.000
149947.083,27.832,28.320,32.715,18.066,22.461,0.000,0.000,0.000
149947.087,27.344,30.762,28.809,26.367,31.738,0.000,0.000,0.000
149947.091,21.484,24.414,24.902,27.344,32.715,0.000,0.000,0.000
149947.095,23.438,20.020,35.156,25.879,35.645,0.000,0.000,0.000
149947.099,24.902,24.902,38.574,24.414,41.016,0.000,0.000,0.000
149947.103,21.484,24.902,29.297,26.367,30.762,0.000,0.000,0.000
149947.107,19.043,25.391,23.438,27.344,24.414,0.000,0.000,0.000
149947.110,20.996,32.715,26.855,23.926,28.809,0.000,0.000,0.000
149947.114,26.855,34.668,32.227,23.438,24.902,0.000,0.000,0.000
149947.118,23.926,29.297,28.809,20.996,22.461,0.000,0.000,0.000
149947.120,24.414,30.273,32.227,28.320,29.297,0.000,0.000,0.000
149947.124,30.273,34.668,33.203,34.180,30.762,0.000,0.000,0.000
149947.128,36.621,32.715,33.203,30.762,31.738,0.000,0.000,0.000
149947.132,37.109,30.762,36.133,27.832,33.691,0.000,0.000,0.000
149947.136,30.762,31.250,29.785,26.855,26.855,0.000,0.000,0.000
149947.140,32.715,31.738,23.438,28.320,33.691,0.000,0.000,0.000
149947.144,34.180,27.832,20.508,28.809,35.645,0.000,0.000,0.000
149947.148,30.762,27.344,27.344,28.809,29.785,0.000,0.000,0.000
149947.151,35.645,35.645,39.062,39.062,42.480,0.000,0.000,0.000
149947.155,30.273,30.762,33.691,39.062,39.062,0.000,0.000,0.000
149947.159,20.020,24.902,31.738,26.367,26.855,0.000,0.000,0.000
149947.163,19.531,25.391,36.133,23.926,21.973,0.000,0.000,0.000
149947.166,21.484,26.855,33.691,26.367,26.855,0.000,0.000,0.000
149947.170,17.090,26.367,30.273,25.391,25.879,2.000,1.000,45.000
149947.173,15.625,23.926,33.203,22.461,19.531,0.000,0.000,0.000
149947.177,19.043,24.902,39.551,21.973,21.484,0.000,0.000,0.000
149947.181,16.602,25.879,28.809,20.020,16.602,0.000,0.000,0.000
149947.185,15.137,28.320,16.113,23.438,19.043,0.000,0.000,0.000
149947.189,12.207,28.320,14.648,21.973,16.602,0.000,0.000,0.000
149947.193,15.625,27.344,26.855,18.066,17.090,0.000,0.000,0.000
149947.197,21.484,31.250,36.621,20.996,31.250,0.000,0.000,0.000
149947.201,18.555,32.715,34.668,23.438,32.227,0.000,0.000,0.000
149947.205,17.578,28.320,24.414,23.438,28.320,0.000,0.000,0.000
149947.209,22.461,29.785,8.301,25.391,32.715,0.000,0.000,0.000
149947.211,21.484,31.250,14.160,23.438,25.879,0.000,0.000,0.000
149947.215,13.184,25.879,31.250,20.508,24.902,0.000,0.000,0.000
149947.219,12.207,25.879,39.551,27.832,40.039,0.000,0.000,0.000
149947.223,16.602,32.227,44.922,29.785,44.434,0.000,0.000,0.000
149947.227,18.555,33.691,38.086,27.344,36.133,0.000,0.000,0.000
149947.231,20.508,28.809,28.809,30.273,35.645,0.000,0.000,0.000
149947.235,19.531,24.414,28.320,27.832,28.320,0.000,0.000,0.000
149947.239,17.578,27.832,21.484,21.484,22.949,0.000,0.000,0.000
149947.242,20.508,29.785,19.043,18.555,24.414,0.000,0.000,0.000
149947.246,23.438,30.273,23.438,21.484,19.531,0.000,0.000,0.000
149947.250,22.949,32.715,25.391,23.926,20.020,0.000,0.000,0.000
149947.254,23.438,31.738,31.738,26.367,25.391,0.000,0.000,0.000
149947.256,27.832,33.691,32.715,23.926,24.902,0.000,0.000,0.000
149947.260,25.391,32.715,23.438,21.484,24.902,0.000,0.000,0.000
149947.264,19.531,31.250,22.461,26.367,24.902,0.000,0.000,0.000
149947.268,23.438,31.250,27.344,32.227,28.320,0.000,0.000,0.000
149947.272,26.855,27.344,26.855,31.250,27.832,0.000,0.000,0.000
149947.276,23.438,27.344,27.832,27.832,18.555,0.000,0.000,0.000
149947.280,20.996,30.762,24.902,27.344,6.836,0.000,0.000,0.000
149947.284,18.555,29.785,22.949,25.879,-3.418,0.000,0.000,0.000
149947.288,21.973,24.414,32.715,26.855,-6.348,0.000,0.000,0.000
149947.291,28.320,24.414,38.086,30.762,7.812,0.000,0.000,0.000
149947.295,29.297,25.391,35.156,32.227,27.832,0.000,0.000,0.000
149947.299,27.832,23.438,34.668,33.203,41.016,0.000,0.000,0.000
149947.301,27.832,22.949,33.203,31.738,45.898,0.000,0.000,0.000
149947.305,31.738,28.809,34.180,30.273,46.387,0.000,0.000,0.000
149947.309,33.691,29.785,30.762,30.762,51.270,0.000,0.000,0.000
149947.313,25.391,29.297,20.508,29.297,42.969,0.000,0.000,0.000
149947.317,20.508,28.320,14.160,24.414,35.645,0.000,0.000,0.000
149947.321,21.484,24.902,20.996,19.531,38.574,0.000,0.000,0.000
149947.325,20.996,25.879,33.691,19.531,37.598,0.000,0.000,0.000
149947.329,20.996,28.809,34.180,23.926,38.086,0.000,0.000,0.000
149947.333,17.578,27.344,30.273,23.438,32.715,0.000,0.000,0.000
149947.337,16.113,23.438,26.855,20.508,31.738,0.000,0.000,0.000
