timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0,Marker1,Marker2
149565.448,20.996,25.879,19.043,22.949,25.391,0.000,0.000,0.000
149565.452,25.391,25.879,15.625,28.809,20.996,0.000,0.000,0.000
149565.456,26.367,27.832,25.879,28.320,20.020,0.000,0.000,0.000
149565.460,27.832,32.227,30.273,23.438,23.438,0.000,0.000,0.000
149565.464,29.297,34.180,20.996,23.926,23.926,0.000,0.000,0.000
149565.468,27.832,34.180,24.902,24.902,30.273,0.000,0.000,0.000
149565.472,29.297,34.668,30.273,24.414,35.645,0.000,0.000,0.000
149565.475,32.227,31.738,27.344,24.902,39.062,0.000,0.000,0.000
149565.479,30.762,31.738,10.254,20.508,32.227,0.000,0.000,0.000
149565.483,22.949,34.180,1.953,20.020,15.137,0.000,0.000,0.000
149565.487,21.484,32.227,24.414,22.949,13.184,0.000,0.000,0.000
149565.491,25.391,30.762,34.180,20.996,16.602,0.000,0.000,0.000
149565.490,25.879,30.762,25.391,20.996,15.137,0.000,0.000,0.000
149565.494,22.461,28.809,26.367,24.902,17.578,0.000,0.000,0.000
149565.498,23.438,33.203,20.996,27.344,28.809,0.000,0.000,0.000
149565.502,25.391,36.133,10.254,21.973,34.180,0.000,0.000,0.000
149565.506,20.508,29.785,22.461,18.555,11.230,0.000,0.000,0.000
149565.510,17.090,27.344,32.227,21.973,2.441,0.000,0.000,0.000
149565.514,21.973,29.785,33.203,27.344,19.531,0.000,0.000,0.000
149565.518,27.832,30.762,31.250,24.414,26.367,0.000,0.000,0.000
149565.522,24.902,29.297,20.508,17.578,22.461,0.000,0.000,0.000
149565.525,20.996,29.785,23.926,17.578,19.531,0.000,0.000,0.000
149565.529,24.414,31.250,20.508,23.438,21.973,0.000,0.000,0.000
149565.533,27.832,33.691,9.766,22.949,28.809,0.000,0.000,0.000
149565.535,30.273,35.645,16.113,20.996,32.227,0.000,0.000,0.000
149565.539,30.762,37.109,25.879,24.414,30.762,0.000,0.000,0.000
149565.543,22.949,33.691,29.785,23.438,24.414,0.000,0.000,0.000
149565.547,19.531,29.297,30.273,22.461,24.414,0.000,0.000,0.000
149565.551,22.949,28.320,25.879,21.973,23.438,0.000,0.000,0.000
149565.555,22.461,27.832,22.461,21.973,16.602,0.000,0.000,0.000
149565.559,20.020,26.855,24.902,25.879,18.066,0.000,0.000,0.000
149565.563,20.020,26.367,27.832,27.344,20.996,0.000,0.000,0.000
149565.566,19.531,26.367,27.344,22.949,16.602,0.000,0.000,0.000
149565.570,20.996,29.785,23.438,20.508,14.160,0.000,0.000,0.000
149565.574,20.020,30.273,23.438,21.484,17.090,0.000,0.000,0.000
149565.578,21.484,25.391,17.090,25.879,27.832,0.000,0.000,0.000
149565.595,22.461,26.855,-5.371,27.832,37.109,0.000,0.000,0.000
149565.599,22.949,26.367,-7.812,26.367,40.527,0.000,0.000,0.000
149565.603,23.438,23.438,20.508,26.367,41.992,0.000,0.000,0.000
149565.607,18.555,27.832,44.922,28.320,40.527,0.000,0.000,0.000
149565.611,19.531,30.273,45.898,26.855,40.527,0.000,0.000,0.000
149565.615,26.855,32.715,39.062,27.832,50.293,0.000,0.000,0.000
149565.619,26.367,34.668,39.551,31.250,50.293,0.000,0.000,0.000
149565.623,20.020,31.738,37.109,28.809,37.109,0.000,0.000,0.000
149565.627,21.484,31.738,34.180,26.855,35.156,0.000,0.000,0.000
149565.631,26.367,31.738,29.297,22.461,36.621,0.000,0.000,0.000
149565.634,25.391,31.738,31.250,20.508,38.574,0.000,0.000,0.000
149565.638,20.508,30.762,35.156,24.414,38.574,0.000,0.000,0.000
149565.640,18.066,25.879,30.273,26.855,28.320,0.000,0.000,0.000
149565.644,20.020,27.832,26.855,25.391,22.461,0.000,0.000,0.000
149565.648,24.902,32.227,24.414,23.926,23.438,0.000,0.000,0.000
