timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0,Marker1,Marker2
149140.899,12.695,22.949,14.160,19.043,20.020,0.000,0.000,0.000
149140.902,8.789,22.461,14.648,15.625,21.484,0.000,0.000,0.000
149140.906,7.812,24.902,17.090,14.160,26.855,0.000,0.000,0.000
149140.910,9.277,28.320,20.508,14.160,31.738,0.000,0.000,0.000
149140.914,13.672,27.832,22.461,13.672,37.109,0.000,0.000,0.000
149140.918,22.949,28.320,21.484,15.137,45.410,0.000,0.000,0.000
149140.922,23.438,31.738,25.391,10.254,36.621,0.000,0.000,0.000
149140.926,25.391,33.691,26.367,10.254,34.180,0.000,0.000,0.000
149140.930,34.668,35.645,21.973,16.602,35.156,0.000,0.000,0.000
149140.934,37.598,38.086,22.461,19.043,37.109,0.000,0.000,0.000
149140.938,33.203,38.086,22.461,18.555,37.109,0.000,0.000,0.000
149140.942,29.785,33.691,17.090,18.555,23.438,0.000,0.000,0.000
149140.943,25.879,29.785,21.484,26.855,44.922,0.000,0.000,0.000
149140.947,16.602,24.902,25.391,27.832,70.801,0.000,0.000,0.000
149140.951,12.695,22.949,21.973,20.020,41.016,0.000,0.000,0.000
149140.955,13.184,20.996,21.484,20.020,19.043,0.000,0.000,0.000
149140.959,10.254,18.066,25.391,21.484,21.973,0.000,0.000,0.000
149140.963,3.418,18.555,27.344,20.996,19.043,0.000,0.000,0.000
149140.967,3.418,20.508,23.926,19.531,23.926,0.000,0.000,0.000
149140.970,11.230,23.438,25.879,9.766,20.996,0.000,0.000,0.000
149140.974,11.719,24.902,24.902,4.883,11.230,0.000,0.000,0.000
149140.978,11.719,27.832,20.020,9.766,16.602,0.000,0.000,0.000
149140.982,16.602,31.250,20.996,7.324,16.602,0.000,0.000,0.000
149140.986,20.996,30.273,18.066,4.883,12.695,0.000,0.000,0.000
149140.988,23.438,28.809,18.555,8.301,15.137,0.000,0.000,0.000
149140.992,20.020,33.203,22.949,20.020,15.625,0.000,0.000,0.000
149140.996,19.043,35.645,18.555,25.391,15.625,0.000,0.000,0.000
149141.000,20.508,35.156,14.648,5.859,16.602,0.000,0.000,0.000
149141.004,21.484,34.180,22.461,0.977,23.926,0.000,0.000,0.000
149141.008,28.320,34.668,25.391,15.625,37.109,0.000,0.000,0.000
149141.011,24.414,35.645,21.973,12.207,36.133,0.000,0.000,0.000
149141.015,17.578,33.203,24.902,9.766,35.645,0.000,0.000,0.000
149141.019,20.020,28.809,22.949,14.160,38.574,0.000,0.000,0.000
149141.023,19.043,28.320,17.090,16.113,31.250,0.000,0.000,0.000
149141.027,12.695,26.367,16.113,14.648,17.578,0.000,0.000,0.000
149141.031,12.207,27.344,17.090,7.324,15.137,0.000,0.000,0.000
149141.038,19.531,30.273,22.461,4.395,36.621,0.000,0.000,0.000
149141.042,16.113,29.297,27.832,11.230,40.039,0.000,0.000,0.000
