timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
135269.620,14.648,19.531,29.785,8.301,9.766,0
135269.624,7.812,11.719,23.926,5.371,-32.227,0
135269.628,25.391,15.137,24.414,23.926,6.836,0
135269.632,39.062,22.949,20.996,38.574,37.598,0
135269.636,36.133,27.832,19.043,33.203,-8.789,0
135269.640,14.160,32.227,20.996,22.949,-48.340,0
135269.644,21.484,32.715,15.137,22.949,4.883,0
135269.648,42.480,28.809,12.207,30.273,67.383,0
135269.652,26.855,30.273,24.902,19.531,27.344,0
135269.655,6.348,29.785,34.180,2.930,13.184,0
135269.659,17.090,32.715,36.133,13.672,40.039,0
135269.663,38.086,37.109,22.949,36.133,54.688,0
135269.667,42.969,38.086,4.883,35.645,50.781,0
135269.670,26.855,33.203,11.719,17.578,19.531,0
135269.674,15.625,22.949,31.738,11.230,-1.953,0
135269.678,33.203,21.973,45.410,21.484,2.930,0
135269.682,30.273,23.438,37.109,28.809,1.465,0
135269.686,10.254,19.531,24.902,19.531,-1.953,0
135269.690,6.348,18.555,27.832,9.277,-16.602,0
135269.694,19.531,22.949,40.527,20.020,11.230,0
135269.698,36.133,16.602,43.457,31.738,58.105,0
135269.702,26.367,12.207,38.574,23.438,33.203,0
135269.706,17.578,25.879,35.156,5.371,-3.906,0
135269.710,26.855,27.344,27.832,7.812,-3.418,0
135269.710,23.926,25.391,24.414,26.855,31.738,0
135269.714,13.672,32.227,27.344,24.414,64.941,0
135269.718,10.742,32.715,26.367,10.254,54.199,1
135269.722,16.113,31.250,14.160,11.719,61.523,0
135269.726,23.438,28.320,22.949,25.879,87.402,0
135269.730,29.297,24.902,40.039,41.992,97.168,0
135269.734,20.996,27.344,39.062,25.879,46.387,0
135269.738,11.719,25.879,26.855,11.719,-33.203,0
135269.742,32.227,25.879,19.043,29.785,-36.133,0
135269.745,45.898,24.902,17.578,25.879,24.902,0
135269.749,21.973,16.602,24.902,14.648,15.137,0
135269.753,7.324,23.438,34.668,13.184,-15.625,0
135269.755,19.531,28.320,30.273,19.043,21.973,0
135269.759,34.668,27.344,27.344,27.344,68.359,0
135269.763,25.879,32.227,25.879,17.090,34.180,0
135269.767,17.090,33.203,23.438,5.371,-34.668,0
135269.771,25.879,31.738,23.926,15.625,4.395,0
135269.775,28.809,29.785,24.902,30.273,62.500,0
135269.779,24.414,36.621,24.902,23.926,36.133,0
135269.783,19.531,38.574,26.367,13.184,-42.480,0
135269.787,18.066,33.691,27.832,19.043,-23.926,0
135269.790,29.785,27.832,25.879,29.785,92.285,0
