timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
135131.662,19.043,29.297,29.297,15.137,-31.738,0
135131.666,28.809,33.203,22.949,26.855,-28.809,0
135131.670,40.039,39.551,23.438,39.062,-2.930,0
135131.674,31.250,39.062,29.297,33.203,-5.371,0
135131.678,25.391,39.062,37.109,29.785,-67.383,0
135131.680,42.969,41.016,34.668,38.574,-28.320,0
135131.684,58.594,41.992,26.855,54.688,59.082,0
135131.688,46.875,37.109,31.250,50.781,61.035,0
135131.692,16.113,28.320,31.738,18.555,0.000,0
135131.696,9.277,18.555,17.090,2.441,-25.391,0
135131.699,28.320,19.043,11.230,17.578,31.250,0
135131.703,33.691,32.227,10.254,24.902,72.266,0
135131.707,17.578,24.414,14.160,12.695,23.438,0
135131.711,10.254,15.137,22.461,3.906,-40.527,0
135131.715,24.414,20.996,19.043,18.066,-8.301,0
135131.719,34.668,25.879,17.578,37.109,73.730,0
135131.723,26.367,33.691,33.203,31.250,40.527,0
135131.725,17.578,29.785,35.156,21.973,-40.039,0
135131.729,28.320,29.297,21.973,27.344,30.273,0
135131.733,41.016,36.133,20.508,39.551,128.418,0
135131.737,35.156,38.574,19.043,32.227,75.684,0
135131.741,12.695,28.809,14.648,12.695,-6.836,0
135131.744,25.391,25.879,26.367,21.484,-9.766,0
135131.748,47.852,33.691,26.367,39.551,38.086,0
135131.752,29.785,25.391,18.555,26.855,56.152,0
135131.756,12.207,23.438,28.809,10.742,-35.645,0
135131.760,21.484,27.344,35.645,15.625,-56.641,0
135131.764,44.434,31.250,28.320,34.668,46.875,1
135131.768,45.410,27.344,22.461,35.645,97.168,0
135131.770,32.715,21.484,28.809,24.902,35.645,0
135131.774,36.621,30.273,36.133,31.738,4.883,0
135131.778,44.434,31.738,28.809,38.574,48.340,0
135131.782,40.039,28.809,20.508,33.691,101.074,0
135131.785,17.578,23.438,21.973,13.672,54.688,0
135131.789,-0.977,21.484,21.973,-5.859,-27.344,0
135131.793,8.301,31.250,23.438,1.953,0.000,0
135131.797,32.227,37.109,26.367,27.344,61.523,0
135131.801,28.809,29.785,27.344,24.902,48.340,0
135131.805,3.906,20.508,20.996,5.371,14.648,0
135131.809,18.066,28.809,17.578,21.484,5.371,0
135131.813,43.457,25.879,24.902,46.875,27.344,0
135131.815,33.691,16.602,29.785,34.180,53.223,0
135131.819,18.555,28.320,24.414,19.531,-1.465,0
135131.823,31.250,38.086,27.344,33.691,-36.133,0
135131.827,45.898,33.203,32.715,46.875,11.719,0
135131.830,41.504,28.320,30.762,45.410,73.242,0
135131.834,27.344,36.621,29.785,35.645,47.363,0
135131.838,20.508,39.551,31.738,29.297,-10.742,0
135131.842,35.156,36.621,23.926,38.574,18.066,0
135131.846,43.945,39.551,17.090,49.805,52.734,0
135131.850,25.879,37.109,25.879,40.039,27.344,0
135131.854,15.625,33.691,38.574,25.879,-25.879,0
135131.858,29.297,34.668,37.109,34.668,16.113,0
135131.861,44.922,33.691,27.832,51.758,82.031,0
135131.865,35.645,25.879,24.414,44.922,51.758,0
135131.869,22.461,26.367,35.645,34.180,-20.508,0
135131.873,33.203,40.039,50.781,36.621,3.906,0
135131.877,40.527,37.598,46.387,32.715,85.449,0
135131.881,26.367,23.438,31.738,21.484,96.191,0
135131.885,5.859,19.531,22.461,3.906,7.324,0
135131.889,5.371,21.973,23.438,0.000,-67.383,0
135131.892,21.484,21.484,24.902,17.090,23.438,0
135131.896,33.691,29.785,30.762,33.691,102.539,0
135131.900,18.555,31.738,37.109,27.344,53.223,0
135131.904,0.488,18.555,33.203,12.207,-22.949,0
135131.905,18.555,25.879,24.902,26.855,7.812,0
135131.909,32.227,33.203,25.391,44.922,95.703,0
135131.913,18.555,27.832,32.715,33.203,89.355,0
135131.917,8.789,29.297,37.598,15.137,-3.418,0
135131.921,18.555,24.414,31.738,20.996,-34.668,0
135131.924,38.574,27.344,27.344,40.039,-0.977,0
135131.928,35.645,40.039,30.762,33.203,-21.484,0
