timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
120075.936,39.551,33.203,4.395,35.156,51.758,0
120075.940,12.207,31.250,16.113,29.297,-8.301,0
120075.944,7.812,40.527,16.602,20.996,-24.414,0
120075.948,41.504,34.668,13.184,31.738,40.039,0
120075.952,42.969,33.691,8.301,28.809,83.496,0
120075.956,13.672,29.785,0.977,18.066,20.508,0
120075.959,2.930,21.973,4.395,23.438,-39.062,0
120075.963,25.391,33.203,3.906,33.203,-8.789,0
120075.967,53.711,45.410,8.789,50.781,41.992,0
120075.971,37.109,25.391,14.160,42.969,1.953,0
120075.975,6.348,27.832,14.160,17.578,-15.137,0
120075.979,3.418,38.574,-1.465,22.949,26.367,0
120075.980,25.391,39.551,-22.461,37.109,43.945,0
120075.984,32.227,45.410,2.930,29.297,34.668,0
120075.988,9.766,27.344,31.250,24.902,-3.418,0
120075.992,15.137,30.273,30.762,34.668,8.789,0
120075.996,32.715,37.109,14.160,31.738,48.340,0
120076.000,30.762,33.203,5.371,27.344,26.367,0
120076.004,10.742,34.180,6.348,16.602,-41.992,0
120076.008,4.395,33.691,8.301,12.207,-60.059,0
120076.012,28.809,34.180,19.043,26.367,-18.066,0
120076.016,52.246,29.297,30.273,36.133,3.906,0
120076.020,31.738,20.996,32.227,30.762,10.254,0
120076.023,-6.836,29.297,27.344,23.438,14.160,0
120076.026,16.113,30.762,15.137,25.879,49.316,0
120076.029,34.668,25.391,4.395,29.785,87.402,0
120076.033,31.738,29.785,13.184,29.785,72.754,0
120076.037,15.137,28.809,26.855,20.996,44.434,0
120076.041,-6.348,29.785,4.395,20.996,6.348,0
120076.045,21.484,38.086,-21.973,35.156,-3.906,0
120076.049,23.438,41.016,7.324,32.227,29.785,0
120076.053,-8.789,19.043,33.203,15.137,-6.348,0
120076.057,-6.836,9.277,31.250,16.602,-42.480,0
120076.061,27.832,30.273,40.039,33.203,35.156,0
120076.065,38.086,34.180,32.227,30.273,64.941,0
120076.068,2.441,22.461,20.996,16.113,41.992,0
120076.086,0.488,3.418,31.250,22.949,23.926,0
120076.090,33.203,16.602,20.020,37.598,48.340,0
120076.093,39.062,45.898,-1.465,39.062,82.520,0
120076.097,12.695,43.457,13.184,22.949,26.367,0
120076.101,-13.184,31.738,26.367,9.766,-0.977,0
120076.105,20.996,39.551,24.902,21.484,25.391,0
120076.109,52.734,33.203,24.902,38.086,35.645,0
120076.113,27.832,20.020,-1.465,32.715,9.277,0
120076.117,-2.441,16.113,-9.766,22.949,-29.297,0
120076.121,5.859,27.344,11.719,32.227,20.996,0
120076.125,24.414,48.828,-2.441,28.809,79.590,0
120076.129,10.742,41.016,3.906,8.789,43.945,0
120076.115,-12.695,28.809,23.438,5.859,-11.230,0
120076.119,-2.930,22.461,21.973,11.719,-5.859,0
120076.123,24.902,17.090,24.902,22.461,-3.906,0
120076.127,23.926,16.113,26.367,31.250,11.230,0
120076.131,9.277,22.949,11.719,26.367,-3.418,0
120076.135,16.602,29.297,1.465,36.621,-57.129,0
120076.139,35.645,30.762,17.578,39.551,-0.488,0
120076.143,27.832,26.855,21.484,20.508,59.570,0
120076.147,0.000,17.578,11.719,8.789,21.484,0
120076.151,-20.020,13.184,10.742,4.883,-28.809,0
120076.155,8.301,24.902,17.090,17.090,-20.508,0
120076.158,48.340,22.461,21.484,41.016,-14.160,0
120076.161,21.484,18.555,2.930,38.574,-0.977,0
120076.164,-15.625,36.133,-18.555,18.066,0.488,0
120076.168,0.000,37.109,-3.906,20.996,-13.672,0
120076.172,26.367,25.391,21.484,28.320,25.391,0
120076.176,20.020,23.438,33.691,27.344,44.922,0
120076.180,2.441,32.715,34.668,26.367,-12.207,0
120076.184,10.254,32.227,23.438,32.227,-54.688,0
120076.188,35.645,25.879,12.695,37.109,6.348,0
120076.192,39.062,22.949,14.160,32.715,62.500,0
120076.196,15.137,13.672,16.113,21.973,4.395,0
120076.200,5.859,18.066,16.113,20.996,-26.855,0
120076.203,27.344,20.996,12.695,31.738,-4.883,0
120076.207,46.875,16.113,10.742,36.621,0.977,0
120076.211,41.016,38.574,10.254,37.598,-0.488,0
120076.215,14.648,50.781,-20.996,33.203,-36.133,0
120076.219,16.602,40.527,-31.738,26.855,-53.711,0
120076.222,41.992,36.133,22.949,33.691,1.465,0
120076.226,38.086,34.668,52.246,33.691,20.508,0
120076.230,4.395,15.625,38.574,17.090,-48.340,0
120076.234,5.859,12.695,20.996,20.996,-50.781,0
120076.238,25.391,27.344,12.695,32.227,13.672,0
120076.242,16.602,21.484,19.531,30.762,18.555,0
120076.246,4.395,19.531,29.785,29.785,-23.438,0
120076.250,1.465,20.508,26.855,33.691,-11.230,0
120076.266,19.043,21.484,4.883,31.738,28.320,0
120076.269,31.738,28.809,-11.230,26.367,51.270,0
120076.273,8.789,34.668,9.277,13.672,27.832,0
120076.277,-9.277,32.715,4.883,3.418,-19.531,0
120076.281,16.113,33.691,-8.301,18.555,20.508,0
120076.285,49.805,31.250,14.648,24.414,27.344,0
120076.289,31.738,28.320,16.113,12.695,-18.066,0
120076.293,-3.418,25.391,-0.488,12.695,-17.090,0
120076.297,11.719,29.297,-5.371,20.508,-1.465,0
120076.301,30.762,20.508,13.672,21.973,26.367,0
120076.305,23.438,21.973,34.180,21.484,38.574,0
