timestamps,TP9,AF7,AF8,TP10,Right AUX,Frequency,Contrast,Orientation
495396.091,31.250,34.668,31.250,28.320,51.270,0.000,0.000,0.000
495396.094,16.113,32.715,32.227,19.043,52.246,0.000,0.000,0.000
495396.098,9.277,30.273,29.297,16.113,53.711,0.000,0.000,0.000
495396.102,19.531,27.832,33.691,20.020,54.199,0.000,0.000,0.000
495396.106,23.438,28.809,30.273,21.484,48.828,0.000,0.000,0.000
495396.110,17.090,26.855,25.879,20.020,46.875,0.000,0.000,0.000
495396.114,13.672,33.203,33.203,18.066,51.758,0.000,0.000,0.000
495396.118,24.414,44.434,36.133,24.902,55.176,0.000,0.000,0.000
495396.122,25.391,34.668,28.809,26.367,67.871,0.000,0.000,0.000
495396.126,16.113,20.996,27.344,18.555,83.984,0.000,0.000,0.000
495396.130,5.859,20.020,28.320,10.742,48.340,0.000,0.000,0.000
495396.134,15.137,24.414,21.484,9.766,31.738,0.000,0.000,0.000
495396.137,24.414,29.785,20.020,19.531,73.730,0.000,0.000,0.000
495396.141,27.832,35.645,24.902,22.461,68.359,0.000,0.000,0.000
495396.145,29.785,39.062,25.879,14.648,10.742,0.000,0.000,0.000
495396.149,20.020,38.574,24.902,13.672,0.000,0.000,0.000,0.000
495396.153,21.973,30.762,19.531,19.043,20.508,0.000,0.000,0.000
495396.157,27.832,25.391,18.555,25.391,18.066,0.000,0.000,0.000
495396.161,19.531,29.785,28.320,26.855,26.367,0.000,0.000,0.000
495396.165,10.742,33.691,30.762,21.973,35.156,0.000,0.000,0.000
495396.169,20.508,32.227,22.949,25.879,43.457,0.000,0.000,0.000
495396.173,35.645,36.133,32.227,36.133,42.969,0.000,0.000,0.000
495396.176,25.391,37.598,36.133,27.832,28.320,0.000,0.000,0.000
495396.180,20.508,36.133,31.250,22.949,38.574,0.000,0.000,0.000
495396.184,31.738,28.809,27.832,23.926,43.945,0.000,0.000,0.000
495396.188,30.762,21.973,26.367,26.367,37.109,0.000,0.000,0.000
495396.192,25.391,24.902,26.367,27.344,37.109,0.000,0.000,0.000
495396.196,18.555,28.320,27.344,23.438,45.898,0.000,0.000,0.000
495396.200,25.391,34.180,26.855,29.297,53.711,0.000,0.000,0.000
495396.204,33.203,31.250,21.973,35.156,53.711,0.000,0.000,0.000
495396.208,28.809,23.926,19.531,34.180,53.223,0.000,0.000,0.000
495396.212,14.160,24.414,23.926,27.344,53.711,0.000,0.000,0.000
495396.216,14.160,27.832,25.391,23.438,59.570,0.000,0.000,0.000
495396.219,29.785,30.762,22.461,25.391,53.711,0.000,0.000,0.000
495396.223,27.832,35.645,28.320,23.926,48.340,0.000,0.000,0.000
495396.227,14.160,33.203,25.391,18.066,54.199,0.000,0.000,0.000
495396.231,10.254,36.133,17.090,14.160,60.059,0.000,0.000,0.000
495396.235,19.043,46.875,23.438,23.438,55.664,0.000,0.000,0.000
495396.239,22.461,38.574,20.508,29.297,33.203,0.000,0.000,0.000
495396.243,15.137,20.996,11.230,15.625,25.879,0.000,0.000,0.000
495396.247,3.418,17.578,11.719,4.395,34.180,0.000,0.000,0.000
495396.251,14.648,28.320,17.090,11.719,45.898,0.000,0.000,0.000
495396.255,23.926,33.691,32.227,22.949,45.410,0.000,0.000,0.000
495396.259,20.020,29.785,34.668,20.508,35.156,0.000,0.000,0.000
495396.262,13.184,33.203,25.879,19.531,35.156,0.000,0.000,0.000
495396.266,3.418,33.203,25.391,17.090,30.273,0.000,0.000,0.000
495396.270,14.160,28.320,27.832,20.996,34.180,0.000,0.000,0.000
495396.274,28.809,32.715,30.762,30.273,47.852,0.000,0.000,0.000
495396.278,11.719,28.320,29.785,22.461,41.992,0.000,0.000,0.000
495396.282,5.859,28.320,33.691,26.367,42.969,0.000,0.000,0.000
495396.286,30.273,30.273,38.574,36.621,48.828,0.000,0.000,0.000
495396.290,33.691,22.461,34.180,36.621,38.086,0.000,0.000,0.000
495396.294,15.625,25.879,32.227,30.273,31.738,0.000,0.000,0.000
495396.298,11.230,35.156,36.133,25.879,40.527,0.000,0.000,0.000
495396.301,17.090,36.621,34.668,21.484,56.152,0.000,0.000,0.000
495396.305,21.484,35.156,30.762,25.391,62.500,0.000,0.000,0.000
