timestamps,TP9,AF7,AF8,TP10,Right AUX,Frequency,Contrast,Orientation
486324.342,94.238,32.227,34.668,63.477,268.066,0.000,0.000,0.000
486324.346,-15.625,29.297,34.668,-14.160,88.379,0.000,0.000,0.000
486324.350,-64.941,29.297,33.203,-48.828,-75.684,0.000,0.000,0.000
486324.354,30.762,27.832,33.691,16.113,31.250,0.000,0.000,0.000
486324.358,94.238,26.855,31.250,68.848,209.961,0.000,0.000,0.000
486324.362,18.555,31.250,33.203,8.789,96.680,0.000,0.000,0.000
486324.366,-71.289,28.809,32.715,-44.922,-113.281,0.000,0.000,0.000
486324.370,2.930,26.367,22.949,-0.977,-49.316,0.000,0.000,0.000
486324.374,108.887,27.344,22.461,69.336,154.297,0.000,0.000,0.000
486324.378,60.059,25.879,20.020,41.016,180.176,0.000,0.000,0.000
486324.382,-50.293,30.762,23.926,-40.527,-27.344,0.000,0.000,0.000
486324.385,-28.320,28.320,27.344,-25.879,-128.418,0.000,0.000,0.000
486324.389,76.172,26.367,26.855,49.805,104.004,0.000,0.000,0.000
486324.393,85.938,31.738,28.809,49.805,225.586,0.000,0.000,0.000
486324.397,-27.344,29.785,30.762,-24.414,-6.348,0.000,0.000,0.000
486324.401,-57.129,31.250,28.809,-40.527,-122.070,0.000,0.000,0.000
486324.405,49.805,32.715,25.391,31.738,119.629,0.000,0.000,0.000
486324.409,96.680,33.203,24.902,66.406,260.742,0.000,0.000,0.000
486324.413,-6.348,31.738,28.809,-3.418,33.203,0.000,0.000,0.000
486324.417,-56.641,31.250,31.738,-41.992,-132.812,0.000,0.000,0.000
486324.421,43.457,26.855,25.879,14.648,38.574,0.000,0.000,0.000
486324.425,120.605,29.785,29.297,70.801,315.918,0.000,0.000,0.000
486324.428,34.180,36.133,34.180,29.785,197.754,0.000,0.000,0.000
486324.432,-65.430,29.297,29.785,-34.668,-104.004,0.000,0.000,0.000
486324.436,-9.766,26.367,25.391,-3.906,-123.047,0.000,0.000,0.000
486324.440,97.168,28.809,25.879,70.801,78.613,0.000,0.000,0.000
486324.444,76.660,29.297,28.320,51.270,104.980,0.000,0.000,0.000
486324.448,-46.875,29.785,27.344,-33.203,-119.629,0.000,0.000,0.000
486324.452,-30.273,30.762,24.902,-33.203,-164.062,0.000,0.000,0.000
486324.456,69.824,29.785,23.438,44.922,66.406,0.000,0.000,0.000
486324.460,79.102,34.180,25.879,59.082,226.562,0.000,0.000,0.000
486324.464,-27.344,35.156,27.832,-17.090,70.801,0.000,0.000,0.000
486324.467,-49.805,34.668,26.367,-39.062,-82.520,0.000,0.000,0.000
486324.471,59.570,33.691,23.438,28.320,105.469,0.000,0.000,0.000
486324.475,106.934,34.668,29.297,74.219,268.066,0.000,0.000,0.000
486324.479,13.184,36.621,34.180,13.672,84.473,0.000,0.000,0.000
486324.483,-66.895,29.785,30.762,-48.828,-99.121,0.000,0.000,0.000
486324.487,5.859,23.926,34.180,2.930,47.363,0.000,0.000,0.000
486324.491,101.074,28.809,36.133,70.801,252.441,0.000,0.000,0.000
486324.495,42.969,33.203,35.645,22.461,178.711,0.000,0.000,0.000
486324.499,-66.406,29.785,34.668,-41.992,-24.414,0.000,0.000,0.000
486324.503,-7.324,33.691,36.133,3.418,-1.465,0.000,0.000,0.000
486324.507,111.328,36.133,34.668,80.078,172.363,0.000,0.000,0.000
486324.510,86.914,29.297,31.738,56.641,162.109,0.000,0.000,0.000
486324.514,-33.691,31.738,33.691,-7.324,-56.641,0.000,0.000,0.000
486324.518,-43.945,31.250,26.855,-20.996,-166.992,0.000,0.000,0.000
486324.522,54.688,24.414,23.926,28.809,8.789,0.000,0.000,0.000
486324.526,81.055,25.391,27.344,54.688,148.438,0.000,0.000,0.000
486324.530,-35.645,29.297,27.344,-20.020,5.371,0.000,0.000,0.000
486324.534,-76.172,29.297,26.367,-50.781,-144.531,0.000,0.000,0.000
486324.538,34.668,28.320,28.320,27.832,-69.824,0.000,0.000,0.000
486324.542,101.562,28.809,26.855,71.777,128.418,0.000,0.000,0.000
486324.546,11.719,29.297,26.367,-5.371,91.309,0.000,0.000,0.000
486324.550,-61.035,30.762,33.691,-53.711,-121.582,0.000,0.000,0.000
486324.553,26.855,27.832,29.785,-2.930,-54.199,0.000,0.000,0.000
486324.557,111.328,30.762,24.414,57.129,194.824,0.000,0.000,0.000
486324.561,46.387,31.250,28.320,20.020,184.570,0.000,0.000,0.000
486324.565,-55.176,30.273,29.785,-46.875,-29.297,0.000,0.000,0.000
486324.569,-14.648,35.645,23.438,-29.297,-37.109,0.000,0.000,0.000
486324.573,92.773,37.109,23.438,41.016,195.801,0.000,0.000,0.000
486324.577,91.797,38.086,25.879,39.062,230.957,0.000,0.000,0.000
486324.581,-35.156,41.016,23.438,-39.062,-41.016,0.000,0.000,0.000
486324.585,-52.734,35.156,20.020,-52.734,-124.512,0.000,0.000,0.000
486324.589,64.941,31.250,24.902,22.461,76.660,0.000,0.000,0.000
486324.592,111.816,31.738,25.391,50.293,171.387,0.000,0.000,0.000
486324.596,-2.930,29.297,25.879,-19.531,-30.273,0.000,0.000,0.000
486324.600,-57.129,35.156,34.180,-47.852,-185.059,0.000,0.000,0.000
486324.604,36.621,34.180,27.344,8.789,-35.645,0.000,0.000,0.000
486324.608,103.027,30.273,23.926,58.105,165.527,0.000,0.000,0.000
486324.612,24.902,36.621,29.785,1.465,93.262,0.000,0.000,0.000
486324.616,-74.219,37.109,28.809,-76.172,-85.449,0.000,0.000,0.000
486324.620,-17.090,32.227,21.973,-31.250,-36.621,0.000,0.000,0.000
486324.624,86.426,30.762,18.555,47.852,173.340,0.000,0.000,0.000
486324.628,51.270,38.574,24.902,15.137,182.129,0.000,0.000,0.000
486324.632,-62.012,37.598,30.273,-63.477,-82.031,0.000,0.000,0.000
486324.635,-32.715,32.715,28.809,-50.781,-131.836,0.000,0.000,0.000
486324.639,71.777,29.785,27.344,27.832,108.887,0.000,0.000,0.000
486324.643,76.172,31.250,35.645,38.086,186.523,0.000,0.000,0.000
486324.647,-35.645,36.621,36.621,-35.156,34.180,0.000,0.000,0.000
486324.651,-53.711,34.668,25.879,-56.152,-36.133,0.000,0.000,0.000
486324.655,53.223,30.273,25.391,20.508,132.324,0.000,0.000,0.000
486324.659,95.703,33.203,30.273,59.082,265.625,0.000,0.000,0.000
486324.663,-7.812,34.180,29.297,-15.137,84.473,0.000,0.000,0.000
486324.667,-58.594,31.738,26.367,-57.129,-138.184,0.000,0.000,0.000
486324.671,37.598,34.180,20.020,9.766,-64.941,0.000,0.000,0.000
486324.675,109.375,32.227,18.066,64.941,133.789,0.000,0.000,0.000
486324.678,45.410,34.180,24.414,15.625,73.730,0.000,0.000,0.000
486324.682,-52.734,36.621,31.738,-42.969,-121.582,0.000,0.000,0.000
486324.686,-12.695,30.762,30.273,-7.812,-82.520,0.000,0.000,0.000
486324.690,92.285,25.391,27.832,54.688,132.812,0.000,0.000,0.000
486324.694,60.059,30.273,32.715,32.227,144.531,0.000,0.000,0.000
486324.698,-72.266,37.109,34.668,-41.992,-95.215,0.000,0.000,0.000
486324.702,-49.316,31.250,31.738,-41.016,-210.449,0.000,0.000,0.000
486324.706,66.406,22.461,24.902,32.715,20.996,0.000,0.000,0.000
486324.710,81.543,23.926,23.438,45.898,226.074,0.000,0.000,0.000
486324.714,-23.438,28.320,31.250,-20.020,67.383,0.000,0.000,0.000
486324.717,-45.898,27.832,33.203,-40.039,-78.613,0.000,0.000,0.000
486324.721,61.035,28.809,30.762,31.738,71.289,0.000,0.000,0.000
486324.725,104.004,31.250,26.367,75.195,253.418,0.000,0.000,0.000
486324.729,10.254,34.668,28.320,9.277,161.133,0.000,0.000,0.000
486324.733,-56.152,35.645,29.785,-43.945,-37.598,0.000,0.000,0.000
486324.737,27.344,37.109,27.832,6.836,-50.781,0.000,0.000,0.000
486324.741,107.422,34.668,20.508,55.664,98.633,0.000,0.000,0.000
486324.745,49.316,37.109,23.926,12.695,104.980,0.000,0.000,0.000
486324.749,-47.363,42.480,31.250,-53.223,-92.285,0.000,0.000,0.000
486324.753,-9.277,32.715,22.949,-43.457,-105.957,0.000,0.000,0.000
486324.757,77.637,26.367,21.973,32.227,129.395,0.000,0.000,0.000
486324.760,58.594,25.879,25.879,28.320,143.555,0.000,0.000,0.000
486324.764,-54.199,26.855,27.832,-43.945,-66.895,0.000,0.000,0.000
486324.768,-33.203,33.203,29.297,-48.340,-139.160,0.000,0.000,0.000
486324.772,83.496,33.203,26.367,33.691,22.461,0.000,0.000,0.000
486324.776,89.844,31.738,24.414,56.641,112.305,0.000,0.000,0.000
486324.780,-23.438,34.668,24.902,-19.531,-69.336,0.000,0.000,0.000
486324.784,-52.734,31.250,26.855,-48.828,-229.980,0.000,0.000,0.000
486324.788,42.969,30.762,32.715,13.672,-104.492,0.000,0.000,0.000
486324.792,92.285,33.203,28.809,59.082,105.957,0.000,0.000,0.000
486324.796,16.602,33.203,26.855,-0.488,-4.883,0.000,0.000,0.000
486324.800,-71.777,26.855,27.344,-58.594,-180.176,0.000,0.000,0.000
486324.803,5.859,28.809,28.809,-3.906,-100.098,0.000,0.000,0.000
486324.807,104.004,38.086,31.738,71.289,96.191,0.000,0.000,0.000
486324.811,52.734,31.250,32.715,34.180,111.328,0.000,0.000,0.000
486324.815,-40.527,32.227,31.250,-43.457,-49.316,0.000,0.000,0.000
486324.819,-11.719,36.621,26.855,-23.438,-50.781,0.000,0.000,0.000
486324.823,84.473,31.738,28.320,50.781,157.715,0.000,0.000,0.000
486324.827,81.543,36.621,35.645,46.387,260.742,0.000,0.000,0.000
486324.831,-35.156,38.574,36.621,-20.020,58.594,0.000,0.000,0.000
486324.835,-26.367,39.062,33.691,-31.250,-93.750,0.000,0.000,0.000
486324.839,97.656,41.504,31.738,40.039,44.434,0.000,0.000,0.000
486324.842,108.398,38.574,26.367,53.711,216.797,0.000,0.000,0.000
486324.846,-12.207,32.715,26.367,-22.949,71.289,0.000,0.000,0.000
486324.850,-72.754,31.250,30.273,-62.012,-172.852,0.000,0.000,0.000
486324.854,12.695,39.062,29.785,-5.371,-60.547,0.000,0.000,0.000
486324.858,82.520,33.203,26.855,50.781,220.703,0.000,0.000,0.000
486324.862,16.113,24.902,29.297,-0.977,188.477,0.000,0.000,0.000
486324.866,-74.219,30.762,32.715,-62.500,-72.266,0.000,0.000,0.000
486324.870,-14.160,29.297,31.250,-17.578,-63.965,0.000,0.000,0.000
