timestamps,TP9,AF7,AF8,TP10,Right AUX,Frequency,Contrast,Orientation
502621.000,29.297,48.340,39.062,20.508,60.059,0.000,0.000,0.000
502621.004,15.137,44.434,35.156,11.719,42.969,0.000,0.000,0.000
502621.008,9.277,47.363,28.320,9.277,35.156,0.000,0.000,0.000
502621.012,16.602,48.340,17.090,20.020,41.992,0.000,0.000,0.000
502621.016,15.625,41.504,21.484,24.902,41.992,0.000,0.000,0.000
502621.019,10.742,38.086,36.621,15.625,29.785,0.000,0.000,0.000
502621.023,10.254,41.504,47.852,13.672,27.832,0.000,0.000,0.000
502621.027,6.348,45.898,48.828,11.719,31.250,0.000,0.000,0.000
502621.031,-0.977,46.875,41.016,1.953,26.367,0.000,0.000,0.000
502621.035,-6.348,47.852,36.621,-15.137,20.996,0.000,0.000,0.000
502621.039,-6.348,47.852,36.621,-17.090,16.602,0.000,0.000,0.000
502621.043,0.000,39.551,35.645,-8.301,19.531,0.000,0.000,0.000
502621.047,5.371,40.039,25.879,1.465,25.879,0.000,0.000,0.000
502621.051,5.371,44.434,21.484,1.465,22.461,0.000,0.000,0.000
502621.055,-3.418,40.527,21.973,-6.836,18.555,0.000,0.000,0.000
502621.059,-2.930,44.922,28.320,-1.465,20.996,0.000,0.000,0.000
502621.062,-5.859,42.480,38.086,4.395,23.926,0.000,0.000,0.000
502621.066,-10.254,36.133,41.992,9.766,22.461,0.000,0.000,0.000
502621.070,-7.812,37.598,46.387,16.602,25.879,0.000,0.000,0.000
502621.074,-2.930,42.969,44.922,11.230,36.621,0.000,0.000,0.000
502621.078,2.930,45.898,40.039,11.230,40.039,0.000,0.000,0.000
502621.082,0.977,45.898,39.551,25.391,39.551,0.000,0.000,0.000
502621.086,-1.953,46.387,40.039,22.949,37.109,0.000,0.000,0.000
502621.090,-5.371,43.945,39.551,10.254,29.785,0.000,0.000,0.000
502621.094,-3.906,40.527,34.668,13.672,29.785,0.000,0.000,0.000
502621.098,-0.977,37.598,20.996,17.090,36.621,0.000,0.000,0.000
502621.101,-2.441,40.527,19.531,19.043,37.598,0.000,0.000,0.000
502621.105,-0.977,42.969,33.691,22.949,38.086,0.000,0.000,0.000
502621.109,7.812,46.875,31.250,19.043,37.109,0.000,0.000,0.000
502621.113,7.812,44.922,23.926,28.320,37.109,0.000,0.000,0.000
502621.117,0.000,44.434,35.156,36.621,37.598,0.000,0.000,0.000
502621.121,-11.719,42.969,45.410,15.625,29.297,0.000,0.000,0.000
502621.125,-15.137,35.645,48.340,10.742,26.367,0.000,0.000,0.000
502621.129,-11.719,39.551,41.992,24.902,27.832,0.000,0.000,0.000
502621.133,-14.160,42.480,35.156,25.879,21.484,0.000,0.000,0.000
502621.137,-22.461,38.086,29.785,23.926,19.531,0.000,0.000,0.000
502621.141,-30.273,37.109,30.762,17.578,19.043,0.000,0.000,0.000
502621.144,-27.344,42.480,44.434,16.113,14.160,0.000,0.000,0.000
502621.148,-18.066,43.457,43.945,22.949,17.090,0.000,0.000,0.000
502621.152,-12.695,40.039,32.715,20.508,27.344,0.000,0.000,0.000
502621.156,-19.043,41.016,25.879,18.555,35.156,0.000,0.000,0.000
502621.160,-21.973,43.945,27.344,19.531,32.227,0.000,0.000,0.000
502621.164,-14.648,41.992,37.598,13.672,27.344,0.000,0.000,0.000
502621.168,-19.531,41.504,45.410,12.207,20.996,0.000,0.000,0.000
502621.172,-37.598,46.875,44.434,21.973,15.625,0.000,0.000,0.000
502621.176,-32.715,46.387,37.109,13.672,15.137,0.000,0.000,0.000
502621.180,-23.438,41.016,38.086,4.883,23.926,0.000,0.000,0.000
502621.184,-21.973,42.480,43.457,13.184,21.973,0.000,0.000,0.000
502621.187,-26.855,43.457,45.898,15.625,18.066,0.000,0.000,0.000
502621.191,-24.902,39.551,47.363,19.531,21.484,0.000,0.000,0.000
502621.195,-17.578,40.039,44.434,18.555,19.043,0.000,0.000,0.000
502621.199,-18.066,40.039,36.133,18.555,15.625,0.000,0.000,0.000
502621.203,-17.090,36.621,34.180,22.949,21.484,0.000,0.000,0.000
502621.207,-16.113,36.621,36.621,21.973,26.855,0.000,0.000,0.000
502621.211,-11.230,39.551,35.156,23.438,27.832,0.000,0.000,0.000
502621.215,-5.859,41.992,38.086,23.438,34.180,0.000,0.000,0.000
502621.219,-3.906,41.992,41.016,20.508,39.551,0.000,0.000,0.000
502621.223,-11.230,45.410,39.551,16.602,26.367,0.000,0.000,0.000
502621.226,-15.625,50.293,34.180,14.648,25.391,0.000,0.000,0.000
502621.230,-13.184,53.223,19.043,34.180,32.227,0.000,0.000,0.000
502621.234,-14.160,53.223,19.043,38.574,29.785,0.000,0.000,0.000
502621.238,-22.461,48.828,39.551,9.766,28.320,0.000,0.000,0.000
502621.242,-21.484,45.898,51.270,2.930,33.691,0.000,0.000,0.000
502621.246,-16.602,46.387,51.758,18.066,34.180,0.000,0.000,0.000
502621.250,-10.742,47.363,52.246,29.785,33.203,0.000,0.000,0.000
502621.254,-6.836,45.410,48.828,15.625,38.086,0.000,0.000,0.000
502621.258,-0.977,40.527,43.457,9.277,40.039,0.000,0.000,0.000
502621.262,4.883,37.598,41.504,19.531,38.574,0.000,0.000,0.000
502621.266,-5.371,41.504,41.504,29.785,43.457,0.000,0.000,0.000
502621.269,-17.090,46.387,32.227,30.762,43.457,0.000,0.000,0.000
502621.273,-23.438,46.875,24.902,18.066,35.156,0.000,0.000,0.000
502621.277,-20.508,46.387,29.785,15.137,37.109,0.000,0.000,0.000
502621.281,-18.555,42.480,38.574,20.996,31.738,0.000,0.000,0.000
502621.285,-22.461,34.668,48.340,24.414,15.625,0.000,0.000,0.000
502621.289,-25.391,37.598,50.781,27.344,18.555,0.000,0.000,0.000
502621.293,-19.531,44.922,42.480,30.273,28.320,0.000,0.000,0.000
502621.297,-11.230,46.875,31.738,28.320,29.297,0.000,0.000,0.000
502621.301,-6.836,45.898,33.691,17.578,29.297,0.000,0.000,0.000
502621.305,-11.719,44.922,39.062,15.137,32.227,0.000,0.000,0.000
502621.309,-15.137,44.922,44.434,21.484,38.086,0.000,0.000,0.000
502621.312,-12.695,41.016,47.363,24.414,35.645,0.000,0.000,0.000
502621.316,-13.184,41.504,41.504,19.531,27.832,0.000,0.000,0.000
502621.320,-14.648,41.016,40.039,5.859,20.996,0.000,0.000,0.000
502621.324,-13.184,41.992,42.969,-3.906,18.066,0.000,0.000,0.000
502621.328,-7.812,47.363,40.527,3.418,22.461,0.000,0.000,0.000
502621.332,-11.230,49.805,36.621,17.578,27.344,0.000,0.000,0.000
502621.336,-16.602,48.340,34.180,19.531,28.809,0.000,0.000,0.000
502621.340,-15.625,43.457,32.227,19.043,26.367,0.000,0.000,0.000
502621.344,-11.719,36.621,34.180,17.578,27.832,0.000,0.000,0.000
502621.348,-10.254,29.785,31.738,16.602,26.855,0.000,0.000,0.000
502621.351,-19.043,39.551,29.785,10.254,18.555,0.000,0.000,0.000
502621.355,-23.926,52.734,34.180,9.766,22.461,0.000,0.000,0.000
502621.359,-15.625,52.246,31.738,18.555,30.273,0.000,0.000,0.000
502621.363,-5.859,48.340,24.414,24.902,25.879,0.000,0.000,0.000
502621.367,-6.348,43.945,20.020,25.879,23.438,0.000,0.000,0.000
502621.371,-15.137,39.551,34.668,16.113,25.391,0.000,0.000,0.000
502621.375,-16.602,38.574,47.852,5.371,20.508,0.000,0.000,0.000
502621.379,-13.184,41.992,51.270,15.625,17.090,0.000,0.000,0.000
502621.383,-19.043,41.016,52.734,24.902,16.602,0.000,0.000,0.000
502621.387,-26.855,34.180,49.805,11.719,19.531,0.000,0.000,0.000
502621.391,-26.367,33.203,41.992,6.348,20.508,0.000,0.000,0.000
502621.394,-27.832,34.668,35.645,10.254,19.531,0.000,0.000,0.000
502621.398,-24.414,34.668,37.598,18.066,19.043,0.000,0.000,0.000
502621.402,-20.020,39.551,38.574,14.160,17.090,0.000,0.000,0.000
502621.406,-24.414,47.363,26.367,10.742,13.672,0.000,0.000,0.000
502621.410,-20.020,41.016,19.531,8.301,17.090,0.000,0.000,0.000
502621.414,-3.906,37.598,34.668,10.254,21.973,0.000,0.000,0.000
502621.418,6.348,46.387,41.504,22.461,25.879,0.000,0.000,0.000
502621.422,4.883,54.199,41.504,20.996,30.762,0.000,0.000,0.000
502621.426,9.766,53.223,46.875,18.066,18.066,0.000,0.000,0.000
502621.430,12.207,50.293,44.434,20.508,17.090,0.000,0.000,0.000
502621.434,5.859,45.898,45.410,25.879,30.762,0.000,0.000,0.000
502621.437,-0.488,45.410,45.410,25.391,29.785,0.000,0.000,0.000
502621.441,3.906,49.805,36.133,19.531,32.227,0.000,0.000,0.000
502621.445,7.324,47.363,39.062,21.484,42.969,0.000,0.000,0.000
502621.449,3.418,33.691,41.016,24.414,39.062,0.000,0.000,0.000
502621.453,5.371,41.016,35.156,25.879,31.250,0.000,0.000,0.000
502621.457,2.930,50.781,37.598,23.438,36.133,0.000,0.000,0.000
502621.461,0.488,46.387,51.758,23.438,39.551,0.000,0.000,0.000
502621.465,2.930,40.039,54.199,30.762,30.762,0.000,0.000,0.000
502621.469,5.371,33.203,40.527,21.973,29.297,0.000,0.000,0.000
502621.473,9.766,32.715,40.039,17.090,37.109,0.000,0.000,0.000
502621.476,15.137,33.203,41.992,16.113,33.691,0.000,0.000,0.000
502621.480,17.090,37.109,39.062,6.836,26.367,0.000,0.000,0.000
502621.484,11.230,38.574,39.551,12.207,23.926,0.000,0.000,0.000
502621.488,11.719,40.527,38.086,6.836,27.832,0.000,0.000,0.000
502621.492,15.137,39.551,37.598,-2.930,29.785,0.000,0.000,0.000
502621.496,17.578,36.621,42.969,0.977,29.785,0.000,0.000,0.000
502621.500,24.902,39.062,44.922,5.859,32.227,0.000,0.000,0.000
502621.504,28.809,41.504,42.969,11.719,30.762,0.000,0.000,0.000
502621.508,32.227,42.480,35.156,12.695,38.574,0.000,0.000,0.000
502621.512,39.551,45.410,31.250,17.090,37.598,0.000,0.000,0.000
502621.516,37.109,45.898,38.086,23.438,31.250,0.000,0.000,0.000
502621.519,27.832,47.363,43.457,10.742,34.668,0.000,0.000,0.000
502621.523,24.902,49.316,45.898,-4.395,30.273,0.000,0.000,0.000
502621.527,29.785,47.852,45.898,2.930,39.551,0.000,0.000,0.000
502621.531,26.367,47.852,46.875,31.738,36.133,0.000,0.000,0.000
502621.535,20.996,43.945,38.574,35.156,26.367,0.000,0.000,0.000
502621.539,19.531,41.992,32.227,11.719,31.250,0.000,0.000,0.000
502621.543,13.184,46.875,38.574,24.902,28.809,0.000,0.000,0.000
502621.547,8.789,49.316,42.969,44.922,34.668,0.000,0.000,0.000
502621.551,4.395,46.875,43.945,21.973,41.504,0.000,0.000,0.000
502621.555,-7.812,42.480,39.551,0.488,36.133,0.000,0.000,0.000
502621.559,-13.184,38.086,32.715,10.742,35.156,0.000,0.000,0.000
502621.562,-7.324,42.480,31.250,-2.441,36.133,0.000,0.000,0.000
502621.566,-5.371,43.457,36.621,-2.930,30.762,0.000,0.000,0.000
502621.570,-6.836,37.598,26.855,3.418,32.227,0.000,0.000,0.000
502621.574,-9.766,41.016,20.020,-0.977,34.180,0.000,0.000,0.000
502621.578,8.789,47.363,37.598,17.090,37.109,0.000,0.000,0.000
502621.582,20.508,47.363,46.875,24.414,36.133,0.000,0.000,0.000
502621.586,10.254,46.875,48.828,27.344,29.297,0.000,0.000,0.000
502621.590,9.766,48.340,45.410,30.273,38.086,0.000,0.000,0.000
502621.594,7.324,47.363,37.109,17.090,42.969,0.000,0.000,0.000
502621.598,3.418,46.875,37.598,6.836,33.203,0.000,0.000,0.000
502621.601,1.465,48.828,40.527,1.465,28.320,0.000,0.000,0.000
502621.605,-0.488,49.805,38.086,12.207,25.391,0.000,0.000,0.000
502621.609,5.371,47.363,32.715,17.578,26.855,0.000,0.000,0.000
502621.613,9.766,45.410,30.273,10.742,26.367,0.000,0.000,0.000
502621.617,4.395,45.410,29.785,16.113,28.320,0.000,0.000,0.000
502621.621,0.977,49.805,21.973,2.441,35.645,0.000,0.000,0.000
502621.625,11.230,52.734,23.438,-4.395,37.598,0.000,0.000,0.000
502621.629,15.625,52.734,34.180,11.230,41.992,0.000,0.000,0.000
502621.633,20.996,50.293,36.133,18.066,52.246,0.000,0.000,0.000
502621.637,18.066,50.293,37.109,14.648,48.828,0.000,0.000,0.000
502621.641,9.277,53.711,36.621,3.906,40.039,0.000,0.000,0.000
502621.644,20.996,56.152,36.621,1.953,41.504,0.000,0.000,0.000
502621.648,29.297,57.617,35.645,18.066,39.062,0.000,0.000,0.000
502621.652,30.273,49.316,36.133,18.555,30.762,0.000,0.000,0.000
502621.656,31.738,46.387,38.086,15.137,43.945,0.000,0.000,0.000
502621.660,23.926,50.781,29.297,5.859,49.805,0.000,0.000,0.000
502621.664,19.531,50.781,24.902,3.906,37.598,0.000,0.000,0.000
502621.668,25.391,52.734,39.062,11.719,38.574,0.000,0.000,0.000
502621.672,27.344,52.734,44.434,11.719,40.039,0.000,0.000,0.000
502621.676,18.066,49.805,40.039,6.348,46.875,0.000,0.000,0.000
502621.680,8.301,47.852,40.039,6.348,44.922,0.000,0.000,0.000
502621.684,2.930,47.363,39.551,18.066,39.551,0.000,0.000,0.000
502621.687,1.465,41.992,40.039,15.625,35.645,0.000,0.000,0.000
502621.691,7.812,41.504,42.480,-1.465,37.109,0.000,0.000,0.000
502621.695,10.742,48.340,43.457,1.953,36.621,0.000,0.000,0.000
502621.699,22.461,54.688,37.598,18.066,40.039,0.000,0.000,0.000
502621.703,14.160,47.363,39.062,18.066,48.340,0.000,0.000,0.000
502621.707,-1.465,40.039,44.922,2.441,43.457,0.000,0.000,0.000
502621.711,12.207,46.875,35.156,0.000,36.621,0.000,0.000,0.000
502621.715,17.090,50.293,29.785,15.137,39.551,0.000,0.000,0.000
502621.719,11.719,52.246,37.109,13.184,45.410,0.000,0.000,0.000
502621.723,9.277,54.199,47.363,1.953,47.363,0.000,0.000,0.000
502621.726,12.695,53.711,49.805,0.977,38.574,0.000,0.000,0.000
502621.730,10.254,52.246,44.434,11.230,25.879,0.000,0.000,0.000
502621.734,10.254,47.852,36.133,12.207,20.020,0.000,0.000,0.000
502621.738,-1.465,41.504,40.527,7.324,25.391,0.000,0.000,0.000
502621.742,-14.160,42.480,50.781,5.859,29.297,0.000,0.000,0.000
502621.746,-16.602,47.363,48.340,5.859,32.715,0.000,0.000,0.000
502621.750,-20.020,43.945,44.434,6.836,32.227,0.000,0.000,0.000
502621.754,-11.230,35.645,44.922,16.113,27.344,0.000,0.000,0.000
502621.758,-10.254,40.527,37.598,6.348,31.250,0.000,0.000,0.000
502621.762,-13.184,45.410,35.645,2.930,41.016,0.000,0.000,0.000
502621.766,-3.418,43.457,43.945,24.902,44.434,0.000,0.000,0.000
502621.769,-15.137,44.434,41.504,18.066,31.738,0.000,0.000,0.000
502621.773,-29.785,39.062,37.109,0.000,24.414,0.000,0.000,0.000
502621.777,-18.066,36.621,41.992,-0.977,32.227,0.000,0.000,0.000
502621.781,-10.742,42.969,49.316,12.207,29.785,0.000,0.000,0.000
502621.785,-14.160,45.410,51.270,12.207,16.602,0.000,0.000,0.000
502621.789,-10.254,47.852,51.758,-5.371,20.020,0.000,0.000,0.000
502621.793,-1.953,47.852,41.992,-13.184,20.508,0.000,0.000,0.000
502621.797,14.160,44.434,34.180,0.000,16.113,0.000,0.000,0.000
502621.801,18.555,46.875,31.250,-1.465,9.277,0.000,0.000,0.000
502621.805,-8.789,49.805,29.297,-3.906,10.742,0.000,0.000,0.000
502621.808,-14.160,52.734,33.691,-2.441,18.066,0.000,0.000,0.000
502621.812,-1.465,54.688,39.062,-8.789,21.973,0.000,0.000,0.000
502621.816,-0.977,48.340,46.387,-2.441,25.391,0.000,0.000,0.000
502621.820,-4.395,43.457,42.480,-2.441,29.297,0.000,0.000,0.000
502621.824,-10.742,41.016,32.715,-11.719,29.297,0.000,0.000,0.000
502621.828,-1.953,45.410,35.156,-10.254,32.227,0.000,0.000,0.000
502621.832,7.812,46.875,43.945,1.953,34.668,0.000,0.000,0.000
502621.836,-2.930,38.574,44.922,2.930,24.414,0.000,0.000,0.000
502621.840,-6.836,35.645,41.992,-4.883,16.602,0.000,0.000,0.000
502621.844,-1.465,37.109,38.574,-1.953,20.508,0.000,0.000,0.000
502621.848,-13.184,38.574,28.320,6.836,26.855,0.000,0.000,0.000
502621.851,-14.648,36.133,34.668,7.812,24.414,0.000,0.000,0.000
502621.855,-7.324,41.504,50.293,0.000,30.273,0.000,0.000,0.000
502621.859,-1.465,44.434,48.828,-5.371,40.527,0.000,0.000,0.000
502621.863,1.465,42.969,42.969,2.441,32.227,0.000,0.000,0.000
502621.867,-1.465,40.527,31.738,5.859,16.113,0.000,0.000,0.000
502621.871,-4.883,38.574,29.785,-5.859,16.602,0.000,0.000,0.000
502621.875,-3.906,38.086,44.922,-14.648,21.973,0.000,0.000,0.000
502621.879,-6.348,29.785,53.711,-10.742,14.648,0.000,0.000,0.000
502621.883,-14.160,30.762,51.270,-5.371,16.602,0.000,0.000,0.000
502621.887,-12.207,43.457,46.875,-13.184,17.090,0.000,0.000,0.000
502621.891,-14.648,41.992,45.898,-12.207,19.043,0.000,0.000,0.000
502621.894,-10.254,36.621,42.969,-14.160,27.344,0.000,0.000,0.000
502621.898,-2.441,38.086,38.574,-12.695,20.020,0.000,0.000,0.000
502621.902,-16.602,38.086,41.504,-5.859,12.695,0.000,0.000,0.000
502621.906,-22.949,39.062,47.363,-10.254,15.625,0.000,0.000,0.000
502621.910,-11.230,38.574,33.203,-9.766,19.043,0.000,0.000,0.000
502621.914,-16.602,36.133,28.809,0.000,22.461,0.000,0.000,0.000
502621.918,-23.438,33.691,43.457,5.859,21.973,0.000,0.000,0.000
502621.922,-16.602,31.250,43.945,-3.418,20.508,0.000,0.000,0.000
502621.926,-16.602,28.320,32.715,-2.441,20.508,0.000,0.000,0.000
502621.930,-12.207,30.273,27.344,5.371,23.438,0.000,0.000,0.000
502621.933,-1.953,34.180,28.809,-6.348,31.738,0.000,0.000,0.000
502621.937,-2.441,38.086,31.738,-9.766,30.762,0.000,0.000,0.000
502621.941,-4.395,37.598,33.203,-4.883,26.855,0.000,0.000,0.000
502621.945,2.930,35.645,29.785,-1.465,31.738,0.000,0.000,0.000
502621.949,10.254,38.574,31.738,-7.812,30.273,0.000,0.000,0.000
502621.953,2.441,39.062,32.715,-21.484,27.832,0.000,0.000,0.000
502621.957,-14.160,37.109,26.367,-21.484,28.320,0.000,0.000,0.000
502621.961,-15.625,38.086,20.996,-16.602,23.926,0.000,0.000,0.000
502621.965,-4.395,41.016,19.531,-17.578,25.879,0.000,0.000,0.000
502621.969,-10.742,37.109,25.391,-21.973,29.785,0.000,0.000,0.000
502621.973,-13.184,37.109,22.949,-23.438,31.738,0.000,0.000,0.000
502621.976,-8.789,44.434,19.531,-16.113,25.391,0.000,0.000,0.000
502621.980,-5.859,44.434,23.438,-6.836,20.996,0.000,0.000,0.000
502621.984,1.465,38.086,21.973,4.883,26.855,0.000,0.000,0.000
502621.988,4.395,39.062,19.531,3.906,33.691,0.000,0.000,0.000
502621.992,6.836,48.340,21.973,-0.488,24.902,0.000,0.000,0.000
502621.996,10.254,48.828,31.738,2.930,16.602,0.000,0.000,0.000
502622.000,9.766,44.434,31.738,7.324,22.949,0.000,0.000,0.000
502622.004,13.672,44.922,27.832,2.930,27.344,0.000,0.000,0.000
502622.008,9.766,47.363,27.832,-1.953,26.367,0.000,0.000,0.000
502622.012,9.277,47.852,30.762,7.324,23.926,0.000,0.000,0.000
502622.016,18.066,47.852,33.691,8.789,20.020,0.000,0.000,0.000
502622.019,18.066,46.387,29.785,-4.395,18.555,0.000,0.000,0.000
502622.023,15.625,41.016,27.344,-8.789,18.066,0.000,0.000,0.000
502622.027,21.973,40.527,30.762,-7.812,20.508,0.000,0.000,0.000
502622.031,21.484,42.969,32.715,0.000,21.973,0.000,0.000,0.000
502622.035,25.391,42.969,33.691,7.812,26.367,0.000,0.000,0.000
502622.039,34.668,42.969,30.762,4.883,22.949,0.000,0.000,0.000
502622.043,41.992,42.480,30.762,4.883,28.809,0.000,0.000,0.000
