timestamps,TP9,AF7,AF8,TP10,Right AUX,Frequency,Contrast,Orientation
489996.751,-173.828,38.086,17.090,-227.539,-173.828,0.000,0.000,0.000
489996.755,-171.387,49.316,14.160,-227.539,-176.270,0.000,0.000,0.000
489996.759,-144.531,63.965,9.766,-217.285,-169.922,0.000,0.000,0.000
489996.763,-129.883,63.965,3.906,-212.402,-166.504,0.000,0.000,0.000
489996.767,-156.738,55.664,-0.488,-219.238,-171.875,0.000,0.000,0.000
489996.771,-176.758,58.594,0.488,-227.539,-177.734,0.000,0.000,0.000
489996.775,-148.926,75.684,-13.184,-234.375,-170.898,0.000,0.000,0.000
489996.778,-126.465,87.891,-19.531,-229.492,-175.781,0.000,0.000,0.000
489996.782,-143.555,81.543,-5.371,-211.426,-166.992,0.000,0.000,0.000
489996.786,-158.691,68.359,0.977,-207.520,-154.297,0.000,0.000,0.000
489996.790,-137.695,80.078,-9.277,-201.660,-148.926,0.000,0.000,0.000
489996.794,-103.027,82.031,-9.766,-178.711,-133.789,0.000,0.000,0.000
489996.798,-97.656,67.383,-2.441,-173.340,-134.277,0.000,0.000,0.000
489996.802,-119.629,54.688,-5.371,-173.828,-126.465,0.000,0.000,0.000
489996.806,-112.305,53.711,-7.812,-153.809,-104.004,0.000,0.000,0.000
489996.810,-82.031,56.641,4.395,-143.555,-93.750,0.000,0.000,0.000
489996.814,-62.988,51.758,9.277,-139.160,-78.125,0.000,0.000,0.000
489996.818,-62.012,39.062,7.324,-125.000,-76.172,0.000,0.000,0.000
489996.821,-74.219,30.762,14.648,-114.746,-74.219,0.000,0.000,0.000
489996.825,-52.734,39.062,19.531,-102.539,-42.969,0.000,0.000,0.000
489996.829,-21.484,29.785,20.508,-87.402,-32.227,0.000,0.000,0.000
489996.833,-23.438,14.160,20.508,-73.242,23.926,0.000,0.000,0.000
489996.837,-20.508,20.020,24.902,-85.449,66.406,0.000,0.000,0.000
489996.841,12.695,18.555,27.344,-49.316,12.207,0.000,0.000,0.000
489996.845,58.105,16.113,30.273,7.812,-25.879,0.000,0.000,0.000
489996.849,60.059,12.207,42.969,11.230,-12.207,0.000,0.000,0.000
489996.853,49.805,7.324,50.293,16.113,19.531,0.000,0.000,0.000
489996.857,75.684,4.395,42.480,16.113,47.852,0.000,0.000,0.000
489996.861,111.328,4.883,41.016,35.645,57.129,0.000,0.000,0.000
489996.864,105.957,-2.441,54.688,34.668,68.359,0.000,0.000,0.000
489996.868,83.496,-3.906,53.711,46.875,71.289,0.000,0.000,0.000
489996.872,89.355,2.930,50.293,79.590,64.941,0.000,0.000,0.000
489996.876,120.117,7.812,50.293,69.824,73.730,0.000,0.000,0.000
489996.880,125.977,21.973,41.016,60.059,82.031,0.000,0.000,0.000
489996.884,107.422,18.555,38.574,68.359,89.355,0.000,0.000,0.000
489996.888,98.633,10.254,46.875,72.266,100.098,0.000,0.000,0.000
489996.892,114.746,9.766,51.758,77.637,105.957,0.000,0.000,0.000
489996.896,134.277,13.672,49.805,85.449,102.539,0.000,0.000,0.000
489996.900,104.004,9.277,50.781,82.520,98.633,0.000,0.000,0.000
489996.903,80.566,-0.488,42.480,78.125,93.262,0.000,0.000,0.000
489996.907,108.398,4.395,39.551,72.266,89.355,0.000,0.000,0.000
489996.911,124.512,7.812,44.922,83.984,85.938,0.000,0.000,0.000
489996.915,104.004,3.418,41.504,69.336,80.078,0.000,0.000,0.000
489996.919,84.473,-4.395,39.062,50.293,97.656,0.000,0.000,0.000
489996.923,83.496,-0.488,41.504,53.223,104.980,0.000,0.000,0.000
489996.927,103.516,23.438,37.598,53.223,96.680,0.000,0.000,0.000
489996.931,107.422,20.020,30.273,51.758,105.957,0.000,0.000,0.000
489996.935,85.449,8.301,39.062,49.805,126.953,0.000,0.000,0.000
489996.939,83.008,9.766,38.574,49.316,88.867,0.000,0.000,0.000
489996.943,107.910,11.230,33.691,47.852,65.430,0.000,0.000,0.000
489996.946,110.352,3.906,36.621,56.641,103.516,0.000,0.000,0.000
489996.950,98.145,-1.465,37.598,51.758,79.590,0.000,0.000,0.000
489996.954,91.309,1.465,35.645,50.781,59.570,0.000,0.000,0.000
489996.958,103.027,3.418,32.227,59.570,67.871,0.000,0.000,0.000
489996.962,118.652,3.418,32.227,57.129,75.195,0.000,0.000,0.000
489996.966,99.121,-1.953,41.016,59.570,97.656,0.000,0.000,0.000
489996.970,76.660,5.859,43.457,45.898,99.609,0.000,0.000,0.000
489996.974,81.543,8.789,40.039,44.922,92.285,0.000,0.000,0.000
489996.978,102.539,6.348,41.992,60.547,99.609,0.000,0.000,0.000
489996.982,95.215,14.160,44.434,57.617,91.309,0.000,0.000,0.000
489996.986,75.195,10.254,43.457,53.711,90.332,0.000,0.000,0.000
489996.989,81.543,7.324,40.527,55.176,87.891,0.000,0.000,0.000
489996.993,97.656,14.160,40.039,56.641,87.891,0.000,0.000,0.000
489996.997,102.539,10.742,41.504,59.570,100.586,0.000,0.000,0.000
489997.001,78.613,0.977,41.016,49.805,95.703,0.000,0.000,0.000
489997.005,61.523,-0.977,36.133,35.156,64.453,0.000,0.000,0.000
489997.009,83.496,3.906,33.203,38.574,41.992,0.000,0.000,0.000
489997.013,102.539,17.578,33.203,36.621,48.828,0.000,0.000,0.000
489997.017,75.684,15.137,34.668,32.715,59.570,0.000,0.000,0.000
489997.021,56.152,7.812,34.668,35.156,76.172,0.000,0.000,0.000
489997.025,82.520,7.812,32.227,32.227,83.496,0.000,0.000,0.000
489997.028,93.750,10.254,29.785,32.227,89.355,0.000,0.000,0.000
489997.032,72.754,15.137,30.273,28.809,89.355,0.000,0.000,0.000
489997.036,55.664,10.742,34.668,21.973,84.961,0.000,0.000,0.000
489997.040,62.988,12.695,38.086,20.996,81.055,0.000,0.000,0.000
489997.044,88.379,29.785,39.062,26.367,58.594,0.000,0.000,0.000
489997.048,73.730,29.785,35.645,23.926,24.414,0.000,0.000,0.000
489997.052,41.504,11.230,29.297,10.254,20.508,0.000,0.000,0.000
489997.056,51.270,5.859,32.227,3.906,58.594,0.000,0.000,0.000
489997.060,70.312,26.855,37.598,6.836,78.125,0.000,0.000,0.000
489997.064,66.895,36.621,40.527,12.207,46.875,0.000,0.000,0.000
489997.068,52.734,17.578,37.598,8.789,32.227,0.000,0.000,0.000
489997.071,48.340,12.207,27.832,9.277,41.016,0.000,0.000,0.000
489997.075,70.801,19.043,30.762,16.602,45.898,0.000,0.000,0.000
489997.079,84.961,18.066,37.598,13.184,49.316,0.000,0.000,0.000
489997.083,66.406,15.137,37.109,11.230,67.383,0.000,0.000,0.000
489997.087,49.316,17.090,34.180,16.113,88.379,0.000,0.000,0.000
489997.091,61.035,19.043,31.738,21.484,79.102,0.000,0.000,0.000
489997.095,83.496,20.020,30.762,25.391,67.871,0.000,0.000,0.000
489997.099,65.430,5.371,34.668,17.578,70.312,0.000,0.000,0.000
489997.103,42.480,3.906,42.969,12.207,74.707,0.000,0.000,0.000
489997.107,47.852,23.926,39.062,17.578,71.289,0.000,0.000,0.000
489997.111,76.172,28.320,30.762,21.973,56.152,0.000,0.000,0.000
489997.114,87.402,24.414,31.250,26.855,62.988,0.000,0.000,0.000
489997.118,58.105,19.043,38.086,15.137,65.918,0.000,0.000,0.000
489997.122,33.691,20.020,42.969,4.883,45.898,0.000,0.000,0.000
489997.126,42.969,28.320,39.062,2.441,43.457,0.000,0.000,0.000
489997.130,62.012,26.855,33.203,14.648,54.688,0.000,0.000,0.000
489997.134,52.734,26.367,32.715,19.043,48.828,0.000,0.000,0.000
489997.138,31.250,24.902,35.645,6.836,25.391,0.000,0.000,0.000
489997.142,48.828,19.043,37.109,14.648,22.949,0.000,0.000,0.000
489997.146,75.684,25.879,31.250,24.902,42.480,0.000,0.000,0.000
489997.150,51.758,26.367,24.902,18.066,26.855,0.000,0.000,0.000
489997.153,28.320,23.438,27.832,8.301,13.672,0.000,0.000,0.000
489997.157,44.434,22.461,37.109,12.695,45.898,0.000,0.000,0.000
489997.161,67.871,19.531,41.992,17.090,56.641,0.000,0.000,0.000
489997.165,63.965,31.738,39.062,13.184,45.410,0.000,0.000,0.000
489997.169,41.504,28.809,32.715,6.836,26.855,0.000,0.000,0.000
489997.173,40.039,16.113,33.691,8.789,22.461,0.000,0.000,0.000
489997.177,68.848,26.367,33.691,23.438,41.504,0.000,0.000,0.000
489997.181,72.754,23.438,25.879,24.414,33.203,0.000,0.000,0.000
489997.185,30.762,10.254,26.367,11.719,28.809,0.000,0.000,0.000
489997.189,16.113,12.695,26.367,9.277,44.922,0.000,0.000,0.000
489997.193,46.387,20.508,30.762,11.230,61.523,0.000,0.000,0.000
489997.196,58.594,25.391,32.715,11.719,45.410,0.000,0.000,0.000
489997.200,47.363,29.297,31.738,3.906,11.230,0.000,0.000,0.000
489997.204,48.340,19.043,36.621,0.488,19.043,0.000,0.000,0.000
489997.208,62.500,19.531,32.227,1.953,28.320,0.000,0.000,0.000
489997.212,69.336,40.527,30.762,6.348,21.973,0.000,0.000,0.000
489997.216,52.246,32.715,33.203,5.859,26.855,0.000,0.000,0.000
489997.220,34.668,18.066,34.180,2.441,37.598,0.000,0.000,0.000
489997.224,40.527,20.996,33.691,13.672,48.828,0.000,0.000,0.000
489997.228,52.246,29.297,28.809,11.230,50.293,0.000,0.000,0.000
489997.232,45.410,33.691,34.180,3.418,27.832,0.000,0.000,0.000
489997.235,20.508,30.762,36.133,4.395,20.508,0.000,0.000,0.000
489997.239,17.578,29.297,31.250,2.441,28.320,0.000,0.000,0.000
489997.243,49.805,36.621,30.273,-2.441,20.996,0.000,0.000,0.000
489997.247,59.082,31.738,27.832,-0.488,37.109,0.000,0.000,0.000
489997.251,28.809,14.160,28.809,-1.953,81.055,0.000,0.000,0.000
489997.255,28.809,29.297,33.203,-4.883,75.684,0.000,0.000,0.000
489997.259,62.012,41.016,30.273,3.418,39.551,0.000,0.000,0.000
489997.263,65.430,31.738,22.949,6.348,30.762,0.000,0.000,0.000
489997.267,33.203,26.367,25.879,-3.906,41.992,0.000,0.000,0.000
489997.271,27.832,30.762,32.227,-13.672,60.547,0.000,0.000,0.000
489997.275,54.688,36.621,31.250,-5.859,39.551,0.000,0.000,0.000
489997.278,83.496,39.062,31.738,8.301,29.297,0.000,0.000,0.000
489997.282,72.754,35.645,31.250,5.371,55.176,0.000,0.000,0.000
489997.286,47.363,27.832,30.273,-3.418,67.383,0.000,0.000,0.000
489997.290,54.199,29.785,32.227,7.324,41.016,0.000,0.000,0.000
489997.294,74.219,27.344,21.484,12.695,28.320,0.000,0.000,0.000
489997.298,60.059,30.273,14.160,-0.488,71.777,0.000,0.000,0.000
489997.302,17.578,34.180,23.926,-11.230,81.055,0.000,0.000,0.000
489997.306,12.207,28.809,30.762,-9.766,10.742,0.000,0.000,0.000
489997.310,44.922,33.203,26.367,-7.812,-20.508,0.000,0.000,0.000
489997.314,50.781,32.715,27.832,-14.160,4.883,0.000,0.000,0.000
489997.318,14.648,27.832,32.227,-12.695,8.301,0.000,0.000,0.000
489997.321,10.742,22.949,30.273,-10.254,3.906,0.000,0.000,0.000
489997.325,41.504,23.926,33.203,-14.648,11.719,0.000,0.000,0.000
489997.329,53.711,29.785,25.879,-8.789,11.719,0.000,0.000,0.000
489997.333,39.062,27.832,22.461,-5.859,15.137,0.000,0.000,0.000
489997.337,24.414,21.973,26.855,-14.648,20.020,0.000,0.000,0.000
489997.341,40.527,20.508,26.367,-13.672,27.344,0.000,0.000,0.000
489997.345,55.664,32.715,37.598,-10.742,30.762,0.000,0.000,0.000
489997.349,42.969,37.598,40.527,-13.672,26.855,0.000,0.000,0.000
489997.353,22.461,23.438,37.109,-20.508,22.461,0.000,0.000,0.000
489997.357,28.320,26.855,38.086,-16.602,24.414,0.000,0.000,0.000
