timestamps,TP9,AF7,AF8,TP10,Right AUX,Frequency,Contrast,Orientation
486991.469,-11.719,41.992,14.160,5.371,-13.184,0.000,0.000,0.000
486991.473,20.508,36.133,20.020,6.348,24.902,0.000,0.000,0.000
486991.477,70.801,36.621,18.066,26.367,107.422,0.000,0.000,0.000
486991.481,28.809,37.598,12.695,14.648,109.375,0.000,0.000,0.000
486991.485,-32.227,34.668,32.227,-1.953,55.664,0.000,0.000,0.000
486991.489,1.465,35.645,50.293,-0.488,12.207,0.000,0.000,0.000
486991.492,47.363,37.109,50.781,25.879,72.754,0.000,0.000,0.000
486991.496,40.039,40.039,46.387,25.391,121.582,0.000,0.000,0.000
486991.500,-8.789,43.457,40.039,-3.906,28.320,0.000,0.000,0.000
486991.504,-10.742,42.480,27.832,-6.836,-15.137,0.000,0.000,0.000
486991.508,35.156,37.598,24.902,24.414,146.973,0.000,0.000,0.000
486991.512,55.176,35.645,33.203,37.109,190.430,0.000,0.000,0.000
486991.516,15.137,40.527,20.996,8.789,87.402,0.000,0.000,0.000
486991.520,-17.578,40.527,6.836,-8.301,25.879,0.000,0.000,0.000
486991.524,34.180,41.016,16.602,24.902,39.062,0.000,0.000,0.000
486991.528,81.055,41.992,26.855,58.594,105.469,0.000,0.000,0.000
486991.532,29.297,39.551,26.855,29.785,75.195,0.000,0.000,0.000
486991.535,-20.508,39.551,18.066,-2.441,-41.504,0.000,0.000,0.000
486991.539,24.414,33.691,13.184,6.348,-11.230,0.000,0.000,0.000
486991.543,78.125,36.621,32.227,36.133,121.582,0.000,0.000,0.000
486991.547,70.801,44.434,54.688,45.410,138.672,0.000,0.000,0.000
486991.551,-14.648,38.086,51.758,-2.930,40.527,0.000,0.000,0.000
486991.555,-18.066,35.156,41.992,-18.555,-15.137,0.000,0.000,0.000
486991.559,59.082,24.902,34.668,25.391,45.410,0.000,0.000,0.000
486991.563,59.570,31.738,29.785,30.273,96.680,0.000,0.000,0.000
486991.567,-1.465,50.293,30.762,-0.488,132.324,0.000,0.000,0.000
486991.571,-10.254,51.758,32.227,-9.277,124.023,0.000,0.000,0.000
486991.575,46.387,50.293,15.137,25.879,76.660,0.000,0.000,0.000
486991.578,72.266,41.992,8.301,43.457,114.258,0.000,0.000,0.000
486991.582,26.367,41.992,30.762,11.719,81.543,0.000,0.000,0.000
486991.586,-6.348,43.945,43.457,-10.742,-1.953,0.000,0.000,0.000
