timestamps,TP9,AF7,AF8,TP10,Right AUX,Frequency,Contrast,Orientation
483974.359,10.254,26.855,35.645,-1.465,-19.531,0.000,0.000,0.000
483974.363,20.508,26.367,28.809,9.766,22.461,0.000,0.000,0.000
483974.367,27.832,27.344,29.785,42.969,353.516,0.000,0.000,0.000
483974.371,19.531,30.273,34.180,33.203,349.609,0.000,0.000,0.000
483974.374,13.672,31.738,33.691,4.883,-56.641,0.000,0.000,0.000
483974.378,26.855,26.855,29.297,11.719,-197.266,0.000,0.000,0.000
483974.382,36.621,22.461,25.391,43.457,75.684,0.000,0.000,0.000
483974.386,24.902,25.879,22.461,46.387,239.746,0.000,0.000,0.000
483974.390,13.672,32.227,30.762,22.949,36.621,0.000,0.000,0.000
483974.394,26.367,35.156,30.762,17.578,-146.484,0.000,0.000,0.000
483974.398,41.504,34.180,22.949,49.805,56.641,0.000,0.000,0.000
483974.402,34.668,31.738,23.438,68.359,273.926,0.000,0.000,0.000
483974.406,16.113,33.203,27.832,38.086,72.266,0.000,0.000,0.000
483974.410,15.625,32.227,32.715,21.484,-171.387,0.000,0.000,0.000
483974.413,30.273,33.203,35.645,49.316,-35.645,0.000,0.000,0.000
483974.417,31.250,34.668,29.785,73.730,265.137,0.000,0.000,0.000
483974.421,22.949,34.668,26.367,55.664,157.715,0.000,0.000,0.000
483974.425,22.949,34.180,31.250,30.762,-185.547,0.000,0.000,0.000
483974.429,30.762,30.273,30.273,41.016,-151.367,0.000,0.000,0.000
483974.433,33.203,29.785,29.785,74.707,210.938,0.000,0.000,0.000
483974.437,25.391,30.273,32.715,75.684,250.977,0.000,0.000,0.000
483974.441,21.973,29.785,40.527,45.410,-75.684,0.000,0.000,0.000
483974.445,31.250,32.227,38.574,37.598,-186.035,0.000,0.000,0.000
483974.449,35.156,29.297,28.809,62.988,30.762,0.000,0.000,0.000
483974.453,27.344,24.902,23.926,71.289,187.012,0.000,0.000,0.000
483974.456,12.695,25.391,27.344,39.062,-46.387,0.000,0.000,0.000
483974.460,15.625,26.855,35.645,26.367,-264.160,0.000,0.000,0.000
483974.464,35.156,28.809,37.109,61.035,-91.797,0.000,0.000,0.000
483974.468,36.133,28.320,35.645,81.055,186.035,0.000,0.000,0.000
483974.472,14.648,24.902,35.156,48.828,31.250,0.000,0.000,0.000
483974.476,17.090,27.344,34.668,20.508,-239.746,0.000,0.000,0.000
483974.480,28.320,27.832,34.180,38.574,-107.910,0.000,0.000,0.000
483974.484,40.527,25.879,29.785,73.730,181.641,0.000,0.000,0.000
483974.488,37.109,38.574,28.320,60.059,170.410,0.000,0.000,0.000
483974.492,18.555,43.945,29.297,19.043,-119.141,0.000,0.000,0.000
483974.496,25.879,34.668,20.996,24.414,-181.641,0.000,0.000,0.000
483974.499,42.969,35.645,6.836,63.477,82.520,0.000,0.000,0.000
483974.503,41.504,43.945,10.254,63.965,181.641,0.000,0.000,0.000
483974.507,30.273,46.387,22.461,29.297,-90.332,0.000,0.000,0.000
483974.511,37.109,45.410,24.414,29.297,-248.535,0.000,0.000,0.000
483974.515,42.480,37.598,29.785,62.500,4.395,0.000,0.000,0.000
483974.519,45.410,38.086,30.273,72.266,216.797,0.000,0.000,0.000
483974.523,36.133,43.457,23.438,41.992,-0.488,0.000,0.000,0.000
483974.527,32.715,43.457,26.367,28.320,-254.395,0.000,0.000,0.000
483974.531,44.434,43.457,27.344,51.758,-126.953,0.000,0.000,0.000
483974.535,37.109,39.551,19.043,64.941,172.363,0.000,0.000,0.000
483974.538,16.113,39.551,25.391,41.016,99.121,0.000,0.000,0.000
483974.542,21.973,45.898,34.180,20.996,-214.844,0.000,0.000,0.000
483974.546,45.410,47.363,35.156,42.969,-148.926,0.000,0.000,0.000
483974.550,49.316,41.992,33.691,69.824,208.008,0.000,0.000,0.000
483974.554,33.691,41.504,28.320,53.711,209.961,0.000,0.000,0.000
483974.558,23.926,41.992,27.344,22.461,-128.906,0.000,0.000,0.000
483974.562,32.227,42.480,24.902,22.949,-177.246,0.000,0.000,0.000
483974.566,41.992,39.551,20.020,48.828,149.902,0.000,0.000,0.000
483974.570,36.133,38.086,17.578,50.293,286.621,0.000,0.000,0.000
483974.574,16.602,39.062,21.973,17.578,-41.992,0.000,0.000,0.000
483974.578,19.531,39.062,27.832,8.301,-250.977,0.000,0.000,0.000
483974.581,37.109,39.551,27.344,42.480,51.270,0.000,0.000,0.000
483974.585,39.551,38.574,29.297,59.570,353.516,0.000,0.000,0.000
483974.589,20.020,40.039,23.438,26.367,150.879,0.000,0.000,0.000
483974.593,19.531,43.945,23.438,4.883,-128.906,0.000,0.000,0.000
483974.597,33.691,42.480,20.996,28.320,28.809,0.000,0.000,0.000
483974.601,34.180,40.039,16.602,54.688,266.602,0.000,0.000,0.000
483974.605,26.367,40.039,27.832,41.016,114.258,0.000,0.000,0.000
483974.609,25.391,40.039,31.738,11.719,-190.918,0.000,0.000,0.000
483974.613,33.691,31.738,20.508,19.531,-178.223,0.000,0.000,0.000
483974.617,40.527,27.832,16.113,53.223,170.898,0.000,0.000,0.000
483974.620,30.762,33.203,28.320,44.434,224.121,0.000,0.000,0.000
483974.624,16.113,30.762,38.574,12.207,-152.344,0.000,0.000,0.000
483974.628,25.391,28.809,35.645,14.648,-202.637,0.000,0.000,0.000
483974.632,39.062,34.180,29.785,47.363,161.133,0.000,0.000,0.000
483974.636,38.574,36.133,26.855,55.176,257.812,0.000,0.000,0.000
483974.640,26.855,38.574,29.297,21.973,-73.242,0.000,0.000,0.000
483974.644,29.785,37.598,30.762,8.789,-236.816,0.000,0.000,0.000
483974.648,45.410,37.109,25.391,41.016,-8.789,0.000,0.000,0.000
483974.652,41.016,37.109,23.438,54.688,205.566,0.000,0.000,0.000
483974.656,18.066,37.109,26.855,22.949,47.363,0.000,0.000,0.000
483974.660,16.602,35.645,30.273,6.836,-227.539,0.000,0.000,0.000
483974.663,35.156,31.738,34.668,35.645,-139.648,0.000,0.000,0.000
483974.667,36.621,33.691,29.297,58.105,181.641,0.000,0.000,0.000
483974.671,20.996,37.598,25.391,38.574,168.945,0.000,0.000,0.000
483974.675,15.137,33.691,28.809,13.184,-136.719,0.000,0.000,0.000
483974.679,27.344,32.227,26.367,22.461,-180.176,0.000,0.000,0.000
483974.683,33.203,35.645,23.926,52.246,93.750,0.000,0.000,0.000
483974.687,22.949,34.668,31.250,45.898,162.598,0.000,0.000,0.000
483974.691,20.508,38.574,37.109,17.090,-113.770,0.000,0.000,0.000
483974.695,23.926,34.668,28.320,13.672,-213.867,0.000,0.000,0.000
483974.699,26.855,29.297,25.879,47.852,42.969,0.000,0.000,0.000
483974.703,22.949,30.762,24.414,55.176,254.883,0.000,0.000,0.000
483974.706,12.207,29.785,22.461,19.043,45.898,0.000,0.000,0.000
483974.710,22.461,28.809,27.344,5.371,-205.078,0.000,0.000,0.000
