timestamps,TP9,AF7,AF8,TP10,Right AUX,Frequency,Contrast,Orientation
487528.059,-7.812,33.203,29.297,-31.250,-73.730,0.000,0.000,0.000
487528.063,32.227,30.762,36.133,-12.695,13.672,0.000,0.000,0.000
487528.067,62.988,29.297,30.273,12.207,54.688,0.000,0.000,0.000
487528.071,40.527,29.297,24.902,-7.324,41.504,0.000,0.000,0.000
487528.075,5.371,32.715,27.344,-32.715,29.785,0.000,0.000,0.000
487528.079,15.625,34.180,29.297,-25.879,29.785,0.000,0.000,0.000
487528.083,54.199,33.203,31.738,-16.113,42.480,0.000,0.000,0.000
487528.086,48.340,32.227,31.738,-15.625,12.207,0.000,0.000,0.000
487528.090,3.906,31.738,31.738,-35.156,-48.828,0.000,0.000,0.000
487528.094,10.742,32.227,28.320,-36.133,-101.074,0.000,0.000,0.000
487528.098,53.223,28.320,20.996,-16.113,19.531,0.000,0.000,0.000
487528.102,53.711,28.320,16.113,-10.742,184.082,0.000,0.000,0.000
487528.106,5.859,35.156,25.391,-31.738,114.258,0.000,0.000,0.000
487528.110,0.000,33.691,38.086,-42.480,29.297,0.000,0.000,0.000
487528.114,42.969,32.715,34.668,-28.320,97.656,0.000,0.000,0.000
487528.118,56.641,31.738,33.203,-24.414,136.230,0.000,0.000,0.000
487528.122,18.555,28.320,37.598,-44.922,45.410,0.000,0.000,0.000
487528.126,-4.395,25.391,40.527,-61.035,-81.543,0.000,0.000,0.000
487528.129,26.367,23.438,37.109,-52.246,-62.500,0.000,0.000,0.000
487528.133,59.570,25.879,28.320,-48.340,27.344,0.000,0.000,0.000
487528.137,39.062,31.250,24.902,-65.918,32.715,0.000,0.000,0.000
487528.141,-11.230,30.762,25.879,-79.102,-43.457,0.000,0.000,0.000
487528.145,10.742,25.879,27.832,-64.453,-82.520,0.000,0.000,0.000
487528.149,51.270,22.461,29.297,-39.551,-15.137,0.000,0.000,0.000
487528.153,38.574,21.484,33.203,-46.875,63.965,0.000,0.000,0.000
487528.157,-2.930,23.438,29.785,-66.406,9.766,0.000,0.000,0.000
487528.161,5.371,26.855,26.367,-62.012,-55.176,0.000,0.000,0.000
487528.165,44.922,30.762,31.738,-40.527,20.996,0.000,0.000,0.000
487528.168,48.340,26.367,28.320,-29.785,86.914,0.000,0.000,0.000
487528.172,10.742,21.484,25.391,-45.898,-0.488,0.000,0.000,0.000
487528.176,-1.465,24.414,24.902,-62.988,-116.699,0.000,0.000,0.000
487528.180,35.156,29.785,20.996,-43.457,-51.758,0.000,0.000,0.000
