timestamps,TP9,AF7,AF8,TP10,Right AUX,Frequency,Contrast,Orientation
489219.242,-20.020,38.574,26.367,11.719,54.688,0.000,0.000,0.000
489219.246,95.215,37.109,21.484,34.668,41.016,0.000,0.000,0.000
489219.250,96.191,39.551,21.973,28.320,27.344,0.000,0.000,0.000
489219.254,-25.391,41.016,21.973,-1.465,24.414,0.000,0.000,0.000
489219.258,-47.852,29.785,21.973,-5.371,20.508,0.000,0.000,0.000
489219.262,75.195,32.715,24.902,31.738,18.555,0.000,0.000,0.000
489219.266,122.559,39.551,22.949,44.922,13.672,0.000,0.000,0.000
489219.270,14.160,32.715,24.414,17.090,11.719,0.000,0.000,0.000
489219.273,-49.805,36.133,26.367,-2.441,10.742,0.000,0.000,0.000
489219.277,38.086,37.598,21.973,12.695,0.000,0.000,0.000,0.000
489219.281,116.211,31.738,23.438,31.250,-4.883,0.000,0.000,0.000
489219.285,45.410,31.738,25.391,10.742,-1.953,0.000,0.000,0.000
489219.289,-61.035,29.785,22.949,-17.090,-1.465,0.000,0.000,0.000
489219.293,-4.883,29.297,22.461,-4.395,-1.953,0.000,0.000,0.000
489219.297,101.562,34.180,22.461,30.762,5.371,0.000,0.000,0.000
489219.301,69.824,32.227,22.461,20.508,19.043,0.000,0.000,0.000
489219.305,-46.387,31.250,23.438,-10.254,35.156,0.000,0.000,0.000
489219.309,-25.391,35.645,23.926,0.488,31.738,0.000,0.000,0.000
489219.313,93.750,36.621,24.414,34.180,29.785,0.000,0.000,0.000
489219.316,108.398,33.691,24.414,41.016,41.504,0.000,0.000,0.000
489219.320,-19.043,29.297,22.461,14.648,35.645,0.000,0.000,0.000
489219.324,-53.223,26.855,22.461,1.465,26.855,0.000,0.000,0.000
489219.328,64.941,27.344,25.879,28.320,27.344,0.000,0.000,0.000
489219.332,110.840,29.297,26.855,40.527,23.926,0.000,0.000,0.000
489219.336,6.348,27.832,28.320,8.789,21.484,0.000,0.000,0.000
489219.340,-66.895,26.367,33.691,-1.465,17.090,0.000,0.000,0.000
489219.344,23.438,27.832,31.250,24.414,17.578,0.000,0.000,0.000
489219.348,116.211,34.180,30.273,48.828,28.320,0.000,0.000,0.000
489219.352,46.875,27.832,29.785,34.180,20.996,0.000,0.000,0.000
489219.355,-64.453,16.113,24.414,4.883,10.742,0.000,0.000,0.000
489219.359,-10.742,19.531,21.973,17.578,13.184,0.000,0.000,0.000
489219.363,102.051,20.996,22.949,48.340,14.160,0.000,0.000,0.000
489219.367,76.172,22.949,22.949,37.109,5.859,0.000,0.000,0.000
489219.371,-45.410,31.738,29.297,14.160,10.254,0.000,0.000,0.000
489219.375,-38.086,26.367,28.320,20.996,20.508,0.000,0.000,0.000
489219.379,75.195,20.020,22.461,44.922,19.531,0.000,0.000,0.000
489219.383,96.680,27.832,26.855,45.898,16.602,0.000,0.000,0.000
489219.387,-21.484,27.344,32.715,21.973,17.578,0.000,0.000,0.000
489219.391,-69.336,24.414,29.785,9.277,22.461,0.000,0.000,0.000
489219.395,41.016,27.832,21.484,26.367,20.508,0.000,0.000,0.000
489219.398,112.793,28.320,23.438,44.434,25.879,0.000,0.000,0.000
489219.402,27.832,34.668,27.832,31.738,33.203,0.000,0.000,0.000
489219.406,-59.570,36.133,25.879,10.254,38.574,0.000,0.000,0.000
489219.410,20.020,35.156,24.414,29.785,42.969,0.000,0.000,0.000
489219.414,114.258,34.180,24.902,50.293,35.156,0.000,0.000,0.000
