timestamps,TP9,AF7,AF8,TP10,Right AUX,Frequency,Contrast,Orientation
502937.609,6.836,36.621,27.832,-27.832,32.227,0.000,0.000,0.000
502937.613,13.672,40.527,33.691,-26.367,21.973,0.000,0.000,0.000
502937.616,17.090,41.016,35.645,-34.180,20.508,0.000,0.000,0.000
502937.620,19.531,35.156,38.086,-35.156,19.043,0.000,0.000,0.000
502937.624,20.996,32.227,40.527,-27.344,25.879,0.000,0.000,0.000
502937.628,15.625,33.203,42.480,-20.996,36.133,0.000,0.000,0.000
502937.632,18.555,32.715,35.156,-23.926,24.902,0.000,0.000,0.000
502937.636,23.438,35.645,24.414,-29.785,14.648,0.000,0.000,0.000
502937.640,27.344,43.457,20.020,-22.461,11.230,0.000,0.000,0.000
502937.644,30.273,45.898,32.715,-13.184,18.555,0.000,0.000,0.000
502937.648,20.508,39.551,34.180,-18.066,21.973,0.000,0.000,0.000
502937.652,14.160,37.598,30.273,-19.043,27.344,0.000,0.000,0.000
502937.656,17.090,35.645,31.250,-7.812,28.320,0.000,0.000,0.000
502937.660,11.230,32.227,28.809,1.465,16.113,0.000,0.000,0.000
502937.664,16.602,36.133,32.227,-1.465,20.020,0.000,0.000,0.000
502937.667,25.879,33.203,42.480,-6.836,34.180,0.000,0.000,0.000
502937.671,22.949,31.738,43.945,-7.812,35.645,0.000,0.000,0.000
502937.675,14.648,33.691,40.039,-9.766,31.250,0.000,0.000,0.000
502937.679,16.113,30.762,41.016,-18.066,38.574,0.000,0.000,0.000
502937.683,20.020,29.785,35.645,-19.531,41.504,0.000,0.000,0.000
502937.687,21.484,35.156,33.691,-20.020,41.992,0.000,0.000,0.000
502937.691,14.648,39.551,40.527,-22.949,36.621,0.000,0.000,0.000
502937.695,6.348,27.832,37.109,-29.785,22.949,0.000,0.000,0.000
502937.699,10.254,19.043,31.250,-23.438,19.043,0.000,0.000,0.000
502937.703,18.066,27.344,28.320,-14.648,23.926,0.000,0.000,0.000
502937.707,17.090,36.133,26.367,-18.555,30.273,0.000,0.000,0.000
502937.711,14.648,38.574,25.391,-17.578,25.879,0.000,0.000,0.000
