timestamps,TP9,AF7,AF8,TP10,Right AUX,Frequency,Contrast,Orientation
489290.725,-53.223,41.016,24.902,7.812,11.230,0.000,0.000,0.000
489290.729,18.555,31.738,20.020,14.160,15.137,0.000,0.000,0.000
489290.733,87.402,23.438,20.508,30.762,19.043,0.000,0.000,0.000
489290.737,34.668,33.203,26.855,24.414,13.184,0.000,0.000,0.000
489290.741,-61.035,26.855,27.832,1.953,11.230,0.000,0.000,0.000
489290.745,-15.625,20.020,25.879,10.254,13.672,0.000,0.000,0.000
489290.749,78.613,27.832,26.855,32.715,5.859,0.000,0.000,0.000
489290.753,57.129,30.762,25.391,28.320,8.301,0.000,0.000,0.000
489290.757,-41.992,30.273,24.414,5.859,5.859,0.000,0.000,0.000
489290.761,-29.297,33.691,25.391,7.812,15.625,0.000,0.000,0.000
489290.765,70.312,31.738,26.855,31.738,29.297,0.000,0.000,0.000
489290.768,84.961,26.855,26.367,32.715,20.020,0.000,0.000,0.000
489290.772,-11.230,27.832,26.855,14.160,10.254,0.000,0.000,0.000
489290.776,-50.781,24.414,27.832,9.277,3.418,0.000,0.000,0.000
489290.780,43.457,21.484,21.973,24.414,3.906,0.000,0.000,0.000
489290.784,92.285,24.414,20.508,28.320,3.418,0.000,0.000,0.000
489290.788,10.742,25.879,24.902,8.789,8.301,0.000,0.000,0.000
489290.792,-46.387,31.738,26.367,2.441,29.297,0.000,0.000,0.000
489290.796,34.180,37.598,29.297,29.297,32.715,0.000,0.000,0.000
489290.800,110.840,41.504,28.809,47.852,20.996,0.000,0.000,0.000
489290.804,62.012,37.109,25.879,32.227,26.367,0.000,0.000,0.000
489290.808,-24.902,34.668,27.832,11.719,36.621,0.000,0.000,0.000
489290.811,13.184,34.668,27.344,22.461,40.527,0.000,0.000,0.000
489290.815,100.586,29.785,24.414,42.480,32.715,0.000,0.000,0.000
489290.819,83.008,28.320,20.996,30.273,23.926,0.000,0.000,0.000
489290.823,-17.578,29.297,24.902,9.766,29.785,0.000,0.000,0.000
489290.827,-15.625,31.738,33.203,21.973,36.133,0.000,0.000,0.000
489290.831,83.984,31.738,30.762,46.875,30.273,0.000,0.000,0.000
489290.835,108.398,23.926,24.902,49.805,27.344,0.000,0.000,0.000
489290.839,21.484,33.203,25.879,24.902,29.297,0.000,0.000,0.000
489290.843,-21.973,34.668,21.973,7.324,20.996,0.000,0.000,0.000
489290.847,65.430,22.949,20.020,27.832,20.508,0.000,0.000,0.000
489290.850,122.559,28.320,23.438,36.621,22.949,0.000,0.000,0.000
489290.854,54.688,27.344,23.926,14.160,17.578,0.000,0.000,0.000
489290.858,-15.625,26.367,24.902,3.906,20.996,0.000,0.000,0.000
489290.862,44.922,29.297,26.367,20.020,15.137,0.000,0.000,0.000
489290.866,122.070,22.461,26.855,33.691,11.719,0.000,0.000,0.000
489290.870,65.918,21.973,30.762,22.461,20.508,0.000,0.000,0.000
489290.874,-41.504,31.738,30.762,0.488,33.203,0.000,0.000,0.000
489290.878,1.465,31.738,25.879,2.930,35.156,0.000,0.000,0.000
489290.882,94.238,28.809,28.320,32.227,34.668,0.000,0.000,0.000
489290.886,75.195,27.344,31.250,32.227,33.691,0.000,0.000,0.000
489290.890,-18.066,25.879,29.297,4.883,30.762,0.000,0.000,0.000
489290.893,-11.230,24.902,27.832,9.766,42.969,0.000,0.000,0.000
489290.897,89.844,33.203,31.738,35.645,46.875,0.000,0.000,0.000
489290.901,113.281,40.039,37.109,40.039,46.387,0.000,0.000,0.000
489290.905,24.902,35.156,36.133,20.020,38.086,0.000,0.000,0.000
489290.909,-34.668,32.715,29.785,6.348,29.785,0.000,0.000,0.000
489290.913,41.504,34.668,30.762,27.344,36.133,0.000,0.000,0.000
489290.917,110.352,28.320,32.227,44.434,38.574,0.000,0.000,0.000
489290.921,48.340,23.926,32.227,29.785,35.645,0.000,0.000,0.000
489290.925,-38.574,28.320,34.668,15.137,43.457,0.000,0.000,0.000
489290.929,10.742,28.320,33.691,24.902,39.062,0.000,0.000,0.000
489290.932,102.539,28.809,35.645,47.363,33.203,0.000,0.000,0.000
489290.936,76.660,34.180,33.691,41.504,33.691,0.000,0.000,0.000
489290.940,-35.156,27.832,25.879,10.254,32.715,0.000,0.000,0.000
489290.944,-24.902,18.066,22.461,11.719,38.086,0.000,0.000,0.000
489290.948,77.637,21.973,22.949,36.621,38.574,0.000,0.000,0.000
489290.952,87.891,29.785,25.879,28.320,21.973,0.000,0.000,0.000
489290.956,-10.742,37.598,28.320,2.441,18.066,0.000,0.000,0.000
489290.960,-48.340,34.180,22.949,-7.324,17.090,0.000,0.000,0.000
489290.964,53.223,33.203,25.879,14.648,20.020,0.000,0.000,0.000
489290.968,110.352,37.109,25.391,33.691,33.203,0.000,0.000,0.000
489290.972,22.949,29.785,22.461,17.090,25.391,0.000,0.000,0.000
489290.975,-48.340,26.855,25.879,6.836,29.785,0.000,0.000,0.000
489290.979,18.555,25.879,22.949,25.391,30.273,0.000,0.000,0.000
489290.983,91.797,20.508,24.414,38.086,4.395,0.000,0.000,0.000
489290.987,40.039,25.391,27.832,27.832,7.812,0.000,0.000,0.000
489290.991,-46.875,26.855,28.809,6.348,20.996,0.000,0.000,0.000
489290.995,0.000,29.785,33.203,7.324,21.973,0.000,0.000,0.000
489290.999,89.355,33.691,32.715,32.227,15.625,0.000,0.000,0.000
489291.003,70.312,30.762,22.949,30.273,7.324,0.000,0.000,0.000
489291.007,-36.621,29.297,22.949,8.301,10.254,0.000,0.000,0.000
489291.011,-35.156,23.926,24.414,7.812,12.695,0.000,0.000,0.000
489291.015,73.730,20.996,22.949,33.203,20.020,0.000,0.000,0.000
