timestamps,TP9,AF7,AF8,TP10,Right AUX,Frequency,Contrast,Orientation
484111.319,20.996,25.879,29.297,6.348,-244.629,0.000,0.000,0.000
484111.323,30.762,25.879,21.484,28.809,40.527,0.000,0.000,0.000
484111.327,23.926,23.926,21.973,45.898,238.770,0.000,0.000,0.000
484111.331,5.859,20.996,30.762,16.113,57.129,0.000,0.000,0.000
484111.335,8.301,26.367,35.156,-6.836,-187.012,0.000,0.000,0.000
484111.339,26.367,29.297,30.273,20.020,-81.543,0.000,0.000,0.000
484111.343,33.691,30.762,27.344,50.293,205.078,0.000,0.000,0.000
484111.347,22.461,34.668,22.949,32.227,152.344,0.000,0.000,0.000
484111.350,17.090,37.598,21.484,8.301,-158.203,0.000,0.000,0.000
484111.354,28.320,33.691,18.555,18.066,-186.523,0.000,0.000,0.000
484111.358,42.480,34.668,23.438,51.758,136.719,0.000,0.000,0.000
484111.362,39.551,40.039,34.180,52.734,196.777,0.000,0.000,0.000
484111.366,23.438,38.086,31.250,15.625,-125.000,0.000,0.000,0.000
484111.370,29.297,33.691,29.297,15.625,-226.562,0.000,0.000,0.000
484111.374,42.969,33.691,29.297,48.828,42.480,0.000,0.000,0.000
484111.378,38.086,36.621,24.414,55.176,237.793,0.000,0.000,0.000
484111.382,23.438,36.133,27.344,24.902,3.418,0.000,0.000,0.000
484111.386,23.438,32.715,27.344,6.836,-265.137,0.000,0.000,0.000
484111.389,40.039,32.715,23.926,34.180,-54.199,0.000,0.000,0.000
484111.393,44.922,31.738,26.367,54.199,280.762,0.000,0.000,0.000
484111.397,28.320,34.180,33.203,29.785,129.395,0.000,0.000,0.000
484111.401,27.344,36.133,38.574,13.184,-163.574,0.000,0.000,0.000
484111.405,43.945,34.668,35.645,34.668,-93.750,0.000,0.000,0.000
484111.409,49.805,36.621,33.203,60.059,192.871,0.000,0.000,0.000
484111.413,36.621,35.156,28.809,45.898,207.031,0.000,0.000,0.000
484111.417,20.996,29.785,27.344,17.578,-83.984,0.000,0.000,0.000
484111.421,29.297,24.902,29.785,23.926,-87.891,0.000,0.000,0.000
484111.425,42.969,30.273,28.809,53.223,191.895,0.000,0.000,0.000
484111.429,28.809,30.762,30.762,47.363,243.652,0.000,0.000,0.000
484111.432,9.277,28.320,33.203,12.207,-39.062,0.000,0.000,0.000
484111.436,20.996,31.738,39.062,8.789,-235.352,0.000,0.000,0.000
484111.440,34.668,30.762,37.109,37.598,32.227,0.000,0.000,0.000
484111.444,24.414,26.855,26.367,44.922,296.387,0.000,0.000,0.000
484111.448,10.254,25.879,27.832,20.508,84.473,0.000,0.000,0.000
484111.452,20.020,30.762,32.227,11.230,-169.434,0.000,0.000,0.000
484111.456,34.668,33.203,30.273,37.109,29.297,0.000,0.000,0.000
484111.460,39.062,32.227,28.809,59.570,315.430,0.000,0.000,0.000
484111.464,30.762,34.668,37.109,41.504,191.406,0.000,0.000,0.000
484111.468,26.367,34.180,42.969,18.066,-81.055,0.000,0.000,0.000
484111.472,36.621,34.668,37.109,30.762,-59.570,0.000,0.000,0.000
