timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
214135.225,21.484,33.203,57.129,19.043,3.418,0
214135.229,10.254,32.227,46.387,8.789,-3.418,0
214135.233,17.090,27.832,37.598,17.090,3.906,0
214135.237,31.738,27.832,42.969,37.109,18.555,0
214135.241,26.367,31.250,28.809,39.062,17.578,0
214135.245,15.137,33.691,22.949,28.320,23.926,0
214135.249,23.926,36.621,49.316,23.926,47.363,0
214135.253,41.016,31.738,63.965,30.273,44.922,0
214135.257,33.203,26.367,63.965,26.855,25.391,0
214135.261,11.719,29.785,62.500,13.184,18.066,0
214135.264,15.137,32.227,53.223,14.648,22.461,0
214135.268,30.273,26.367,38.086,26.855,30.762,0
214135.270,27.832,24.902,35.645,27.344,26.367,0
214135.274,9.766,26.855,41.016,10.742,19.043,0
214135.278,14.648,30.762,52.734,4.883,31.250,0
214135.282,32.227,29.297,52.734,19.043,40.039,0
214135.286,38.574,29.297,40.039,32.715,28.320,0
214135.289,24.414,31.738,36.133,21.484,18.555,0
214135.293,18.066,33.691,41.016,13.672,31.250,0
214135.297,33.691,32.715,51.758,22.461,39.551,0
214135.301,47.363,33.691,52.734,29.297,26.367,0
214135.305,37.109,37.109,51.270,26.367,20.996,0
214135.309,19.043,33.203,41.016,16.113,27.832,0
214135.313,24.902,30.762,23.438,12.695,37.109,0
214135.314,36.621,32.715,35.156,19.531,43.945,0
214135.318,28.809,33.203,46.875,20.996,38.086,0
214135.322,18.555,37.109,49.316,16.602,37.598,0
214135.326,20.996,37.598,54.199,17.090,42.480,0
214135.330,32.227,33.203,55.176,27.832,28.809,0
214135.334,31.738,30.762,42.969,30.762,14.160,0
214135.338,14.648,31.738,42.480,17.578,10.254,0
214135.342,6.348,32.227,53.711,10.254,12.207,0
214135.346,20.020,31.738,51.270,17.578,30.273,0
214135.350,33.691,35.156,31.738,31.250,39.062,0
214135.353,25.391,36.621,30.762,20.020,39.062,0
214135.357,12.207,36.133,46.875,2.930,40.527,0
214135.359,20.020,34.180,43.945,10.254,14.648,0
214135.363,41.992,35.156,36.133,30.273,-2.930,0
214135.367,35.156,35.645,32.227,30.273,6.836,0
214135.371,17.090,35.156,43.457,13.184,20.020,0
214135.375,19.531,32.715,55.664,11.719,31.250,0
214135.379,38.086,32.715,46.387,26.367,36.133,0
214135.383,38.086,33.203,41.016,27.832,38.574,0
214135.387,18.066,32.715,47.363,11.719,28.320,0
214135.391,11.230,29.785,44.434,6.348,20.020,0
214135.395,32.227,34.668,49.805,26.855,33.203,0
214135.398,39.062,36.133,39.551,31.250,31.250,0
214135.402,19.531,33.691,25.391,12.207,17.578,0
214135.419,7.812,30.273,35.645,3.906,35.645,0
214135.423,26.367,31.250,41.016,15.137,60.547,0
214135.427,48.828,35.645,42.480,36.133,35.156,0
214135.431,33.691,30.273,35.156,34.180,9.277,0
214135.435,15.625,23.926,32.227,18.066,19.531,0
214135.439,29.297,24.414,51.270,19.531,23.438,0
214135.443,49.316,28.809,62.500,34.180,27.832,0
214135.447,42.480,30.762,44.922,34.668,29.297,0
214135.451,24.902,34.180,35.645,22.949,34.668,0
214135.455,25.879,35.156,39.551,20.508,47.852,0
214135.458,43.945,34.180,42.969,29.297,53.711,0
214135.462,47.852,35.645,45.898,36.133,45.898,0
214135.465,26.855,35.156,39.062,26.855,32.227,0
214135.469,18.555,35.645,41.992,21.484,40.527,0
