timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
213709.598,12.207,31.738,30.762,18.555,19.531,0
213709.602,40.527,33.691,34.668,32.715,21.973,0
213709.606,40.039,33.691,40.527,35.156,21.484,0
213709.610,12.695,38.086,45.410,25.879,16.113,0
213709.614,27.832,40.039,43.945,18.066,16.113,0
213709.618,45.410,35.156,36.621,28.320,30.762,0
213709.621,38.086,34.180,29.785,34.668,37.109,0
213709.625,27.344,32.715,26.367,17.090,21.484,0
213709.629,18.066,30.762,32.227,3.906,16.113,0
213709.633,23.438,30.762,36.621,14.648,21.973,0
213709.637,31.738,35.645,35.156,31.250,17.090,0
213709.641,21.973,38.086,31.738,21.484,12.695,0
213709.645,7.812,30.273,34.668,10.254,23.926,0
213709.648,44.434,26.367,43.457,24.902,46.387,0
213709.652,34.668,24.902,49.805,40.527,27.344,0
213709.656,5.859,22.461,44.434,29.297,3.906,0
213709.660,14.648,22.949,38.086,9.766,15.137,0
213709.664,2.930,21.973,35.645,8.301,29.297,0
213709.668,18.066,20.996,44.434,22.461,42.480,0
213709.672,30.273,24.414,44.922,31.738,37.109,0
213709.676,5.371,27.344,35.156,20.508,24.414,0
213709.680,19.531,29.297,29.297,17.090,28.320,0
213709.684,56.641,31.250,32.227,28.809,39.062,0
213709.688,38.086,32.227,29.297,34.668,30.273,0
213709.688,14.160,31.250,16.113,22.949,16.113,0
213709.692,16.602,34.180,22.461,17.578,42.969,0
213709.696,29.297,38.574,33.203,35.156,45.410,0
213709.700,34.180,32.227,41.992,40.039,11.230,0
213709.703,35.645,27.344,41.016,25.391,13.672,0
213709.707,21.973,33.203,36.621,15.625,25.391,0
213709.711,20.508,36.621,32.227,21.973,26.367,0
213709.715,41.992,32.715,24.414,29.297,36.133,0
213709.719,20.508,30.762,22.949,21.973,48.828,0
213709.723,-0.977,32.227,26.367,12.695,46.875,0
213709.727,20.020,35.156,31.738,15.625,31.738,0
213709.731,46.875,37.109,39.062,30.762,23.438,0
213709.733,30.762,34.180,39.062,32.715,31.738,0
213709.737,22.461,34.180,32.227,18.066,51.270,0
213709.741,28.809,36.133,22.461,14.648,55.176,0
213709.745,32.715,34.180,24.414,30.762,44.434,0
213709.749,47.852,29.785,27.344,40.039,41.992,0
213709.753,16.113,25.391,28.809,30.273,37.109,0
213709.757,-15.625,27.832,33.203,13.184,35.156,0
213709.760,0.000,29.785,32.715,19.043,45.898,0
213709.764,34.180,28.320,36.133,30.762,36.133,0
213709.768,26.367,26.367,37.109,19.043,20.996,0
213709.772,5.859,33.203,35.645,4.395,37.598,0
213709.776,31.738,38.086,40.527,15.625,54.199,0
213709.778,47.852,33.691,38.574,37.109,40.039,0
213709.782,30.762,35.156,29.297,31.250,38.086,0
213709.786,-3.418,33.203,21.973,10.254,41.992,0
213709.790,6.836,28.320,24.414,8.789,37.109,0
213709.793,43.457,26.855,38.086,26.367,17.578,0
213709.797,23.926,27.832,41.504,27.832,4.883,0
213709.801,-13.672,31.250,36.133,13.184,11.719,0
213709.805,6.348,30.273,36.621,3.418,17.090,0
213709.809,31.250,28.320,43.457,16.602,30.273,0
213709.813,34.180,30.273,40.527,33.203,32.715,0
213709.817,13.672,30.273,27.344,6.348,26.367,0
213709.821,-14.648,28.320,32.227,-19.043,28.320,0
213709.823,-6.348,25.879,39.062,-1.953,37.598,0
213709.827,5.859,22.949,26.367,16.602,46.875,0
213709.831,-2.930,23.926,21.973,12.695,20.996,0
213709.835,-6.348,24.414,29.297,-2.441,-9.277,0
213709.839,22.461,23.926,35.156,3.418,6.348,0
213709.843,44.922,30.762,32.227,28.320,32.227,0
213709.846,18.066,34.668,30.762,38.574,31.250,0
213709.850,5.859,33.203,42.480,15.625,22.461,0
213709.854,7.324,34.668,49.805,11.719,27.832,0
213709.858,36.621,40.039,43.945,27.832,28.320,0
213709.862,51.270,49.805,29.297,33.691,26.855,0
213709.866,34.180,47.852,28.320,22.461,27.832,0
213709.869,27.832,31.738,30.762,4.395,29.785,0
213709.873,29.297,25.879,27.832,24.414,37.598,0
213709.877,28.320,33.203,24.902,42.480,41.992,0
213709.881,5.371,35.645,27.344,30.273,29.785,0
213709.885,5.371,37.109,36.621,24.902,18.555,0
213709.889,24.414,34.180,36.133,32.227,26.855,0
213709.892,45.410,32.715,30.762,42.480,35.645,0
213709.896,28.320,35.645,27.344,40.039,48.340,0
213709.900,2.930,39.062,26.855,19.043,53.711,0
213709.904,20.020,36.621,27.832,14.160,39.062,0
213709.908,30.762,34.668,25.391,33.203,35.156,0
213709.912,25.879,39.062,28.320,40.527,26.855,0
213709.928,23.926,34.668,26.855,26.855,18.555,0
213709.932,20.020,36.133,32.227,18.066,32.227,0
213709.936,27.832,41.504,35.645,33.203,31.250,0
213709.940,38.086,36.621,24.902,35.645,17.090,0
213709.944,33.691,35.645,23.438,23.438,17.578,0
213709.948,19.043,37.109,29.297,14.160,23.926,0
213709.952,34.668,34.180,32.715,14.160,28.320,0
213709.955,19.043,32.715,26.855,23.438,16.602,0
213709.959,2.930,33.203,30.273,17.090,19.531,0
213709.963,7.812,35.156,41.992,8.789,31.738,0
213709.967,32.715,37.109,44.434,18.555,34.668,0
213709.971,40.039,34.668,38.086,36.621,39.551,0
213709.974,11.230,32.715,29.785,27.832,33.203,0
213709.978,14.648,37.109,10.742,10.254,26.855,0
213709.981,24.902,35.645,12.695,13.184,31.250,0
213709.985,31.250,33.691,41.504,25.391,36.133,0
213709.989,29.785,36.133,52.246,25.879,15.625,0
213709.993,18.555,38.574,46.387,13.184,4.395,0
213709.997,9.766,41.992,51.270,10.254,19.043,0
213710.001,10.254,39.062,47.852,14.160,29.785,0
213710.005,21.973,32.227,26.367,14.160,26.855,0
213710.009,17.090,27.344,24.414,5.859,18.555,0
213710.013,10.254,30.273,24.902,3.418,31.738,0
213710.017,28.320,34.668,13.672,20.020,50.293,0
213710.018,52.734,34.668,29.785,36.621,44.434,0
213710.022,36.133,32.227,41.016,29.297,40.039,0
213710.026,12.207,33.203,30.762,17.090,47.363,0
213710.030,26.855,37.598,39.551,33.203,45.410,0
213710.034,36.621,32.715,48.340,35.645,37.109,0
213710.038,26.855,28.809,41.016,20.508,21.484,0
213710.041,8.301,34.668,38.086,15.625,16.113,0
213710.045,30.273,36.133,30.762,20.508,34.668,0
213710.049,52.246,36.133,8.789,33.691,38.086,0
213710.053,26.367,41.504,18.555,38.086,29.297,0
213710.057,15.137,38.086,41.992,29.785,43.457,0
213710.061,23.926,28.809,45.410,25.391,42.480,0
213710.064,30.762,30.273,54.199,35.156,41.504,0
213710.068,32.715,32.715,54.688,42.969,52.734,0
213710.071,27.344,30.762,41.992,33.691,37.109,0
213710.075,18.555,31.738,36.621,19.531,16.113,0
213710.079,31.250,32.227,36.621,20.996,25.391,0
213710.083,39.551,31.250,35.645,36.133,31.250,0
213710.087,8.301,33.691,29.297,27.832,23.438,0
213710.091,5.371,39.062,25.879,16.602,38.574,0
213710.095,32.227,44.434,39.551,23.438,52.734,0
213710.099,57.617,43.945,58.105,37.598,48.828,0
213710.103,53.223,41.016,54.688,37.109,27.832,0
213710.107,23.438,39.551,33.203,25.879,23.438,0
213710.109,19.531,38.086,18.066,18.066,48.340,0
213710.113,34.180,35.645,26.367,32.715,50.781,0
213710.117,32.227,38.574,38.086,40.039,32.715,0
213710.121,20.508,41.016,49.805,23.926,36.621,0
213710.125,19.043,37.109,55.664,12.695,43.457,0
213710.129,27.832,33.203,47.363,24.414,37.598,0
213710.133,35.645,33.691,37.109,39.551,37.109,0
213710.137,42.480,37.109,35.645,32.715,29.297,0
213710.141,25.879,42.480,40.527,16.113,20.508,0
213710.144,12.695,43.457,36.621,11.719,12.695,0
213710.148,21.484,34.180,26.367,20.508,20.996,0
213710.152,17.578,28.320,19.531,21.973,27.832,0
213710.153,4.883,30.273,19.531,11.719,18.066,0
213710.157,18.555,32.227,32.227,9.766,44.434,0
213710.161,49.316,30.762,46.875,19.043,57.129,0
213710.165,44.434,31.250,43.457,22.949,31.738,0
213710.169,2.930,29.785,35.645,11.719,15.625,0
213710.172,-3.906,31.738,39.551,7.812,16.113,0
213710.176,25.391,44.922,43.945,27.344,30.273,0
213710.180,38.086,48.828,36.133,33.691,28.809,0
213710.184,18.066,40.527,29.297,15.137,16.113,0
213710.188,15.625,34.180,27.344,9.277,21.484,0
213710.192,34.668,33.203,31.738,21.973,36.621,0
213710.196,29.785,32.227,44.434,33.691,32.227,0
213710.198,31.250,29.785,40.527,23.926,13.184,0
213710.202,34.668,30.273,25.879,10.254,24.902,0
213710.206,25.879,29.785,27.832,17.090,37.109,0
213710.210,30.762,32.715,39.062,34.668,46.875,0
