timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
213994.795,26.367,38.086,33.203,31.738,20.020,0
213994.799,31.250,36.133,37.109,33.691,27.832,0
213994.803,40.527,29.297,40.527,42.969,38.574,0
213994.807,36.133,26.367,29.785,42.480,36.133,0
213994.811,24.414,32.227,28.809,33.203,35.645,0
213994.814,20.508,37.109,37.109,28.809,51.758,0
213994.818,25.879,32.715,16.113,35.156,48.828,0
213994.822,35.156,33.691,9.766,41.504,28.809,0
213994.826,22.949,35.645,35.645,29.785,27.832,0
213994.830,8.301,36.133,42.969,15.137,18.555,0
213994.834,25.391,37.109,44.922,21.973,7.812,0
213994.838,46.875,39.062,45.898,40.039,15.625,0
213994.854,34.180,40.039,31.250,34.668,25.879,0
213994.858,11.230,35.156,29.785,19.043,44.434,0
213994.862,19.531,32.715,33.203,26.855,49.805,0
213994.866,42.969,35.156,15.625,44.434,28.809,0
213994.870,41.992,40.039,10.742,43.945,10.742,0
213994.874,25.391,39.062,32.227,28.809,19.531,0
213994.877,22.949,38.574,47.852,22.461,33.691,0
213994.881,44.434,45.410,51.758,41.016,44.434,0
213994.885,51.270,40.527,43.945,50.781,54.688,0
213994.889,30.762,31.738,33.203,35.156,41.992,0
213994.893,21.484,33.691,35.645,30.762,32.715,0
213994.897,37.109,35.156,38.086,45.898,36.133,0
213994.899,51.270,39.062,28.809,60.059,42.480,0
213994.903,37.109,41.016,20.996,49.805,41.504,0
213994.907,20.020,37.598,26.367,34.180,44.922,0
213994.911,32.227,33.691,34.668,46.387,64.453,0
213994.915,47.363,33.203,31.250,54.199,59.082,0
213994.919,38.574,36.621,21.973,41.504,40.527,0
213994.923,30.273,42.480,33.203,35.645,43.457,0
213994.927,39.062,42.969,42.480,31.738,39.551,0
213994.930,55.664,38.574,32.227,35.156,32.227,0
213994.934,53.711,36.621,28.809,41.992,38.574,0
213994.938,35.645,38.574,35.156,31.250,32.227,0
213994.942,35.645,42.480,31.250,28.320,30.762,0
213994.944,54.199,41.504,33.203,50.293,51.270,0
213994.948,60.059,45.410,22.949,60.059,62.500,0
213994.952,38.574,46.875,7.812,44.922,56.641,0
213994.956,24.414,35.645,12.207,24.414,42.969,0
213994.960,36.621,30.273,29.785,24.902,41.504,0
213994.964,49.805,33.691,45.898,41.016,39.551,0
213994.967,29.297,29.785,45.410,29.785,38.086,0
213994.971,9.277,26.367,41.504,8.789,34.180,0
213994.975,21.973,24.414,40.039,17.090,30.273,0
213994.979,41.016,24.902,40.039,35.156,26.855,0
213994.983,34.180,28.320,39.062,34.180,24.414,0
213994.987,15.137,31.250,34.180,18.066,24.414,0
213994.990,22.949,32.715,34.668,14.648,28.320,0
213994.994,43.457,28.320,35.645,33.203,27.344,0
213994.998,41.016,23.926,28.320,39.062,12.695,0
213995.001,25.879,28.320,16.602,27.344,13.184,0
213995.005,23.926,35.156,9.277,20.996,33.203,0
213995.009,38.574,37.598,17.090,38.086,44.434,0
213995.013,51.758,38.574,30.273,48.828,38.086,0
213995.017,36.133,33.691,41.504,26.855,37.598,0
213995.021,19.531,23.926,49.805,12.207,49.805,0
213995.025,35.156,22.461,47.852,22.949,54.688,0
213995.029,49.805,27.832,40.527,36.133,41.504,0
213995.033,39.062,28.809,34.668,30.762,32.715,0
213995.034,20.508,27.832,27.832,19.043,24.414,0
213995.038,26.855,31.250,30.762,23.438,10.742,0
213995.042,50.781,36.133,39.551,37.598,11.719,0
213995.046,44.434,38.574,35.156,35.156,20.508,0
213995.050,22.949,41.504,21.973,20.996,33.691,0
213995.053,24.902,41.016,19.043,16.602,47.363,0
213995.057,45.410,35.156,25.879,29.785,44.922,0
213995.061,49.805,34.668,27.832,35.156,33.691,0
213995.065,35.156,39.551,32.227,21.973,19.043,0
213995.069,29.297,38.574,30.762,18.066,25.879,0
213995.073,39.062,37.109,22.461,30.762,45.898,0
213995.077,51.758,36.621,26.855,38.086,54.688,0
213995.079,37.109,34.668,36.133,32.227,50.293,0
213995.083,22.949,33.203,40.039,27.344,59.082,0
213995.087,32.227,32.715,29.297,35.645,64.453,0
213995.091,46.387,32.715,26.855,43.457,36.621,0
213995.095,34.668,30.762,32.715,33.203,19.531,0
213995.099,21.973,36.621,32.715,27.344,32.227,0
213995.103,30.273,39.551,33.203,32.715,37.598,0
213995.106,37.109,34.180,24.414,34.668,34.668,0
213995.110,31.738,35.156,15.137,31.738,28.320,0
213995.114,19.043,34.668,23.438,19.531,39.551,0
213995.118,18.555,33.203,30.273,16.113,54.199,0
213995.122,31.738,33.691,24.902,28.320,41.992,0
213995.124,37.598,32.715,23.438,37.109,25.879,0
213995.128,23.438,31.738,31.250,23.438,19.043,0
213995.132,16.602,32.227,38.086,12.207,31.738,0
213995.136,36.133,33.203,38.086,27.344,40.039,0
213995.140,54.688,39.062,30.762,45.410,43.457,0
213995.144,41.504,44.434,21.484,43.945,42.480,0
213995.147,18.066,37.598,27.344,23.926,41.016,0
213995.151,22.461,30.762,41.016,25.879,54.688,0
213995.155,41.992,29.297,36.621,41.992,47.852,0
213995.159,39.551,32.227,34.668,39.551,36.621,0
213995.163,26.367,38.574,40.039,31.738,37.598,0
213995.167,30.762,40.527,47.852,36.133,39.551,0
213995.184,48.828,38.086,47.852,44.434,35.156,0
213995.188,47.363,33.691,42.969,38.574,26.367,0
213995.192,28.809,31.250,32.715,23.438,25.879,0
213995.196,26.367,30.762,21.484,20.508,41.504,0
213995.200,39.551,28.809,25.879,32.715,53.223,0
213995.204,49.805,33.203,35.156,43.457,33.203,0
213995.207,40.039,39.551,42.480,39.551,20.020,0
213995.211,26.367,38.574,43.457,20.996,26.367,0
213995.215,39.062,41.504,37.598,20.996,40.039,0
213995.219,50.781,39.551,32.227,33.691,41.992,0
213995.223,35.645,35.156,22.461,22.949,41.992,0
213995.227,21.973,34.180,23.926,17.090,56.152,0
213995.216,31.738,34.668,29.297,29.785,62.500,0
213995.220,45.410,34.180,30.273,36.133,47.852,0
213995.224,44.434,35.645,34.668,35.645,41.504,0
213995.228,31.250,37.598,46.875,30.273,34.180,0
213995.232,30.273,36.621,42.480,26.367,35.156,0
213995.236,46.387,36.621,35.645,38.574,53.711,0
213995.240,45.410,36.621,41.504,43.457,34.180,0
213995.244,23.438,31.738,35.645,22.461,13.672,0
213995.248,16.113,29.785,21.973,15.137,25.391,0
213995.252,31.738,31.738,14.648,29.785,24.414,0
213995.256,36.133,30.762,26.367,34.668,6.836,0
213995.259,18.555,33.203,41.992,22.949,0.000,0
213995.274,7.324,34.180,38.574,13.184,6.836,0
213995.278,23.926,35.156,45.410,21.973,23.926,0
213995.282,41.504,37.598,49.805,36.133,40.039,0
213995.286,29.297,32.227,42.969,32.715,35.156,0
213995.290,12.695,25.879,41.504,23.926,29.297,0
213995.294,22.461,29.785,45.410,27.832,37.109,0
213995.298,42.969,29.297,48.340,42.480,43.945,0
213995.302,39.551,24.902,40.527,37.598,38.574,0
213995.305,18.555,28.809,34.180,18.066,23.926,0
213995.309,20.508,33.691,31.250,16.113,23.438,0
213995.313,42.969,32.715,31.250,31.738,30.762,0
213995.317,44.922,34.668,35.156,38.574,28.809,0
213995.320,27.344,40.527,36.621,24.414,36.133,0
213995.323,24.414,44.434,34.180,19.531,39.062,0
213995.327,40.527,40.039,31.250,37.109,40.527,0
213995.331,47.852,34.180,36.621,49.805,39.551,0
213995.335,31.738,30.762,36.621,37.109,26.855,0
213995.339,18.555,31.250,31.738,24.902,28.320,0
213995.343,34.668,32.715,40.527,32.715,42.480,0
213995.347,54.199,33.203,42.969,48.828,53.711,0
213995.351,45.410,37.109,37.109,42.969,62.988,0
213995.355,24.902,38.086,43.457,25.879,60.547,0
213995.359,32.715,39.062,51.758,31.250,63.965,0
213995.362,50.781,36.621,46.875,49.316,66.895,0
213995.364,34.180,28.809,36.133,42.969,34.668,0
213995.368,10.742,26.855,19.531,21.484,14.160,0
213995.372,15.625,26.855,15.625,18.066,31.738,0
