timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1486664799.048,57.129,28.809,34.668,48.828,-59.082,0
1486664799.052,48.340,25.879,35.156,50.293,-17.090,0
1486664799.056,32.227,24.414,36.621,54.688,65.918,0
1486664799.060,23.438,24.414,36.621,50.293,109.863,0
1486664799.064,30.762,22.461,36.621,37.598,20.020,0
1486664799.068,38.574,23.438,37.109,40.527,-24.414,0
1486664799.072,32.715,25.879,40.527,50.293,-6.348,0
1486664799.076,34.668,23.926,42.480,56.641,31.738,0
1486664799.080,30.273,22.461,40.039,60.059,99.609,0
1486664799.084,25.391,25.879,39.551,50.781,56.152,0
1486664799.087,36.133,24.414,37.109,51.758,-9.277,0
1486664799.091,37.598,21.484,36.133,57.129,-2.930,0
1486664799.095,33.203,23.438,39.551,68.359,58.105,0
1486664799.099,28.320,23.926,42.969,73.730,146.484,0
1486664799.103,31.250,21.973,41.504,56.641,80.078,0
1486664799.107,44.922,21.484,36.133,52.734,-19.531,0
1486664799.111,45.898,25.391,37.109,57.617,9.277,0
1486664799.115,38.574,25.391,39.062,61.523,68.359,0
1486664799.119,31.250,21.484,39.062,68.359,142.090,0
1486664799.123,34.668,21.484,40.039,57.129,76.172,0
1486664799.127,48.828,20.996,39.062,53.711,-42.969,1
1486664799.130,54.688,21.973,41.016,61.035,-29.297,0
1486664799.134,43.457,23.438,41.016,60.547,-24.902,0
1486664799.138,32.715,25.879,41.992,67.871,49.805,0
1486664799.142,37.598,31.250,41.016,61.035,84.961,0
1486664799.146,39.551,24.902,35.645,44.434,-1.953,0
1486664799.150,41.016,22.461,40.527,51.270,-29.785,0
1486664799.154,36.621,27.832,38.574,57.617,3.906,0
1486664799.158,24.414,27.344,34.180,62.988,106.445,0
1486664799.162,20.996,26.367,35.156,57.617,90.820,0
1486664799.166,26.855,26.855,35.156,46.387,-12.695,0
1486664799.169,32.715,27.832,40.039,48.828,-19.043,0
1486664799.173,29.785,27.832,38.086,53.711,10.742,0
1486664799.177,26.367,27.344,36.621,63.965,69.336,0
1486664799.181,29.297,28.809,41.992,62.500,92.285,0
1486664799.185,35.645,28.320,40.527,52.734,2.930,0
1486664799.189,41.992,21.973,33.691,54.199,-11.719,0
1486664799.193,37.598,20.996,35.156,61.035,10.742,0
1486664799.197,28.320,26.855,37.598,68.359,87.891,0
1486664799.201,27.832,26.855,38.086,59.082,125.000,0
1486664799.205,35.156,23.926,37.598,48.828,33.691,0
1486664799.209,44.434,23.438,35.156,51.758,0.488,0
1486664799.212,46.387,28.809,38.086,52.734,7.812,0
1486664799.216,33.691,32.227,43.457,57.129,72.754,0
1486664799.220,16.113,24.414,40.039,49.805,93.262,0
1486664799.224,25.391,20.508,38.086,41.504,4.883,0
1486664799.228,38.574,26.367,38.574,43.457,-1.465,0
1486664799.232,38.574,30.762,37.598,45.898,15.625,0
1486664799.236,28.809,25.391,37.598,56.152,72.266,0
1486664799.240,22.949,25.391,37.109,51.270,154.297,0
