timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1486664616.629,31.250,28.809,40.527,39.062,-126.953,0
1486664616.632,31.250,24.414,44.922,52.734,-83.008,0
1486664616.636,36.133,21.973,40.527,74.707,96.191,0
1486664616.640,46.875,22.461,41.016,74.219,213.379,0
1486664616.644,38.086,23.926,43.457,49.805,41.016,0
1486664616.648,32.715,23.438,39.551,53.223,-113.281,0
1486664616.652,36.133,25.879,38.086,58.105,-104.004,0
1486664616.656,34.668,27.832,43.945,63.965,35.645,0
1486664616.660,45.898,25.879,45.898,82.520,220.703,0
1486664616.664,39.062,26.855,41.992,62.012,93.262,0
1486664616.668,30.273,28.320,36.133,47.852,-69.824,0
1486664616.672,31.738,25.391,34.180,57.129,-109.863,0
1486664616.675,30.273,23.926,35.645,66.895,24.414,0
1486664616.679,35.156,23.926,36.133,79.102,239.746,0
1486664616.683,36.621,27.344,38.086,51.758,101.074,0
1486664616.687,40.527,29.785,38.086,38.086,-141.113,0
1486664616.691,39.551,28.809,38.086,59.082,-152.344,0
1486664616.695,36.133,25.391,37.598,73.242,-22.949,0
1486664616.699,50.293,28.320,39.062,82.520,182.617,0
1486664616.703,47.363,32.227,35.156,62.012,127.441,0
1486664616.707,36.133,29.297,28.320,36.621,-105.469,0
1486664616.711,37.598,25.391,31.738,43.457,-140.137,0
1486664616.715,36.621,23.926,34.668,59.082,-13.672,0
1486664616.718,36.621,24.902,32.715,67.871,195.801,0
1486664616.722,38.574,25.879,35.645,54.688,183.594,0
1486664616.726,29.297,23.926,35.645,39.062,-48.340,0
1486664616.730,31.738,23.438,35.645,43.945,-101.074,0
1486664616.734,25.879,26.367,41.016,50.781,-2.441,0
1486664616.738,29.785,23.926,37.598,70.801,189.453,0
1486664616.742,43.945,22.949,39.062,64.453,210.449,0
1486664616.746,28.809,21.973,38.574,39.062,-27.832,0
1486664616.750,30.273,20.996,33.203,46.875,-127.441,0
1486664616.754,36.133,21.484,34.668,56.152,-76.172,0
1486664616.757,41.992,23.438,37.109,71.777,161.133,0
1486664616.761,46.875,27.344,36.621,73.242,257.812,0
1486664616.765,39.062,24.414,36.133,49.316,13.184,0
1486664616.769,35.156,21.484,39.062,55.176,-100.586,0
1486664616.773,41.992,23.926,40.527,74.219,-40.039,0
1486664616.777,45.410,23.438,40.039,83.984,144.531,0
1486664616.781,41.504,24.902,45.410,73.242,223.633,0
1486664616.785,42.969,28.809,47.852,49.805,21.484,0
1486664616.789,37.598,22.949,37.598,42.969,-101.562,0
1486664616.793,27.344,17.090,35.156,51.758,-82.520,0
1486664616.797,28.809,21.484,35.156,65.430,72.754,0
1486664616.800,33.203,20.996,33.691,62.500,241.699,0
1486664616.804,24.414,19.043,36.133,36.621,36.621,0
1486664616.808,23.926,20.508,33.203,31.738,-126.953,0
1486664616.812,29.785,22.949,37.109,39.062,-97.168,0
1486664616.816,32.227,23.926,40.039,61.035,100.586,0
1486664616.820,45.410,22.461,38.574,74.707,274.902,0
1486664616.824,35.645,22.949,38.574,47.852,77.148,0
1486664616.828,27.344,25.879,37.598,42.969,-99.121,0
1486664616.832,39.062,26.367,38.086,59.570,-70.801,0
1486664616.836,40.527,24.902,32.715,72.266,84.473,0
1486664616.839,45.898,24.902,30.273,80.566,270.508,0
1486664616.843,42.480,24.902,33.203,61.523,110.352,0
1486664616.847,37.109,24.902,34.180,41.504,-117.676,0
1486664616.851,44.922,27.344,37.109,52.734,-149.414,0
1486664616.855,49.805,25.879,37.109,69.824,10.742,0
1486664616.859,48.828,23.438,36.133,83.496,287.109,0
1486664616.863,47.363,22.949,36.133,67.383,177.734,0
1486664616.867,43.945,20.996,36.133,44.434,-51.270,0
1486664616.871,35.156,25.879,41.016,47.363,-71.289,0
1486664616.875,37.109,29.785,41.016,62.012,27.832,0
1486664616.879,46.875,27.344,33.691,77.637,240.723,0
1486664616.882,38.574,25.391,26.367,55.176,194.824,1
1486664616.886,35.156,21.484,27.832,32.227,-24.902,0
1486664616.890,39.551,21.484,33.203,41.016,-65.918,0
1486664616.894,35.156,26.367,36.133,58.594,0.000,0
1486664616.898,33.691,26.367,38.574,71.777,222.168,0
1486664616.902,39.062,25.391,41.992,65.430,240.234,0
1486664616.906,43.457,28.809,44.434,53.223,-6.836,0
