timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1486664479.064,38.086,23.926,41.992,71.777,20.508,0
1486664479.068,42.480,21.973,35.645,86.914,199.707,0
1486664479.072,41.504,18.066,32.715,76.172,209.961,0
1486664479.076,39.062,19.043,43.457,55.664,37.109,0
1486664479.079,41.992,22.461,41.992,49.805,-31.738,0
1486664479.083,30.762,21.484,28.320,49.316,-1.953,0
1486664479.087,42.480,23.438,32.715,76.660,170.898,0
1486664479.091,45.898,28.809,41.504,74.707,217.285,0
1486664479.095,34.180,24.414,42.480,46.875,1.953,0
1486664479.099,41.504,18.555,32.715,49.316,-93.750,0
1486664479.103,42.969,20.508,32.715,59.570,-46.387,0
1486664479.107,51.758,20.020,44.922,84.473,114.258,0
1486664479.111,55.664,18.555,46.875,86.426,229.004,0
1486664479.115,50.781,19.043,39.062,64.941,43.945,0
1486664479.119,55.176,21.973,36.621,66.895,-98.145,0
1486664479.122,51.270,26.367,40.527,74.707,-43.457,0
1486664479.126,51.758,27.344,40.039,88.379,102.051,0
1486664479.130,51.270,23.926,38.086,82.031,212.891,0
1486664479.134,44.434,23.438,41.504,58.594,66.406,0
1486664479.138,40.527,20.508,36.621,57.129,-63.965,0
1486664479.142,36.621,20.020,40.527,64.453,-40.527,0
1486664479.146,45.410,21.484,51.270,86.426,85.449,0
1486664479.150,54.688,24.414,46.387,91.797,207.031,0
1486664479.154,40.039,25.391,34.668,60.547,81.055,0
1486664479.158,39.551,18.066,35.645,51.758,-73.242,0
1486664479.162,42.480,17.090,39.062,59.570,-85.449,0
1486664479.165,34.180,19.531,37.598,67.383,50.781,0
1486664479.169,41.504,22.949,37.109,74.219,204.102,0
1486664479.173,38.086,20.508,39.062,49.805,111.328,0
1486664479.177,31.738,16.602,36.133,34.180,-55.176,0
1486664479.181,35.156,19.043,32.715,43.945,-74.219,0
1486664479.185,38.086,27.344,38.086,59.082,28.320,0
1486664479.189,42.480,27.344,40.527,68.848,205.566,0
1486664479.193,38.086,19.043,36.621,48.828,137.695,0
1486664479.197,31.738,20.996,32.715,31.250,-70.801,0
1486664479.201,36.621,23.438,35.645,42.969,-105.957,0
1486664479.204,33.203,21.484,38.574,61.035,-5.371,0
1486664479.208,38.086,24.414,36.621,79.102,187.012,0
1486664479.212,43.945,28.809,36.621,74.219,142.578,0
1486664479.216,42.480,26.367,40.527,59.570,-71.777,0
1486664479.220,53.223,24.414,38.086,70.312,-106.445,0
1486664479.224,49.805,21.484,29.297,79.590,-22.949,0
1486664479.228,49.805,19.531,35.645,89.844,140.137,0
1486664479.232,55.664,26.367,43.945,83.984,164.551,0
1486664479.236,44.434,26.367,35.156,55.664,11.230,0
1486664479.240,38.574,23.438,36.133,54.199,-77.148,0
1486664479.244,40.039,25.879,40.527,67.871,-53.223,0
1486664479.247,45.410,24.414,32.715,82.031,131.348,0
1486664479.251,50.781,28.320,36.133,77.148,185.547,0
1486664479.255,49.805,27.344,38.574,58.594,-2.441,0
1486664479.259,48.340,20.020,34.668,59.082,-81.055,0
1486664479.263,44.922,22.949,36.621,69.824,-33.203,0
1486664479.267,46.387,23.438,36.621,85.938,120.605,0
1486664479.271,49.805,19.043,40.039,76.660,215.332,0
1486664479.275,43.945,18.066,43.457,50.781,38.086,0
1486664479.279,40.527,19.531,39.551,52.734,-85.449,0
1486664479.283,41.992,18.555,37.109,65.430,-52.734,0
1486664479.287,42.969,24.902,43.457,83.008,132.324,0
1486664479.290,44.922,28.809,47.363,88.379,251.465,0
1486664479.294,34.180,18.066,45.898,63.477,65.430,0
1486664479.298,31.250,15.625,44.922,55.664,-77.148,0
1486664479.302,38.086,19.531,43.945,68.848,-57.129,0
1486664479.306,35.156,16.602,39.551,78.613,75.684,0
1486664479.310,35.156,16.602,29.297,75.195,215.820,0
1486664479.314,35.645,21.484,32.715,49.316,86.426,0
1486664479.318,35.156,21.973,36.133,39.551,-97.168,0
1486664479.322,32.227,21.973,35.156,50.781,-97.656,0
1486664479.326,30.762,26.855,34.180,62.012,54.688,0
1486664479.329,45.410,33.691,35.645,72.266,200.684,0
1486664479.333,41.992,33.203,34.668,52.246,72.266,0
1486664479.337,33.203,25.391,34.180,35.645,-93.750,0
1486664479.341,37.598,22.949,37.109,46.875,-70.801,0
1486664479.345,38.086,20.996,27.344,60.547,40.527,0
1486664479.349,39.062,19.043,29.785,73.242,223.145,0
1486664479.353,39.551,20.508,36.133,55.664,142.578,0
1486664479.357,41.992,22.461,33.691,44.922,-50.293,0
1486664479.361,40.527,21.973,34.180,51.270,-24.902,0
1486664479.365,38.574,21.484,36.133,60.547,35.156,0
1486664479.369,50.293,23.438,34.180,78.125,188.965,0
1486664479.372,47.852,25.879,39.551,61.523,162.109,0
1486664479.376,41.504,29.785,44.434,47.852,-33.203,0
1486664479.380,45.410,24.902,33.691,58.105,-95.215,0
1486664479.384,42.480,18.555,35.156,67.383,-6.348,0
1486664479.388,47.363,19.043,41.504,84.961,181.152,0
1486664479.392,54.688,20.996,40.527,83.496,181.641,0
1486664479.396,48.828,19.531,38.086,62.988,-7.812,0
1486664479.400,44.922,16.602,35.645,64.941,-78.125,0
1486664479.404,45.410,20.020,39.062,78.613,-9.766,0
1486664479.408,47.852,20.996,42.969,93.262,152.344,0
1486664479.411,47.363,19.043,43.945,83.984,177.246,0
1486664479.415,42.969,26.855,39.551,64.453,15.625,0
1486664479.419,41.504,32.715,40.039,58.105,-45.898,0
1486664479.423,34.180,23.438,39.551,61.035,9.277,0
1486664479.427,39.062,21.973,29.297,73.242,159.180,0
1486664479.431,47.852,24.902,34.668,68.848,190.430,0
1486664479.435,39.551,20.996,39.062,48.828,23.926,0
1486664479.439,41.016,20.508,34.668,42.969,-81.055,0
1486664479.443,41.992,24.414,40.527,49.316,-85.938,0
1486664479.447,45.898,25.879,41.992,68.359,90.332,0
1486664479.451,55.176,27.832,40.527,69.824,199.219,0
1486664479.454,49.805,31.250,38.574,54.199,9.766,0
1486664479.458,55.176,28.809,34.180,56.152,-104.492,0
1486664479.462,55.664,23.926,37.109,65.430,-49.316,0
1486664479.466,54.199,25.391,40.039,82.520,107.910,0
1486664479.470,58.594,26.855,42.480,80.566,219.238,0
1486664479.474,40.039,23.926,45.410,49.805,48.828,0
1486664479.478,36.621,20.996,46.387,47.852,-101.562,0
1486664479.482,43.457,22.461,37.598,62.988,-85.938,0
1486664479.486,41.504,27.832,33.691,79.102,41.504,0
1486664479.490,41.504,21.484,35.645,78.125,203.125,0
1486664479.494,34.180,16.113,32.227,47.363,83.984,0
1486664479.497,31.738,20.996,31.738,35.645,-93.750,0
1486664479.501,38.574,24.902,37.598,52.246,-60.059,0
1486664479.505,43.457,29.785,40.039,75.684,79.102,0
1486664479.509,44.434,26.855,37.109,83.496,243.164,1
1486664479.513,39.551,22.949,30.762,58.594,107.422,0
1486664479.517,44.434,24.902,29.785,53.223,-87.402,0
1486664479.521,49.316,25.391,33.203,65.430,-43.457,0
1486664479.525,48.340,31.738,40.039,77.148,58.594,0
1486664479.529,53.711,34.180,47.852,91.797,186.035,0
1486664479.533,44.922,24.902,41.016,71.289,155.762,0
1486664479.536,41.504,21.484,35.156,52.246,-34.180,0
1486664479.540,41.504,22.461,39.062,59.570,-87.891,0
1486664479.544,34.668,23.926,43.457,78.125,3.418,0
1486664479.548,45.898,21.973,43.945,92.285,203.125,0
1486664479.552,47.852,21.973,41.992,74.707,162.109,0
