timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1486223115.483,-44.922,27.832,32.715,58.105,82.031,0
1486223115.487,-28.809,22.949,40.039,52.734,77.148,0
1486223115.491,85.938,25.879,37.598,58.594,-16.602,0
1486223115.495,133.301,33.691,31.250,74.219,12.695,0
1486223115.499,69.824,35.645,37.109,67.871,34.180,0
1486223115.503,-35.156,30.762,43.945,56.152,46.387,0
1486223115.507,-26.367,31.250,41.992,53.711,39.062,0
1486223115.511,90.332,35.156,50.781,62.988,-52.734,0
1486223115.514,134.766,25.391,38.574,72.266,4.395,0
1486223115.518,74.707,26.367,11.719,58.105,17.578,0
1486223115.522,-27.344,28.809,28.809,51.270,-31.738,0
1486223115.526,-42.969,24.902,50.293,48.828,25.879,0
1486223115.530,57.617,24.414,40.527,41.992,-21.973,0
1486223115.534,128.906,27.344,38.574,65.918,-1.465,0
1486223115.538,83.496,31.738,37.598,69.824,41.504,0
1486223115.542,-24.902,32.715,41.016,54.688,23.926,0
1486223115.546,-48.340,32.227,48.828,57.617,56.152,0
1486223115.550,56.152,29.785,45.898,60.059,7.812,0
1486223115.553,130.371,23.926,32.227,65.918,41.992,0
1486223115.557,99.121,27.832,28.320,62.988,99.609,0
1486223115.561,-2.441,34.180,41.016,54.688,56.152,1
1486223115.565,-60.547,25.879,40.039,46.387,50.293,0
1486223115.569,38.574,28.809,33.691,45.410,21.973,0
1486223115.573,126.953,35.156,40.527,62.012,2.441,0
1486223115.577,97.656,32.715,42.480,60.059,29.297,0
1486223115.581,9.766,32.715,36.621,54.688,47.852,0
1486223115.585,-54.199,28.809,37.598,59.082,104.980,0
1486223115.589,24.414,29.785,40.527,57.129,39.551,0
1486223115.593,124.512,30.273,32.227,64.941,2.930,0
1486223115.596,105.957,31.738,35.156,65.430,90.332,0
1486223115.600,13.672,30.762,41.504,52.734,78.125,0
1486223115.604,-60.547,29.297,42.969,50.781,70.801,0
1486223115.608,-6.348,27.832,41.504,51.270,32.227,0
1486223115.612,108.398,32.715,40.039,65.918,-7.324,0
1486223115.616,120.605,32.227,32.227,72.266,37.109,0
1486223115.620,38.574,28.809,32.227,60.059,33.691,0
1486223115.624,-40.039,41.504,45.898,55.664,59.082,0
1486223115.628,-0.488,38.086,38.086,54.199,53.223,0
1486223115.632,111.328,25.391,32.715,59.570,-17.578,0
1486223115.636,132.812,33.203,41.992,64.453,40.039,0
1486223115.639,54.199,37.109,38.086,56.152,55.664,0
1486223115.643,-42.480,30.762,26.855,43.945,47.852,0
1486223115.647,-22.461,26.855,28.809,38.574,34.668,0
1486223115.651,91.797,22.949,33.203,46.875,-26.855,0
1486223115.655,128.906,23.926,30.762,61.523,25.879,0
1486223115.659,68.359,34.668,37.109,62.988,58.594,0
1486223115.663,-25.391,37.598,43.945,55.176,54.199,0
1486223115.667,-29.785,30.273,39.062,46.875,59.570,0
1486223115.671,88.867,34.668,52.734,58.594,18.066,0
1486223115.675,137.207,29.297,49.805,69.336,50.781,0
1486223115.678,66.406,18.555,31.250,52.246,60.547,0
1486223115.682,-37.109,24.902,33.691,39.551,66.406,0
1486223115.686,-49.316,28.809,28.809,40.039,90.332,0
1486223115.690,64.453,22.949,26.855,43.457,-8.789,0
1486223115.694,119.141,22.949,36.621,58.594,-10.254,0
1486223115.698,70.801,32.715,45.410,60.547,50.781,0
1486223115.702,-26.855,36.621,44.922,51.758,54.688,0
1486223115.706,-56.152,28.809,35.645,45.410,91.309,0
1486223115.710,55.664,26.855,43.945,45.898,37.598,0
1486223115.714,130.371,32.227,48.340,62.012,26.367,0
1486223115.718,89.844,27.344,40.039,64.453,66.895,0
1486223115.721,-9.766,30.762,39.062,54.688,87.402,0
1486223115.725,-62.012,31.250,33.691,44.434,110.352,0
1486223115.729,31.738,25.879,37.598,42.480,21.484,0
1486223115.733,118.164,28.809,45.898,57.129,13.672,0
1486223115.737,93.262,31.250,44.922,63.477,95.703,0
1486223115.741,6.348,36.621,51.758,53.711,69.336,0
1486223115.745,-62.500,36.621,55.664,41.504,49.316,0
1486223115.749,3.906,25.391,28.809,30.762,-7.812,0
1486223115.753,101.562,20.996,21.484,47.852,-28.320,0
1486223115.757,92.285,27.832,37.109,62.988,46.875,0
1486223115.760,10.254,36.133,40.527,55.664,65.430,0
1486223115.764,-60.547,30.762,34.668,45.898,86.914,0
1486223115.768,3.418,23.438,37.598,39.551,28.320,0
1486223115.772,115.723,30.762,35.156,53.223,-41.504,0
1486223115.776,129.883,40.527,50.293,75.684,17.578,0
1486223115.780,45.410,35.156,59.082,62.988,66.895,0
1486223115.784,-45.410,30.762,41.504,42.969,87.891,0
1486223115.788,-2.930,27.344,34.180,46.387,60.547,0
1486223115.792,110.352,21.973,31.250,56.641,3.906,0
1486223115.796,131.348,23.438,31.250,71.289,20.020,0
1486223115.800,56.152,26.367,40.527,66.406,48.340,0
1486223115.803,-35.645,28.809,35.156,52.246,79.102,0
