timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1486223913.355,103.027,32.715,33.203,67.871,-9.277,0
1486223913.358,47.363,32.227,36.133,65.918,44.922,0
1486223913.362,-31.738,28.320,38.086,56.152,102.051,0
1486223913.366,-3.418,34.180,45.898,54.688,90.820,0
1486223913.370,79.102,33.203,51.270,66.895,-10.742,0
1486223913.374,94.238,27.832,50.293,71.777,18.555,0
1486223913.378,54.199,30.762,45.898,69.824,36.133,0
1486223913.382,-16.113,32.715,37.109,75.684,54.199,0
1486223913.386,-24.414,22.949,33.203,61.523,92.773,0
1486223913.390,76.172,24.414,32.227,65.430,16.113,0
1486223913.394,126.465,28.320,36.621,82.031,6.348,0
1486223913.398,67.871,26.855,43.945,70.801,24.414,0
1486223913.401,-13.672,35.645,46.875,73.242,56.152,0
1486223913.405,-17.578,38.574,40.527,68.848,103.516,0
1486223913.409,70.312,38.086,47.363,64.941,23.438,0
1486223913.413,118.164,38.086,44.922,77.637,16.602,0
1486223913.417,72.266,31.250,30.762,80.078,41.504,0
1486223913.421,-20.020,32.715,31.250,66.895,43.945,0
1486223913.425,-39.062,29.785,33.203,52.246,96.191,0
1486223913.429,51.758,20.996,38.574,48.828,42.480,0
1486223913.433,111.328,22.461,36.621,68.848,1.953,0
1486223913.437,84.961,37.598,48.828,83.984,43.457,0
1486223913.440,-1.465,38.574,54.688,77.148,71.777,0
1486223913.444,-38.086,32.227,44.922,66.406,105.957,0
1486223913.448,45.410,33.203,30.762,58.594,49.316,0
1486223913.452,107.422,33.203,27.832,61.035,-12.207,0
1486223913.456,78.125,28.320,37.109,71.289,39.551,0
1486223913.460,5.371,30.273,35.156,67.871,73.730,0
1486223913.464,-29.297,28.809,36.133,54.688,108.887,0
1486223913.468,31.738,23.926,42.480,57.129,79.590,0
1486223913.472,100.586,34.180,44.434,66.895,26.855,0
1486223913.476,91.309,37.109,37.109,64.453,54.199,0
1486223913.480,19.531,34.180,45.410,62.012,82.520,0
1486223913.483,-31.738,32.227,32.715,55.176,145.508,0
1486223913.487,20.996,29.297,21.484,49.316,81.055,0
1486223913.491,96.191,31.738,38.086,67.383,-8.789,0
1486223913.495,103.516,38.086,38.086,70.312,7.812,0
1486223913.499,37.109,33.203,41.504,64.453,33.203,0
1486223913.503,-33.691,21.484,43.945,56.152,87.891,0
1486223913.507,5.859,27.344,35.156,51.758,81.543,0
1486223913.511,97.168,39.551,40.039,61.035,24.414,0
1486223913.515,100.098,30.762,36.133,63.965,35.645,0
1486223913.519,39.062,26.855,27.832,62.012,45.898,0
1486223913.523,-17.090,35.156,39.551,61.523,121.094,0
1486223913.526,7.324,37.598,42.969,61.035,85.449,0
1486223913.530,87.402,33.691,38.574,67.383,-17.090,0
1486223913.534,103.027,24.902,36.133,69.824,1.465,0
1486223913.538,51.758,30.762,38.086,59.570,10.254,0
1486223913.542,-15.137,36.621,41.992,61.035,69.824,0
1486223913.546,-2.930,33.203,48.340,56.152,73.730,0
1486223913.550,71.777,23.438,49.805,54.199,-0.977,0
1486223913.554,97.656,24.902,37.598,69.824,-2.930,0
1486223913.558,53.711,29.785,26.855,62.988,20.996,0
1486223913.562,-26.855,28.320,27.832,54.688,64.941,0
1486223913.565,-29.297,31.738,41.016,53.223,95.215,0
1486223913.569,64.453,36.133,49.805,48.340,26.855,0
1486223913.573,102.539,34.180,42.969,61.523,-7.324,0
1486223913.577,49.316,30.762,39.551,60.059,11.230,0
1486223913.581,-28.320,32.715,46.387,56.152,57.129,0
1486223913.585,-22.949,34.668,53.711,58.594,113.770,0
1486223913.589,50.781,32.227,36.133,45.898,63.477,0
1486223913.593,94.727,27.832,21.973,47.852,21.973,0
1486223913.597,68.359,26.367,35.156,53.711,41.504,0
1486223913.601,-8.789,32.227,39.062,62.988,93.262,0
1486223913.605,-38.086,34.180,33.203,50.781,132.812,0
1486223913.608,34.668,26.367,37.598,40.527,72.754,0
1486223913.612,100.586,26.855,44.434,56.641,37.598,0
1486223913.616,71.289,35.156,38.574,54.688,48.828,0
1486223913.620,-3.418,34.668,36.621,53.223,73.730,0
1486223913.624,-34.668,32.715,42.969,61.523,86.914,0
1486223913.628,35.645,32.715,28.809,57.617,60.547,0
1486223913.632,99.609,30.273,24.414,56.641,37.109,0
1486223913.636,90.332,31.738,43.457,72.754,55.176,0
1486223913.640,23.438,33.203,41.016,62.500,109.863,0
1486223913.644,-28.809,28.320,32.227,55.176,147.949,0
1486223913.648,27.832,29.785,35.645,60.059,89.844,0
1486223913.651,106.445,35.156,37.109,61.035,-4.883,0
1486223913.655,115.723,36.133,55.176,72.754,15.137,0
1486223913.659,45.898,31.738,49.316,64.453,75.684,0
1486223913.663,-26.367,30.762,27.344,58.594,96.191,0
1486223913.667,12.695,25.879,36.133,57.129,72.266,0
1486223913.671,101.562,23.926,37.598,62.012,8.789,0
1486223913.675,112.305,27.832,40.039,69.336,-3.418,0
1486223913.679,36.133,28.320,41.992,54.199,36.133,0
1486223913.683,-28.320,31.250,40.039,53.711,64.453,0
1486223913.687,-1.953,30.273,43.945,59.082,66.406,0
1486223913.690,81.055,24.902,37.109,60.059,-6.348,0
1486223913.694,100.586,26.855,23.926,72.754,-3.906,0
1486223913.698,46.875,36.621,37.598,72.754,34.668,0
1486223913.702,-15.137,29.297,62.988,81.055,78.613,0
1486223913.706,9.766,23.926,48.828,71.777,103.027,0
1486223913.710,86.914,22.949,29.785,57.617,13.184,0
1486223913.714,105.469,22.949,35.645,82.520,12.207,0
1486223913.718,51.270,25.391,42.969,72.754,47.363,0
1486223913.722,-20.996,26.855,43.945,51.758,77.148,0
1486223913.726,-11.719,33.691,46.875,55.664,76.660,0
1486223913.730,66.406,29.297,43.945,50.781,-34.668,0
1486223913.733,106.445,28.809,38.574,62.012,-25.879,0
1486223913.737,65.430,40.527,45.898,78.125,41.992,0
1486223913.741,-8.789,39.551,50.781,73.242,93.262,0
1486223913.745,-16.602,31.250,45.410,62.012,96.191,0
1486223913.749,71.777,34.180,46.387,63.965,-45.898,0
1486223913.753,114.258,32.227,39.551,70.801,-46.875,0
1486223913.757,81.543,34.668,37.109,68.848,31.250,0
1486223913.761,1.953,38.086,45.898,59.570,74.219,0
1486223913.765,-30.762,27.832,39.551,46.875,108.398,0
1486223913.769,41.016,25.879,36.133,45.410,4.883,0
1486223913.772,102.539,29.785,48.828,67.871,-64.941,0
1486223913.776,80.078,27.832,46.387,61.523,-0.488,0
1486223913.780,-1.953,29.297,33.691,45.410,37.598,0
1486223913.784,-36.133,32.227,38.086,54.688,68.359,0
1486223913.788,43.457,31.738,40.039,56.152,16.602,0
1486223913.792,107.910,34.668,45.410,63.965,-30.762,0
1486223913.796,91.309,35.156,45.898,72.266,-9.766,0
1486223913.800,14.160,27.344,33.203,62.012,54.688,0
1486223913.804,-33.691,24.414,36.621,53.223,99.609,0
1486223913.808,40.039,27.344,44.922,55.176,41.992,0
1486223913.812,102.539,24.414,34.668,68.848,-12.207,0
1486223913.815,94.238,24.902,30.762,72.754,0.488,0
1486223913.819,34.668,29.297,44.434,59.082,52.246,0
1486223913.823,-31.738,38.086,46.875,57.617,80.566,0
1486223913.827,20.020,38.574,41.992,63.965,51.758,0
1486223913.831,110.840,30.762,45.410,72.266,-20.996,0
1486223913.835,106.445,28.320,42.969,68.359,15.137,0
1486223913.839,40.039,33.691,41.016,64.453,68.359,0
1486223913.843,-14.648,31.738,43.457,64.453,102.539,2
1486223913.847,18.066,20.508,40.039,62.500,65.918,0
1486223913.851,97.168,20.508,40.039,72.754,11.230,0
1486223913.855,105.957,26.367,42.969,79.102,34.180,0
1486223913.858,56.152,29.785,38.574,66.406,29.785,0
1486223913.862,-4.395,36.133,43.457,68.848,54.199,0
1486223913.866,2.930,35.156,42.480,66.895,89.844,0
1486223913.870,86.426,28.320,41.504,67.383,11.719,0
1486223913.874,115.234,27.344,48.340,82.031,5.859,0
1486223913.878,54.688,24.414,41.016,68.359,47.852,0
1486223913.882,-23.926,24.414,46.387,66.895,84.961,0
1486223913.886,-7.812,31.250,54.199,71.289,103.516,0
1486223913.890,70.801,28.320,31.738,57.129,35.156,0
1486223913.894,104.004,26.855,22.461,71.777,-5.859,0
1486223913.897,65.918,30.273,28.809,71.777,18.066,0
1486223913.901,-20.996,30.762,36.621,57.617,79.102,0
1486223913.905,-27.832,32.715,45.410,50.781,72.754,0
1486223913.909,80.078,34.180,46.875,52.246,-20.508,0
1486223913.913,121.582,29.297,46.387,61.035,0.488,0
1486223913.917,67.871,25.391,47.852,67.871,48.828,0
1486223913.921,-10.742,26.855,38.086,64.453,101.562,0
1486223913.925,-28.809,27.344,44.434,49.805,155.762,0
1486223913.929,51.758,28.320,42.480,51.270,46.875,0
1486223913.933,105.469,31.250,28.809,72.754,-0.488,0
1486223913.937,65.430,27.344,34.180,74.707,42.480,0
1486223913.940,-16.602,25.391,33.691,56.641,59.570,0
1486223913.944,-42.480,23.926,35.645,58.594,110.352,0
1486223913.948,35.645,26.855,37.598,62.012,84.473,0
1486223913.952,91.309,32.227,46.875,62.988,22.949,0
1486223913.956,65.430,28.320,49.805,68.848,27.344,0
1486223913.960,-2.930,27.832,44.922,58.594,34.668,0
1486223913.964,-60.547,23.926,38.574,38.574,89.844,0
1486223913.968,4.883,26.367,36.621,41.504,43.945,0
1486223913.972,93.750,23.926,29.785,55.664,-13.184,0
1486223913.976,86.426,17.578,31.250,59.082,37.109,0
1486223913.980,25.391,23.926,48.340,62.500,44.922,0
1486223913.983,-27.344,28.809,45.410,62.500,96.680,0
1486223913.987,29.297,35.645,44.922,64.941,55.176,0
1486223913.991,104.492,31.250,44.434,80.078,-32.227,0
1486223913.995,99.609,21.973,45.898,84.961,14.648,0
1486223913.999,32.227,25.391,40.527,69.336,49.316,0
1486223914.003,-25.879,28.320,32.715,66.895,80.566,0
1486223914.007,13.672,23.926,38.574,67.383,62.988,0
1486223914.011,85.938,23.438,35.645,68.848,-18.555,0
