timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
149958.124,34.668,32.715,29.297,14.160,12.695,0
149958.128,30.762,29.297,37.598,24.414,61.035,0
149958.132,26.367,36.621,46.387,29.297,69.336,0
149958.136,20.508,39.551,43.457,22.461,23.438,0
149958.140,20.508,43.945,41.992,23.926,-32.227,0
149958.144,38.086,39.551,39.062,34.668,45.410,0
149958.148,43.945,31.250,31.738,37.109,77.148,0
149958.152,34.668,24.414,29.785,28.320,53.223,0
149958.156,31.738,31.738,35.156,21.484,70.312,0
149958.159,35.645,47.363,40.527,26.855,70.801,0
149958.163,38.086,45.410,44.922,34.180,109.863,0
149958.167,37.109,55.176,59.082,36.133,110.352,0
149958.168,32.227,52.734,60.059,37.109,39.062,0
149958.172,24.414,31.250,38.086,30.273,-4.883,0
149958.176,24.414,29.297,31.738,23.926,68.848,0
149958.179,41.992,41.016,36.133,29.297,103.516,0
149958.183,46.875,45.898,32.227,37.598,37.598,0
149958.187,33.691,34.668,30.762,41.016,13.184,0
149958.191,43.457,31.250,34.668,37.109,54.688,0
149958.195,54.688,35.156,39.551,33.203,64.453,0
149958.199,40.039,31.250,41.504,29.785,13.672,0
149958.203,33.203,31.738,42.480,25.879,-39.062,0
149958.207,37.109,38.086,42.969,33.691,14.648,0
149958.211,35.645,44.922,45.898,47.852,80.078,0
149958.212,41.016,47.852,47.852,47.363,42.480,0
149958.216,37.109,41.504,37.598,33.691,-5.859,0
149958.220,21.973,39.062,32.715,33.203,31.250,0
149958.224,29.785,48.828,45.410,50.293,98.633,0
149958.228,32.227,48.828,52.734,41.992,84.961,0
149958.232,23.926,45.898,46.875,20.996,15.625,0
149958.236,29.297,46.387,43.945,23.438,17.090,0
149958.240,47.363,43.457,40.527,35.645,99.121,0
149958.244,47.363,38.086,34.668,37.598,90.820,0
149958.248,37.598,22.461,39.062,26.367,18.555,0
149958.251,27.344,22.949,39.062,22.461,-33.203,0
149958.255,57.617,47.363,38.086,41.016,5.371,0
149958.257,67.383,46.387,46.875,45.898,65.430,0
149958.261,20.508,26.367,41.016,27.344,16.602,0
149958.265,2.441,32.715,36.133,23.926,-23.926,0
149958.269,11.230,39.551,45.898,30.273,41.016,0
149958.273,27.344,38.574,48.828,32.715,79.102,0
149958.277,28.809,39.062,36.621,30.762,0.977,0
149958.281,18.066,30.273,27.344,25.391,-71.289,0
149958.285,23.438,33.691,43.945,29.785,-41.016,0
149958.289,37.109,34.180,52.734,26.855,40.039,0
149958.293,31.250,25.879,46.875,22.461,61.523,0
149958.297,21.484,29.297,52.734,32.227,19.531,0
149958.300,18.555,29.297,44.922,28.320,-21.973,0
149958.302,17.090,30.273,31.738,19.531,29.297,0
149958.306,16.602,32.715,32.715,19.043,64.453,0
149958.310,15.625,40.039,32.227,21.484,16.113,0
149958.314,12.695,46.875,29.785,23.438,-17.090,0
149958.318,27.832,45.410,27.832,29.297,23.926,0
149958.322,33.691,41.992,26.855,30.762,77.637,0
149958.326,23.438,35.156,30.762,21.484,25.879,0
149958.330,23.926,31.738,40.527,20.508,-47.363,0
149958.334,39.551,23.926,44.434,32.715,-10.742,0
149958.338,48.828,37.598,49.805,45.898,74.219,0
149958.341,43.457,50.781,47.363,40.039,10.742,0
149958.345,24.902,45.898,34.180,21.973,-22.949,0
149958.349,15.137,44.434,33.691,19.531,23.438,0
