timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
150710.682,22.949,26.855,37.109,18.066,-1.953,0
150710.686,45.410,33.203,42.969,30.762,69.824,0
150710.690,44.434,32.227,41.016,32.715,97.656,0
150710.694,35.156,31.250,31.250,26.855,31.250,0
150710.698,42.480,13.184,24.414,38.574,0.977,0
150710.702,52.246,21.973,36.621,55.176,63.965,0
150710.706,36.133,47.852,34.180,39.551,56.152,0
150710.710,12.695,37.598,27.344,17.090,2.441,0
150710.714,10.254,31.250,28.809,18.555,-11.230,0
150710.717,20.508,31.738,24.902,29.297,14.160,0
150710.721,29.785,30.762,33.691,35.645,72.266,0
150710.725,24.902,31.738,42.969,30.273,76.660,0
150710.727,20.996,27.832,39.551,27.832,20.996,0
150710.731,31.738,22.949,35.156,33.203,37.598,0
150710.735,48.340,30.762,39.551,39.062,66.895,0
150710.739,49.805,27.832,41.992,40.527,51.270,0
150710.743,34.668,33.203,33.691,26.367,0.977,0
150710.747,29.297,44.922,34.668,20.020,-25.391,0
150710.751,39.062,44.922,27.344,35.156,20.020,0
150710.755,31.738,37.598,25.879,34.668,20.996,0
150710.759,16.113,22.461,36.621,23.926,-68.848,0
150710.762,15.625,21.973,32.715,27.832,-99.121,0
150710.766,25.879,27.832,40.527,36.621,20.508,0
150710.770,29.297,34.668,41.016,35.645,49.805,0
150710.772,22.949,32.715,35.645,24.414,-17.090,0
150710.776,22.949,24.414,37.598,27.832,-44.922,0
150710.780,37.109,35.156,34.180,41.992,5.371,0
150710.784,48.828,40.527,20.508,42.969,71.777,0
150710.788,41.992,37.109,23.926,35.156,78.125,0
150710.792,34.180,34.180,40.039,27.832,-0.488,0
150710.796,40.039,25.879,45.410,35.156,-6.348,0
150710.800,46.387,36.133,43.945,46.387,68.359,0
150710.804,41.992,41.992,35.156,41.504,37.598,0
150710.807,36.621,45.410,35.645,36.133,-15.625,0
150710.811,34.180,42.480,32.715,35.156,1.465,0
150710.815,34.180,35.645,25.879,29.785,68.359,0
150710.818,37.598,30.762,29.297,30.273,75.684,0
150710.822,34.668,27.344,25.391,33.691,16.602,0
150710.826,32.227,36.621,23.926,34.668,-11.719,0
150710.830,54.199,39.551,43.457,48.828,20.020,0
150710.834,59.082,36.133,54.688,50.293,52.734,0
150710.837,47.363,31.250,51.758,37.109,30.762,0
150710.841,44.434,40.527,43.945,29.297,-19.043,0
150710.845,44.922,55.664,31.738,34.668,-10.742,0
150710.849,40.527,44.922,32.227,34.180,62.012,0
150710.853,28.809,32.227,30.762,20.020,85.938,0
150710.857,28.809,22.949,27.832,20.020,13.672,0
150710.861,36.621,26.855,34.668,34.180,-34.180,0
150710.863,42.480,28.809,39.551,42.969,40.039,0
150710.867,41.504,24.414,42.480,40.039,55.176,0
150710.870,38.574,35.645,45.898,39.551,11.230,0
150710.874,34.668,42.480,38.574,37.598,20.508,0
150710.878,45.898,36.133,37.109,43.945,28.320,0
150710.882,48.828,31.250,38.574,40.527,50.781,0
150710.886,35.156,37.109,32.227,28.320,21.973,0
150710.890,33.203,32.227,37.109,32.227,-54.199,0
150710.894,44.434,29.785,42.480,44.922,0.488,0
150710.898,59.570,39.062,33.691,51.758,71.777,0
150710.902,56.641,40.527,34.180,46.875,24.414,0
150710.906,40.039,39.551,35.645,40.527,-54.199,0
150710.908,44.434,41.992,34.668,44.922,-26.855,0
150710.912,54.199,39.062,39.551,54.688,51.758,0
150710.916,42.969,36.133,38.086,45.898,75.195,0
150710.920,32.715,40.527,41.016,35.645,30.762,0
150710.924,42.969,33.691,44.434,44.922,17.090,0
150710.928,49.316,19.043,41.992,49.805,91.797,0
150710.932,39.551,35.156,46.875,40.527,83.496,0
150710.936,35.156,52.734,50.781,34.668,-12.207,0
150710.940,34.668,45.898,44.434,36.621,-37.109,0
150710.943,43.457,37.598,41.016,45.410,45.898,0
150710.947,45.410,33.691,37.598,41.992,81.543,0
150710.951,26.855,29.785,34.668,29.785,41.504,0
150710.952,23.926,33.691,30.273,28.320,15.137,0
150710.956,37.598,29.297,28.809,37.109,83.984,0
150710.960,41.992,30.762,43.457,40.039,110.840,0
150710.964,35.645,31.738,46.387,38.086,75.195,0
150710.968,17.578,20.020,30.762,24.414,15.625,0
150710.972,16.602,36.621,29.785,23.926,17.090,0
150710.976,25.879,44.434,33.691,28.809,85.938,0
150710.980,20.020,32.227,33.203,16.113,62.500,0
150710.984,20.996,33.203,35.156,19.531,18.555,0
150710.988,23.926,36.621,31.738,26.855,39.062,0
150710.991,29.785,28.809,30.762,31.250,100.098,0
150710.995,35.156,33.203,32.227,33.203,81.543,0
