timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1486223470.057,-9.277,25.391,28.809,50.781,147.949,0
1486223470.061,68.359,25.879,31.250,41.016,-2.441,0
1486223470.065,94.238,29.297,33.691,60.059,-41.016,0
1486223470.069,42.969,30.273,33.691,64.453,-22.949,0
1486223470.073,-16.113,28.320,37.598,69.824,100.098,0
1486223470.077,1.953,34.180,42.969,69.336,125.488,0
1486223470.081,74.707,32.715,34.180,52.246,-22.461,0
1486223470.084,103.516,29.297,32.715,66.406,-74.707,0
1486223470.088,55.176,27.832,28.809,65.918,-76.660,0
1486223470.092,-0.977,33.203,38.574,81.543,33.691,0
1486223470.096,0.488,27.344,56.152,82.520,114.746,0
1486223470.100,58.105,21.484,39.062,55.176,-12.207,0
1486223470.104,100.586,29.297,26.855,59.082,-80.078,0
1486223470.108,63.477,36.133,38.574,60.059,-62.988,0
1486223470.112,0.000,31.250,38.086,66.895,45.898,0
1486223470.116,-5.859,34.668,35.156,72.266,162.598,0
1486223470.120,54.199,35.645,43.945,50.293,29.785,0
1486223470.124,98.145,30.273,54.688,59.082,-81.543,0
1486223470.127,63.477,23.438,39.551,56.641,-12.207,0
1486223470.131,-6.348,24.902,26.855,53.711,78.613,0
1486223470.135,-24.414,34.668,46.387,73.242,191.895,0
1486223470.139,35.645,29.297,39.551,46.875,101.562,0
1486223470.143,85.449,20.020,23.926,35.645,-43.457,0
1486223470.147,69.336,21.973,29.297,50.781,-33.203,0
1486223470.151,3.418,26.367,36.621,56.152,10.742,0
1486223470.155,-24.902,30.762,36.621,64.941,129.395,0
1486223470.159,36.621,26.855,33.691,49.805,99.121,0
1486223470.163,90.820,31.738,50.293,41.504,-11.230,0
1486223470.167,77.148,36.621,54.199,55.176,-3.906,0
1486223470.170,10.742,26.855,37.598,55.664,46.387,0
1486223470.174,-32.715,22.461,22.461,61.523,180.176,0
1486223470.178,24.902,24.902,24.414,57.617,140.137,0
1486223470.182,101.074,30.273,46.875,60.059,-17.090,0
1486223470.186,91.797,31.738,40.039,68.359,-53.711,0
